# LLM pairwise verification (claude-haiku-4-5-20251001) of candidate_pairs.tsv. verdict: yes/no/unsure. See verify_pairs_llm.py.
strong_a	strong_b	verdict
H0945	H8389	no
H0947	H3925	no
H0947	H3928	no
H0947	H5512	no
H0947	H8395	no
H0948	H1207	no
H0948	H2706	no
H0948	H2710	no
H0948	H2712	no
H0948	H2714	no
H0948	H5810	no
H0948	H5811	no
H0951	H1239	no
H0951	H1242	no
H0951	H1244	no
H0952	H1124	no
H0952	H1129	no
H0952	H1248	no
H0952	H1249	no
H0952	H1250	no
H0952	H1262	no
H0952	H1275	no
H0952	H1305	no
H0953	H5126	no
H0953	H5626	no
H0953	H7386	no
H0954	H0955	yes
H0954	H1265	no
H0954	H1317	yes
H0954	H1548	no
H0954	H2053	no
H0954	H2296	no
H0954	H3004	no
H0954	H4648	no
H0954	H4658	no
H0954	H4726	no
H0954	H5034	no
H0954	H5035	no
H0954	H5036	no
H0954	H5038	no
H0954	H5039	no
H0954	H5128	no
H0954	H5130	no
H0954	H5131	no
H0954	H5299	no
H0954	H5317	no
H0954	H7311	no
H0954	H7999	no
H0954	H8034	no
H0954	H8035	no
H0954	H8036	no
H0954	H8573	no
H0955	H1317	yes
H0955	H1322	yes
H0955	H5126	no
H0958	H0959	no
H0958	H0963	no
H0958	H3709	no
H0958	H3710	no
H0958	H3925	no
H0958	H3928	no
H0958	H3988	no
H0958	H5126	no
H0958	H5240	no
H0958	H5564	no
H0958	H7782	no
H0958	H8231	no
H0958	H8232	no
H0958	H8233	no
H0958	H8235	no
H0958	H8236	no
H0959	H0961	no
H0959	H0963	unsure
H0959	H1004	no
H0959	H1957	no
H0959	H2053	no
H0959	H2063	no
H0959	H2088	no
H0959	H2090	no
H0959	H2097	no
H0959	H2098	no
H0959	H2099	no
H0959	H3925	no
H0959	H3928	no
H0959	H4198	no
H0959	H4199	no
H0959	H5126	no
H0961	H1004	no
H0961	H1957	no
H0961	H2053	no
H0961	H2063	no
H0961	H2088	no
H0961	H2090	no
H0961	H2097	no
H0961	H2098	no
H0961	H2099	no
H0961	H4198	no
H0961	H4199	no
H0961	H5240	no
H0963	H3925	no
H0963	H3928	no
H0963	H5126	no
H0963	H5240	unsure
H0969	H0971	no
H0969	H0974	no
H0969	H0976	no
H0970	H0972	no
H0970	H4004	no
H0970	H4005	no
H0970	H4818	no
H0970	H7381	no
H0970	H7382	no
H0970	H7392	no
H0970	H7393	no
H0970	H7395	no
H0970	H8388	no
H0970	H8389	no
H0971	H0974	no
H0971	H0976	no
H0972	H4004	yes
H0972	H4005	yes
H0973	H1396	no
H0973	H2426	no
H0973	H2428	no
H0973	H2431	no
H0973	H2455	no
H0973	H5550	no
H0974	H0976	yes
H0981	H4008	yes
H0982	H0983	yes
H0983	H3925	no
H0983	H3928	no
H0987	H2902	no
H0992	H0993	no
H0995	H0996	no
H0995	H0998	yes
H0995	H1894	no
H0995	H8394	yes
H0995	H8432	no
H0996	H0998	no
H0996	H1894	no
H0996	H8394	no
H0996	H8432	yes
H0998	H1894	no
H0998	H8394	yes
H0998	H8432	no
H1004	H1157	no
H1004	H1310	no
H1004	H1311	no
H1004	H1312	no
H1004	H1697	no
H1004	H1817	no
H1004	H1957	no
H1004	H2053	no
H1004	H2063	no
H1004	H2088	no
H1004	H2090	no
H1004	H2097	no
H1004	H2098	no
H1004	H2099	no
H1004	H3381	no
H1004	H3382	no
H1004	H3651	no
H1004	H3653	no
H1004	H3654	no
H1004	H3709	no
H1004	H3710	no
H1004	H3925	no
H1004	H3928	no
H1004	H4174	no
H1004	H4198	no
H1004	H4199	no
H1004	H5126	no
H1004	H5240	no
H1004	H5597	no
H1004	H5703	no
H1004	H5704	no
H1004	H5706	no
H1004	H5708	no
H1004	H5716	no
H1004	H5728	no
H1004	H5749	no
H1004	H5752	no
H1004	H5920	no
H1004	H5921	no
H1004	H5923	no
H1004	H6971	no
H1004	H7126	no
H1004	H7128	no
H1004	H7132	no
H1004	H7133	no
H1004	H7138	no
H1004	H7286	no
H1004	H7300	no
H1004	H7789	no
H1004	H7811	no
H1004	H7812	no
H1004	H7998	no
H1004	H8391	no
H1037	H2044	no
H1037	H2053	no
H1037	H3925	no
H1037	H3928	no
H1037	H4135	no
H1037	H4390	no
H1037	H4392	no
H1037	H4393	no
H1037	H4407	yes
H1037	H4448	no
H1037	H4449	no
H1037	H6923	no
H1037	H6924	no
H1040	H4574	no
H1040	H4575	no
H1040	H5719	no
H1040	H5730	no
H1040	H5731	yes
H1040	H5734	no
H1044	H6124	no
H1055	H1964	no
H1055	H1965	no
H1058	H1065	yes
H1058	H1140	no
H1058	H1141	no
H1058	H1991	no
H1058	H1993	no
H1058	H1995	no
H1058	H1998	no
H1058	H5033	no
H1059	H1065	no
H1059	H1140	no
H1059	H1141	no
H1059	H1991	no
H1059	H1993	no
H1059	H1995	no
H1059	H1998	no
H1059	H5033	no
H1060	H1061	yes
H1060	H1069	no
H1060	H1070	no
H1060	H1072	no
H1060	H7916	no
H1060	H8388	no
H1060	H8389	no
H1061	H1069	no
H1061	H1070	no
H1061	H1072	no
H1061	H7916	no
H1061	H8388	no
H1061	H8389	no
H1065	H1140	no
H1065	H1141	no
H1065	H5033	no
H1069	H1070	no
H1069	H1072	no
H1069	H7916	no
H1069	H8388	no
H1069	H8389	no
H1070	H1072	yes
H1070	H7916	no
H1070	H8388	no
H1070	H8389	no
H1072	H7916	no
H1072	H8388	no
H1072	H8389	no
H1077	H1097	unsure
H1077	H1100	no
H1077	H3276	no
H1077	H3277	no
H1077	H3278	no
H1077	H8388	no
H1077	H8389	no
H1078	H1079	no
H1083	H2286	no
H1083	H2620	no
H1083	H2621	no
H1083	H2645	no
H1083	H2646	no
H1083	H2647	no
H1083	H3925	no
H1083	H3928	no
H1083	H6346	no
H1083	H6352	no
H1083	H8154	no
H1083	H8341	no
H1086	H1087	yes
H1086	H1091	no
H1086	H1094	yes
H1086	H1097	no
H1086	H3925	no
H1086	H3928	no
H1086	H8034	no
H1086	H8035	no
H1086	H8036	no
H1087	H1091	no
H1087	H1094	yes
H1087	H1097	no
H1087	H3294	no
H1087	H3295	no
H1087	H3925	no
H1087	H3928	no
H1087	H4633	no
H1087	H6168	no
H1087	H6169	no
H1087	H6172	no
H1087	H6181	no
H1087	H8034	no
H1087	H8035	no
H1087	H8036	no
H1087	H8210	no
H1087	H8388	no
H1087	H8389	no
H1090	H1091	no
H1090	H1204	no
H1090	H4763	no
H1090	H5126	no
H1090	H5753	no
H1090	H5754	no
H1090	H5755	no
H1090	H5792	no
H1090	H6256	no
H1090	H6258	no
H1090	H6261	no
H1090	H6269	no
H1090	H6731	no
H1090	H6732	no
H1090	H8388	no
H1090	H8389	no
H1091	H1094	no
H1091	H1097	no
H1091	H1204	yes
H1091	H3925	no
H1091	H3928	no
H1091	H4763	no
H1091	H5126	no
H1091	H5753	no
H1091	H5754	no
H1091	H5755	no
H1091	H5792	no
H1091	H6256	no
H1091	H6258	no
H1091	H6261	no
H1091	H6269	no
H1091	H6731	no
H1091	H6732	no
H1091	H8034	no
H1091	H8035	no
H1091	H8036	no
H1091	H8388	no
H1091	H8389	no
H1094	H1097	no
H1094	H3925	no
H1094	H3928	no
H1094	H8034	no
H1094	H8035	no
H1094	H8036	no
H1097	H1100	no
H1097	H3276	no
H1097	H3277	no
H1097	H3278	no
H1097	H3925	no
H1097	H3928	no
H1097	H8034	no
H1097	H8035	no
H1097	H8036	no
H1097	H8388	no
H1097	H8389	no
H1098	H1101	no
H1098	H8397	no
H1098	H8557	no
H1100	H3276	no
H1100	H3277	no
H1100	H3278	no
H1100	H8388	no
H1100	H8389	no
H1101	H8397	no
H1101	H8557	no
H1104	H1105	yes
H1104	H3709	no
H1104	H3710	no
H1105	H3709	no
H1105	H3710	no
H1107	H8432	unsure
H1115	H3925	no
H1115	H3928	no
H1116	H3925	no
H1116	H3928	no
H1117	H3925	no
H1117	H3928	no
H1119	H1767	no
H1119	H4074	no
H1119	H4075	no
H1119	H4076	no
H1120	H1181	unsure
H1120	H1991	no
H1120	H1993	no
H1120	H2053	no
H1120	H4191	no
H1120	H4194	no
H1120	H4463	no
H1120	H4962	no
H1120	H8546	no
H1121	H1129	no
H1121	H1137	no
H1121	H1138	no
H1121	H1323	yes
H1121	H3815	no
H1121	H3925	no
H1121	H3928	no
H1121	H5126	no
H1121	H5788	no
H1121	H8403	no
H1122	H2825	no
H1122	H3828	no
H1122	H3835	no
H1122	H3836	no
H1122	H3837	no
H1122	H3839	no
H1122	H3843	no
H1122	H3925	no
H1122	H3928	no
H1122	H4192	unsure
H1122	H4404	no
H1122	H8034	no
H1122	H8035	no
H1122	H8036	no
H1124	H1248	no
H1124	H1249	no
H1124	H1250	no
H1124	H1262	no
H1124	H1275	no
H1124	H1305	no
H1124	H3415	no
H1124	H3925	no
H1124	H3928	no
H1124	H4828	no
H1124	H4829	no
H1124	H7451	no
H1124	H7453	no
H1124	H7462	no
H1124	H7463	no
H1124	H7464	no
H1124	H7468	no
H1124	H7469	no
H1124	H7471	no
H1124	H7472	no
H1124	H7473	no
H1124	H7475	no
H1124	H7489	no
H1126	H8383	no
H1129	H1137	no
H1129	H1138	no
H1129	H1248	no
H1129	H1249	no
H1129	H1250	no
H1129	H1262	no
H1129	H1275	no
H1129	H1305	no
H1129	H1323	no
H1129	H3415	no
H1129	H4828	no
H1129	H4829	no
H1129	H5126	no
H1129	H7451	no
H1129	H7453	no
H1129	H7462	no
H1129	H7463	no
H1129	H7464	no
H1129	H7468	no
H1129	H7469	no
H1129	H7471	no
H1129	H7472	no
H1129	H7473	no
H1129	H7475	no
H1129	H7489	no
H1129	H8403	no
H1137	H1138	unsure
H1137	H1323	no
H1137	H3925	no
H1137	H3928	no
H1137	H5126	no
H1137	H8403	no
H1138	H1323	no
H1138	H3925	no
H1138	H3928	no
H1138	H5126	no
H1138	H8403	no
H1140	H1141	no
H1140	H5033	no
H1141	H5033	no
H1144	H1145	yes
H1144	H3225	no
H1144	H3228	yes
H1144	H3231	no
H1144	H5045	no
H1144	H6845	no
H1144	H8388	no
H1144	H8389	no
H1145	H3225	no
H1145	H3228	yes
H1145	H3231	no
H1145	H5045	no
H1145	H6845	no
H1145	H8388	no
H1145	H8389	no
H1146	H1147	yes
H1146	H6658	no
H1146	H6660	no
H1147	H6658	no
H1147	H6660	no
H1155	H6348	no
H1155	H6349	no
H1157	H1697	no
H1157	H1817	no
H1157	H3925	no
H1157	H3928	no
H1157	H5126	no
H1157	H5597	no
H1157	H5703	no
H1157	H5704	no
H1157	H5706	no
H1157	H5708	no
H1157	H5716	no
H1157	H5728	no
H1157	H5749	no
H1157	H5752	no
H1157	H7998	no
H1158	H3925	yes
H1158	H3928	yes
H1158	H7735	no
H1160	H1165	no
H1160	H3925	no
H1160	H3928	no
H1160	H4726	no
H1160	H5782	no
H1160	H5785	no
H1160	H5786	no
H1160	H5787	no
H1160	H5788	no
H1160	H5892	no
H1160	H6179	no
H1160	H6180	no
H1160	H6181	no
H1160	H6186	no
H1160	H6187	no
H1161	H1204	yes
H1161	H1205	yes
H1163	H3925	no
H1163	H3928	no
H1163	H5842	no
H1163	H5843	no
H1163	H5844	no
H1163	H5860	no
H1163	H5861	no
H1165	H3925	no
H1165	H3928	no
H1165	H4726	no
H1165	H5782	no
H1165	H5785	no
H1165	H5786	no
H1165	H5787	no
H1165	H5788	no
H1165	H5895	no
H1165	H5900	no
H1165	H6144	no
H1165	H6179	no
H1165	H6180	no
H1165	H6181	no
H1165	H6186	no
H1165	H6187	no
H1166	H1167	yes
H1166	H1171	no
H1166	H1172	no
H1166	H1173	no
H1166	H1187	no
H1166	H3925	no
H1166	H3928	no
H1166	H5464	no
H1166	H5953	no
H1166	H5954	no
H1166	H7154	no
H1167	H1171	no
H1167	H1172	yes
H1167	H1173	no
H1167	H1187	no
H1167	H3925	no
H1167	H3928	no
H1167	H5464	no
H1167	H5953	no
H1167	H5954	no
H1167	H7154	no
H1171	H1172	no
H1171	H1173	no
H1171	H1187	no
H1171	H3925	no
H1171	H3928	no
H1171	H5464	no
H1171	H5953	no
H1171	H5954	no
H1171	H7154	no
H1172	H1173	no
H1172	H1187	no
H1172	H3925	no
H1172	H3928	no
H1172	H5464	no
H1172	H5953	no
H1172	H5954	no
H1172	H7154	no
H1173	H1187	no
H1173	H3925	no
H1173	H3928	no
H1173	H5464	no
H1173	H5953	no
H1173	H5954	no
H1173	H7154	no
H1181	H1991	no
H1181	H1993	no
H1181	H2053	no
H1181	H4191	no
H1181	H4194	no
H1181	H4463	no
H1181	H4962	no
H1181	H8546	no
H1187	H3925	no
H1187	H3928	no
H1187	H5464	no
H1187	H5953	no
H1187	H5954	no
H1187	H7154	no
H1197	H1198	no
H1197	H8404	unsure
H1198	H8404	unsure
H1204	H1205	yes
H1204	H4763	no
H1204	H5126	no
H1204	H5753	no
H1204	H5754	no
H1204	H5755	no
H1204	H5792	no
H1204	H6256	no
H1204	H6258	no
H1204	H6261	no
H1204	H6269	no
H1204	H6731	no
H1204	H6732	no
H1204	H8388	no
H1204	H8389	no
H1207	H2706	no
H1207	H2710	no
H1207	H2712	no
H1207	H2714	no
H1207	H5810	no
H1207	H5811	no
H1208	H1210	no
H1208	H1219	no
H1208	H1220	no
H1208	H1226	no
H1208	H4013	no
H1208	H7389	no
H1210	H1219	yes
H1210	H1220	no
H1210	H1226	no
H1210	H4013	no
H1210	H7389	no
H1211	H4698	no
H1211	H6738	no
H1211	H6739	no
H1211	H6740	no
H1211	H6741	no
H1211	H6742	no
H1211	H6749	no
H1211	H6750	no
H1211	H6751	no
H1211	H6754	no
H1211	H6755	no
H1211	H6767	no
H1214	H1215	no
H1216	H3888	no
H1217	H3888	yes
H1219	H1221	no
H1219	H2053	no
H1219	H2521	no
H1219	H2719	no
H1219	H4013	no
H1219	H4692	no
H1219	H4693	no
H1219	H4694	no
H1219	H4712	no
H1219	H5126	no
H1219	H5341	no
H1219	H5342	no
H1219	H5771	no
H1219	H6113	no
H1219	H6677	no
H1219	H6696	no
H1219	H6697	no
H1219	H6699	no
H1219	H6735	no
H1219	H6862	no
H1219	H6864	no
H1219	H6869	no
H1219	H6874	no
H1219	H6875	no
H1219	H6876	no
H1219	H6887	no
H1219	H7114	no
H1219	H7115	no
H1219	H7116	no
H1219	H7389	no
H1220	H1221	no
H1220	H2053	no
H1220	H2521	no
H1220	H2719	no
H1220	H4013	no
H1220	H4692	no
H1220	H4693	no
H1220	H4694	no
H1220	H4712	no
H1220	H5126	no
H1220	H5341	no
H1220	H5342	no
H1220	H5771	no
H1220	H6113	no
H1220	H6677	no
H1220	H6696	no
H1220	H6697	no
H1220	H6699	no
H1220	H6735	no
H1220	H6862	no
H1220	H6864	no
H1220	H6869	no
H1220	H6874	no
H1220	H6875	no
H1220	H6876	no
H1220	H6887	no
H1220	H7114	no
H1220	H7115	no
H1220	H7116	no
H1220	H7389	no
H1221	H1226	no
H1221	H2053	no
H1221	H2521	no
H1221	H2719	no
H1221	H4692	no
H1221	H4693	no
H1221	H4694	no
H1221	H4712	no
H1221	H5126	no
H1221	H5341	no
H1221	H5342	no
H1221	H5771	no
H1221	H6113	no
H1221	H6677	no
H1221	H6696	no
H1221	H6697	no
H1221	H6699	no
H1221	H6735	no
H1221	H6862	no
H1221	H6864	no
H1221	H6869	no
H1221	H6874	no
H1221	H6875	no
H1221	H6876	no
H1221	H6887	no
H1221	H7114	no
H1221	H7115	no
H1221	H7116	no
H1226	H2053	no
H1226	H2521	no
H1226	H2719	no
H1226	H4013	no
H1226	H4692	no
H1226	H4693	no
H1226	H4694	no
H1226	H4712	no
H1226	H5126	no
H1226	H5341	no
H1226	H5342	no
H1226	H5771	no
H1226	H6113	no
H1226	H6677	no
H1226	H6696	no
H1226	H6697	no
H1226	H6699	no
H1226	H6735	no
H1226	H6862	no
H1226	H6864	no
H1226	H6869	yes
H1226	H6874	no
H1226	H6875	no
H1226	H6876	no
H1226	H6887	no
H1226	H7114	no
H1226	H7115	no
H1226	H7116	no
H1226	H7389	no
H1233	H1234	yes
H1233	H1235	no
H1233	H1237	no
H1234	H1235	no
H1234	H1237	no
H1235	H1237	no
H1239	H1242	no
H1239	H1244	no
H1242	H1244	no
H1243	H2528	no
H1243	H2534	no
H1243	H2535	no
H1243	H7119	no
H1243	H7135	no
H1243	H7389	no
H1245	H6971	no
H1248	H1275	no
H1248	H1285	no
H1248	H1287	no
H1248	H1614	no
H1248	H3527	no
H1248	H3529	no
H1248	H3925	no
H1248	H3928	no
H1248	H7389	no
H1249	H1275	no
H1249	H1285	no
H1249	H1287	no
H1249	H1614	no
H1249	H3527	no
H1249	H3529	no
H1249	H3925	no
H1249	H3928	no
H1249	H7389	no
H1250	H1275	no
H1250	H1285	no
H1250	H1287	no
H1250	H1614	no
H1250	H3527	no
H1250	H3529	no
H1250	H3925	no
H1250	H3928	no
H1250	H7389	no
H1254	H1277	no
H1254	H1278	no
H1254	H3335	unsure
H1254	H3336	no
H1254	H3337	no
H1254	H3925	no
H1254	H3928	no
H1254	H6869	no
H1254	H6887	no
H1261	H1690	no
H1262	H1275	no
H1262	H1285	no
H1262	H1287	no
H1262	H1614	no
H1262	H3509	no
H1262	H3523	no
H1262	H3524	no
H1262	H3528	no
H1262	H3529	no
H1262	H3530	no
H1262	H3738	no
H1262	H3739	no
H1262	H3741	no
H1262	H3747	no
H1262	H3925	no
H1262	H3928	no
H1262	H4196	no
H1262	H4345	no
H1262	H4379	no
H1262	H4380	no
H1262	H7389	no
H1272	H5153	no
H1272	H5154	no
H1272	H5172	no
H1272	H5173	no
H1272	H5175	no
H1272	H5178	no
H1272	H5180	no
H1272	H8297	no
H1272	H8298	no
H1272	H8388	no
H1272	H8389	no
H1275	H1305	no
H1275	H1961	no
H1275	H2053	no
H1275	H3254	no
H1275	H3551	no
H1275	H3554	no
H1275	H3555	no
H1275	H3587	no
H1275	H4596	no
H1275	H5089	no
H1275	H5091	no
H1275	H5092	no
H1275	H5204	no
H1275	H5595	no
H1275	H5856	no
H1275	H6723	no
H1275	H6728	no
H1275	H7310	no
H1275	H7377	no
H1275	H7522	no
H1275	H7699	no
H1275	H7700	no
H1275	H7701	no
H1275	H7702	no
H1275	H7703	no
H1275	H8071	no
H1275	H8072	no
H1277	H1278	no
H1277	H2318	no
H1277	H2319	no
H1277	H2320	no
H1277	H3925	no
H1277	H3928	no
H1277	H8605	no
H1278	H3925	no
H1278	H3928	no
H1281	H5153	no
H1281	H5154	no
H1281	H5172	no
H1281	H5173	no
H1281	H5175	no
H1281	H5178	no
H1281	H5180	no
H1281	H8297	no
H1281	H8298	no
H1281	H8388	no
H1281	H8389	no
H1285	H1305	no
H1285	H1614	no
H1285	H3527	no
H1285	H3529	no
H1285	H3925	no
H1285	H3928	no
H1285	H7389	no
H1285	H7622	no
H1287	H1305	unsure
H1287	H1614	no
H1287	H3527	no
H1287	H3529	no
H1287	H3925	no
H1287	H3928	no
H1287	H7389	no
H1287	H7622	no
H1288	H1290	no
H1288	H1293	yes
H1288	H1295	no
H1288	H7389	no
H1288	H8388	no
H1288	H8389	no
H1290	H1293	no
H1290	H1295	no
H1290	H7389	no
H1290	H8388	no
H1290	H8389	no
H1293	H1295	no
H1293	H7389	no
H1293	H8388	no
H1293	H8389	no
H1295	H7389	no
H1295	H8388	no
H1295	H8389	no
H1305	H1614	no
H1305	H3709	no
H1305	H3710	no
H1305	H3925	no
H1305	H3928	no
H1305	H7389	no
H1309	H1319	yes
H1309	H1320	no
H1310	H1311	yes
H1310	H1312	no
H1311	H1312	no
H1314	H1984	no
H1314	H1985	no
H1314	H4753	yes
H1314	H6779	no
H1314	H6780	no
H1317	H1322	yes
H1317	H3925	no
H1317	H3928	no
H1317	H3967	no
H1317	H5126	no
H1319	H1321	no
H1319	H6099	no
H1319	H6105	no
H1319	H6106	no
H1319	H6108	no
H1319	H6109	no
H1319	H8388	no
H1319	H8389	no
H1320	H1321	yes
H1320	H6099	no
H1320	H6105	no
H1320	H6106	no
H1320	H6108	no
H1320	H6109	no
H1320	H8388	no
H1320	H8389	no
H1321	H6099	no
H1321	H6105	no
H1321	H6106	no
H1321	H6108	no
H1321	H6109	no
H1321	H8388	no
H1321	H8389	no
H1322	H4648	no
H1322	H5126	no
H1322	H5128	no
H1322	H5130	no
H1322	H5131	no
H1322	H5299	no
H1322	H5317	no
H1322	H7311	no
H1322	H8573	no
H1323	H3925	no
H1323	H3928	no
H1323	H5126	no
H1323	H8403	no
H1324	H1326	no
H1324	H1327	no
H1326	H1327	no
H1330	H1331	yes
H1334	H1335	unsure
H1334	H1336	unsure
H1335	H1336	unsure
H1341	H1342	no
H1341	H1343	yes
H1341	H1346	yes
H1341	H1347	yes
H1341	H1348	yes
H1341	H1465	no
H1341	H1466	yes
H1341	H1467	yes
H1341	H3925	no
H1341	H3928	no
H1342	H1343	unsure
H1342	H1346	unsure
H1342	H1347	no
H1342	H1348	no
H1342	H1465	no
H1342	H1466	no
H1342	H1467	no
H1342	H3925	no
H1342	H3928	no
H1343	H1346	yes
H1343	H1347	yes
H1343	H1348	unsure
H1343	H1465	no
H1343	H1466	yes
H1343	H1467	yes
H1343	H3925	no
H1343	H3928	no
H1346	H1347	yes
H1346	H1348	unsure
H1346	H1465	no
H1346	H1466	yes
H1346	H1467	yes
H1346	H3381	no
H1346	H3382	no
H1346	H3970	no
H1346	H4998	no
H1346	H5000	no
H1346	H8376	no
H1346	H8378	no
H1346	H8379	no
H1346	H8427	no
H1347	H1348	yes
H1347	H1465	no
H1347	H1466	yes
H1347	H1467	yes
H1347	H2053	no
H1347	H3925	no
H1347	H3928	no
H1347	H5753	no
H1347	H5771	no
H1347	H5773	no
H1347	H5790	no
H1347	H5791	no
H1347	H7582	no
H1347	H7583	no
H1348	H1465	no
H1348	H1466	no
H1348	H1467	no
H1348	H3925	no
H1348	H3928	no
H1350	H1351	no
H1350	H1353	yes
H1351	H1353	no
H1354	H1373	no
H1354	H1384	yes
H1354	H1386	no
H1354	H1462	no
H1354	H5126	no
H1356	H1357	no
H1356	H1360	yes
H1356	H1373	no
H1356	H1374	no
H1356	H1462	no
H1357	H1360	no
H1357	H1373	no
H1357	H1374	no
H1357	H1462	unsure
H1360	H1373	no
H1360	H1374	no
H1360	H1462	no
H1360	H2834	no
H1360	H2835	no
H1360	H4286	no
H1361	H1362	unsure
H1361	H1363	unsure
H1361	H1364	unsure
H1361	H1365	unsure
H1361	H3045	no
H1361	H3046	no
H1361	H3047	no
H1361	H3709	no
H1361	H3710	no
H1361	H3833	no
H1361	H3925	no
H1361	H3928	no
H1361	H3996	no
H1361	H5668	no
H1361	H5669	no
H1361	H8393	no
H1362	H1363	yes
H1362	H1364	yes
H1362	H1365	no
H1363	H1364	yes
H1363	H1365	no
H1364	H1365	no
H1366	H1367	yes
H1366	H1379	yes
H1366	H1380	no
H1366	H1383	no
H1366	H4020	no
H1367	H1379	yes
H1367	H1380	no
H1367	H1383	no
H1367	H4020	no
H1368	H1369	yes
H1368	H1376	no
H1368	H1396	no
H1368	H1397	no
H1368	H1404	no
H1369	H1376	no
H1369	H1396	no
H1369	H1397	no
H1369	H1404	no
H1371	H7139	yes
H1371	H7142	yes
H1371	H7144	yes
H1373	H1374	no
H1373	H1384	no
H1373	H1386	no
H1373	H5126	no
H1374	H1462	no
H1375	H1389	no
H1375	H1390	no
H1376	H1396	no
H1376	H1397	unsure
H1376	H1404	no
H1376	H2626	no
H1376	H2630	no
H1376	H2633	no
H1376	H3029	no
H1376	H3032	no
H1376	H3033	no
H1376	H3034	no
H1376	H3039	no
H1376	H7043	no
H1376	H7231	no
H1376	H7401	no
H1376	H7416	no
H1379	H1380	no
H1379	H1383	no
H1379	H4020	no
H1380	H1383	no
H1380	H4020	no
H1383	H4020	yes
H1384	H1462	no
H1384	H5126	no
H1386	H1462	no
H1386	H5126	no
H1389	H1390	yes
H1396	H1397	no
H1396	H1404	no
H1396	H2426	no
H1396	H2428	no
H1396	H2431	no
H1396	H2455	no
H1396	H5550	no
H1397	H1404	no
H1404	H2250	no
H1404	H2266	no
H1404	H2267	no
H1404	H2270	no
H1404	H2271	no
H1404	H2278	yes
H1404	H3928	no
H1407	H1409	no
H1407	H1410	no
H1409	H1410	unsure
H1413	H1416	no
H1413	H1418	no
H1413	H1464	no
H1413	H3651	no
H1413	H3653	no
H1413	H3654	no
H1413	H5921	no
H1413	H8525	no
H1416	H1418	no
H1416	H1464	no
H1416	H3651	no
H1416	H3653	no
H1416	H3654	no
H1416	H5921	no
H1416	H8525	no
H1418	H1464	no
H1418	H3651	no
H1418	H3653	no
H1418	H3654	no
H1418	H5921	no
H1418	H8525	yes
H1419	H1431	yes
H1419	H1432	yes
H1419	H1433	yes
H1419	H1434	no
H1419	H1826	no
H1419	H3709	no
H1419	H3710	no
H1419	H4024	no
H1419	H4026	no
H1419	H4134	no
H1419	H4355	no
H1420	H4661	no
H1420	H5310	no
H1420	H5311	no
H1420	H6327	no
H1421	H1442	yes
H1421	H2476	no
H1431	H1432	no
H1431	H1433	yes
H1431	H1434	no
H1431	H4024	no
H1431	H4026	no
H1432	H1433	no
H1432	H1434	no
H1432	H4024	no
H1432	H4026	no
H1433	H1434	no
H1433	H2666	no
H1433	H2667	no
H1433	H2668	no
H1433	H2670	no
H1433	H2932	no
H1433	H3925	no
H1433	H3928	no
H1433	H4024	no
H1433	H4026	no
H1433	H7061	no
H1433	H7062	no
H1434	H4024	no
H1434	H4026	no
H1434	H4198	no
H1434	H4199	no
H1434	H5687	no
H1434	H5688	unsure
H1434	H6121	no
H1434	H8388	unsure
H1434	H8389	no
H1442	H2476	no
H1443	H1447	yes
H1443	H1448	yes
H1447	H1448	yes
H1455	H1456	yes
H1455	H3709	no
H1455	H3710	no
H1456	H3709	no
H1456	H3710	no
H1458	H1460	yes
H1458	H1466	no
H1458	H1471	no
H1458	H1472	no
H1458	H2800	no
H1460	H1466	no
H1460	H1472	no
H1462	H5126	no
H1464	H3651	no
H1464	H3653	no
H1464	H3654	no
H1464	H5921	no
H1464	H8525	no
H1465	H1466	no
H1465	H1467	no
H1465	H3925	no
H1465	H3928	no
H1466	H1467	yes
H1466	H1471	no
H1466	H1472	no
H1466	H2800	no
H1466	H3925	no
H1466	H3928	no
H1467	H3925	no
H1467	H3928	no
H1468	H1494	unsure
H1468	H1495	no
H1468	H8388	no
H1468	H8389	no
H1469	H1497	no
H1469	H1499	no
H1471	H1472	no
H1472	H2800	no
H1473	H1540	no
H1473	H1543	no
H1473	H1549	no
H1473	H1556	no
H1473	H1847	no
H1473	H3045	no
H1473	H3046	no
H1473	H3047	no
H1473	H3427	no
H1473	H3445	no
H1473	H5183	no
H1473	H7725	no
H1473	H7745	no
H1473	H7746	no
H1473	H7817	no
H1473	H7845	no
H1473	H7882	no
H1475	H6971	no
H1479	H1610	no
H1479	H1652	no
H1479	H1653	no
H1480	H6731	no
H1481	H1482	no
H1481	H1484	no
H1481	H1616	yes
H1481	H1752	no
H1481	H1755	no
H1481	H2490	no
H1481	H2491	no
H1481	H4033	yes
H1481	H4034	no
H1481	H4048	no
H1481	H4070	no
H1481	H4460	no
H1481	H5064	no
H1481	H5157	no
H1481	H5158	no
H1481	H5159	no
H1482	H1484	yes
H1482	H1616	no
H1482	H4032	no
H1482	H4033	no
H1482	H4034	no
H1482	H4048	no
H1482	H4460	no
H1484	H1616	no
H1484	H4032	no
H1484	H4033	no
H1484	H4034	no
H1484	H4048	no
H1484	H4460	no
H1488	H1494	no
H1488	H1496	no
H1494	H1495	no
H1494	H8388	no
H1494	H8389	no
H1495	H8388	no
H1495	H8389	no
H1497	H1499	unsure
H1497	H2053	no
H1497	H3027	no
H1497	H3028	no
H1497	H3035	no
