code	en	es	fr	zh-hans	id
032002	Come To Understand	Llegar a comprender	Venir à comprendre	终于理解或明白过来	Sampai Memahami
032003	Ease or Difficulty in Understanding	Facilidad o dificultad de comprensión	Facilité ou difficulté à comprendre	容易理解或难于理解	Kemudahan atau Kesulitan dalam Memahami
032004	Capacity for Understanding	Capacidad de comprensión	Capacité de compréhension	理解能力	Kapasitas untuk Memahami
032005	Lack of Capacity for Understanding	Falta de capacidad para entender	Manque de capacité de compréhension	缺乏理解能力	Kurangnya Kapasitas untuk Memahami
033001	Language	Lenguaje	Langage	语言	Bahasa
033002	Word, Passage	Palabra, pasaje	Mot, passage	言语，段落	Kata, Bagian (Teks)
033003	Discourse Types	Tipos de discurso	Types de discours	话语类型	Jenis Wacana
033004	Language Levels	Niveles lingüísticos	Niveaux de langue	语言层次	Tingkat Bahasa
033005	Written Language	Lenguaje escrito	Langue écrite	书面语言	Bahasa Tertulis
033006	Speak, Talk	Hablar, Conversar	Parler, discuter	说话，谈话	Berbicara, Berkata
033007	Sing, Lament	Cantar, Lamentar	Chanter, se lamenter	唱歌，唱哀歌	Menyanyi, Meratap
033008	Keep Silent	Guardar silencio	Garder le silence	保持沉默	Berdiam Diri
033009	Name	Nombre	Nom	名字	Nama
033010	Interpret, Mean, Explain	Interpretar, Significar, Explicar	Interpréter, signifier, expliquer	翻译，表示……的意思，说明	Menafsirkan, Mengartikan, Menjelaskan
033011	Converse, Discuss	Conversar, Discutir	Converser, discuter	交谈，讨论	Bercakap, Berdiskusi
033012	Ask For, Request	Pedir por, Solicitar	Demander, solliciter	请求，要求	Meminta, Memohon
033013	Pray	Orar	Prier	祷告	Berdoa
033014	Question, Answer	Pregunta, Respuesta	Questionner, répondre	问题，答案	Bertanya, Menjawab
033015	Inform, Announce	Informe, Anuncio	Informer, annoncer	通知，宣布	Memberitahu, Mengumumkan
033016	Assert, Declare	Afirmar, Declarar	Affirmer, déclarer	断言，声明	Menegaskan, Menyatakan
033017	Teach	Enseñar	Enseigner	教导	Mengajar
033018	Speak Truth, Speak Falsehood	Decir la Verdad, Decir Falsedad	Dire la vérité, dire le mensonge	说真话，说假话	Mengatakan Kebenaran, Mengatakan Kebohongan
033019	Preach, Proclaim	Predicar, Proclamar	Prêcher, proclamer	传道，宣扬	Memberitakan, Memaklumkan
033020	Witness, Testify	Atestiguar, Testificar	Témoigner, attester	见证，证明	Bersaksi, Memberi Kesaksian
033021	Profess Allegiance	Profesar Lealtad	Professer son allégeance	宣称效忠	Menyatakan Kesetiaan
033022	Admit, Confess, Deny	Admitir, Confesar, Negar	Admettre, confesser, nier	承认，宣认，否认	Mengakui, Membenarkan, Menyangkal
033023	Agree	Estar de acuerdo	Accepter	赞同	Setuju
033024	Foretell, Tell Fortunes	Predecir, Adivinar el futuro	Prédire, deviner l'avenir	预告，占卜	Meramalkan, Menujum
033025	Promise	Promea	Promettre	承诺	Berjanji
033026	Threaten	Amenazar	Menacer	威胁	Mengancam
033027	Advise	Aconsejar	Conseiller	建议	Menasihati
033028	Urge, Persuade	Urgir, Persuadir	Exhorter, persuader	劝告，力劝	Mendesak, Membujuk
033029	Call	Llamar	Appeler	召唤，呼召	Memanggil
033030	Invite	Invitar	Inviter	邀请	Mengundang
033031	Insist	Insistir	Insister	坚持	Bersikeras
033032	Command, Order	Mandar, Ordenar	Commander, ordonner	吩咐，命令	Memerintah, Menyuruh
033033	Law, Regulation, Ordinance	Ley, Reglamento, Ordenanza	Loi, règlement, ordonnance	法律，规则，条例	Hukum, Peraturan, Ketetapan
033034	Recommend, Propose	Recomendar, Proponer	Recommander, proposer	推荐，提议	Menganjurkan, Mengusulkan
033035	Intercede	Interceder	Intercéder	求情	Menjadi Perantara
033036	Thanks	Gracias	Merci	感谢	Ucapan Terima Kasih
033037	Praise	Alabanza	Louer	赞美	Memuji
033038	Flatter	Adular	Fléchir	奉承	Menyanjung
033039	Boast	Presumir	Se vanter	吹嘘	Menyombongkan Diri
033040	Foolish Talk	Hablar tonterías	Paroles insensées	愚蠢的话	Perkataan Bodoh
033041	Complain	Queja	Se plaindre	埋怨	Mengeluh
033042	Insult, Slander	Insulto, Calumnia	Insulter, calomnier	侮辱，中伤	Menghina, Memfitnah
033043	Gossip	Chisme	Commérer	说闲话	Bergosip
033044	Mock, Ridicule	Burlarse, Ridiculizar	Se moquer, ridiculiser	嘲笑，戏弄	Mengejek, Mencemooh
033045	Criticize	Criticar	Critiquer	批评	Mengkritik
033046	Rebuke	Reprender	Réprimander	指责	Menegur
033047	Warn	Advertir	Avertir	警告	Memperingatkan
033048	Accuse, Blame	Acusar, Culpar	Accuser, blâmer	控告，谴责	Menuduh, Menyalahkan
033049	Defend, Excuse	Defender, Excusar	Défendre, excuser	辩护，藉口	Membela, Memaafkan
033050	Dispute, Debate	Disputar, debatir	Contester, débattre	辩论，争论	Berselisih, Berdebat
033051	Argue, Quarrel	Discutir, reñir	Discuter, se quereller	争辩，争吵	Bertengkar, Berbantah
033052	Oppose, Contradict	Oponerse, Contradecir	S'opposer, contredire	反对，驳斥	Menentang, Membantah
033053	Prophesy	Profetizar	Prophétiser	预言	Bernubuat
033054	Swear, Put Under Oath, Vow	Jurar, Poner bajo juramento, Hacer un voto	Jurer, faire prêter serment, faire vœu	发誓，宣誓，许愿	Bersumpah, Mengambil Sumpah, Bernazar
033055	Bless, Curse	Bendición, Maldición	Bénir, maudire	祝福，诅咒	Memberkati, Mengutuk
033056	Non-Verbal Communication	Comunicación no verbal	Communication non verbale	非语言的沟通	Komunikasi Non-Verbal
034001	Associate	Asociar	Associé	联系	Bergaul, Berhubungan
034002	Join, Begin To Associate	Unir, Empezar a Asociar	Rejoindre, commencer à s'associer	加入，开始联系	Bergabung, Mulai Bergaul
034003	Belong To, Be Included in the Membership of, Be Excluded From	Pertenecer a, Estar incluido en la membresía de, Estar excluido de	Appartenir à, être inclus dans la composition de, être exclu de	属于，包括在成员中，排除在外	Termasuk, Menjadi Anggota, Dikeluarkan Dari
034004	Limit or Avoid Association	Limitar o Evitar Asociación	Limiter ou éviter l'association	限制或避免联系	Membatasi atau Menghindari Pergaulan
034005	Establish or Confirm a Relation	Establecer o confirmar una relación	Établir ou confirmer une relation	建立或确认关系	Menjalin atau Meneguhkan Hubungan
034006	Visit	Visitar	Rendre visite	探望	Mengunjungi
034007	Welcome, Receive	Acoger, Recibir	Accueillir, recevoir	迎接，接待	Menyambut, Menerima
034008	Show Hospitality	Ser hospitalario	Faire preuve d'hospitalité	殷勤招待	Menunjukkan Keramahan
034009	Kiss, Embrace	Besar, Abrazar	Embrasser, étreindre	亲吻，拥抱	Mencium, Memeluk
034010	Marriage, Divorce	Matrimonio, Divorcio	Mariage, divorce	结婚，离婚	Pernikahan, Perceraian
035001	Help	Ayudar	Aider	帮助	Menolong
035002	Serve	Servir	Servir	服侍	Melayani
035003	Provide For, Support	Proveer para, apoyar	Subvenir aux besoins, soutenir	供应，支持	Menyediakan Bagi, Menopang
035004	Care For, Take Care Of	Cuidar a, atender a	Prendre soin de, s'occuper de	照顾，照应	Memelihara, Merawat
035005	Entrust To the Care Of	Confiar al cuidado de	Confier à la garde de	托付	Mempercayakan pada Pemeliharaan
035006	Rear, Bring Up	Criar, educar	Élever, éduquer	抚养，养育	Membesarkan, Mengasuh
035007	Adopt	Adoptar	Adopter	收养	Mengangkat sebagai Anak
035008	Desert, Forsake	Desertar, Desamparar	Déserter, abandonner	遗弃，放弃	Meninggalkan, Menelantarkan
036001	Guide, Lead	Guiar, Dirigir	Guider, diriger	引导，引领	Membimbing, Memimpin
036002	Discipline, Train	Disciplinar, Entrenar	Discipliner, former	管教，锻炼	Mendisiplin, Melatih
036003	Obey, Disobey	Obedecer, Desobedecer	Obéir, désobéir	服从，不服从	Menaati, Tidak Menaati
036004	Follow, Be a Disciple	Seguir, Ser Discípulo	Suivre, être un disciple	跟从，成为门徒	Mengikuti, Menjadi Murid
037001	Control, Restrain	Controlar, Restringir	Contrôler, restreindre	控制，限制	Mengendalikan, Menahan
037002	Compel, Force	Obligar, Forzar	Contraindre, forcer	迫使，强迫	Memaksa, Mendesak
037003	Exercise Authority	Ejercer la autoridad	Exercer son autorité	运用权力	Menjalankan Otoritas
037004	Rule, Govern	Reglamentar, Gobernar	Régner, gouverner	管理，统治	Memerintah, Menguasai
037005	Assign to a Role or Function	Asignar un rol o función	Attribuer un rôle ou une fonction	任命，分配职能	Menugaskan pada Suatu Peran atau Fungsi
037006	Seize, Take into Custody	Apoderarse, Poner bajo Custodia	Saisir, mettre en détention	捉拿，扣留	Menangkap, Menahan
037007	Hand Over, Betray	Entregar, Traicionar	Remettre, trahir	交出，出卖	Menyerahkan, Mengkhianati
037008	Imprison	Encarcelar	Emprisonner	监禁	Memenjarakan
037009	Guard, Watch Over	Guardar, Vigilar	Garder, surveiller	守卫，看守	Menjaga, Mengawasi
037010	Release, Set Free	Liberar, Poner en libertad	Libérer, affranchir	释放，解放	Melepaskan, Membebaskan
038001	Punish	Castigar	Punir	惩罚	Menghukum
038002	Reward, Recompense	Recompensa, Recompensar	Récompenser, récompenser	报应，赏罚	Memberi Upah, Membalas
039001	Opposition, Hostility	Oposición, Hostilidad	Opposition, hostilité	对抗，敌意	Perlawanan, Permusuhan
039002	Division	División	Division	分裂	Perpecahan
039003	Resistance	Resistencia	Résistance	抵抗	Penolakan
039004	Yielding	Ceder	Céder	屈服	Mengalah
039005	Strife, Struggle	Contienda, Lucha	Conflit, lutte	冲突，斗争	Pertikaian, Perjuangan
039006	Revenge	Venganza	Vengeance	报复	Pembalasan Dendam
039007	Rebellion	Rebelión	Rébellion	反叛	Pemberontakan
039008	Riot	Motín	Émeute	暴乱	Kerusuhan
039009	Persecution	Persecución	Persécution	迫害	Penganiayaan
039010	Attack	Ataque	Attaque	攻击	Serangan
039011	Ambush	Emboscada	Embuscade	伏击	Penyergapan
039012	Conquer	Conquistar	Conquête	征服	Menaklukkan
040001	Reconciliation	Reconciliación	Réconciliation	和解	Pendamaian
040002	Forgiveness	Perdón	Pardon	宽恕	Pengampunan
041001	Behavior, Conduct	Comportamiento, conducta	Comportement, conduite	行为，品行	Perilaku, Tingkah Laku
041002	Custom, Tradition	Costumbre, Tradición	Coutume, tradition	习俗，传统	Kebiasaan, Tradisi
041003	Particular Patterns of Behavior	Patrones particulares de comportamiento	Modèles particuliers de comportement	特定行为模式	Pola Perilaku Tertentu
041004	Imitate Behavior	Imitar el comportamiento	Imitation du comportement	模仿行为	Meniru Perilaku
041005	Change Behavior	Cambiar el comportamiento	Changement de comportement	改变行为	Mengubah Perilaku
042001	Function	Función	Fonction	发挥功用	Fungsi
042002	Do, Perform	Hacer, realizar	Faire, accomplir	做，执行	Melakukan, Menjalankan
042003	Make, Create	Hacer, Crear	Fabriquer, créer	制作，创造	Membuat, Menciptakan
042004	Work, Toil	Trabajar, Esforzarse	Travail, labeur	工作，劳碌	Bekerja, Berjerih Lelah
042005	Craft, Trade	Artesanía, Comercio	Artisanat, commerce	工艺，职业	Keterampilan, Pertukangan
043	Agriculture	Agricultura	Agriculture	农耕	Pertanian
044	Animal Husbandry, Fishing	Ganadería, Pesca	Élevage, pêche	畜牧，捕鱼	Peternakan, Penangkapan Ikan
045	Building, Constructing	Edificación, Construcción	Bâtir, construire	建造，兴建	Membangun, Mendirikan
046	Household Activities	Actividades domésticas	Activités ménagères	家务活动	Kegiatan Rumah Tangga
047001	Movement of Liquids or Masses	Movimiento de líquidos o masas	Mouvement de liquides ou de masses	液体或干物质的移动	Perpindahan Cairan atau Massa
047002	Use of Liquids	Uso de líquidos	Utilisation de liquides	液体的使用	Penggunaan Cairan
047003	Application and Removal of Liquids or Masses	Aplicación y Eliminación de Líquidos o Masas	Application et retrait de liquides ou de masses	液体或干物质的应用及清除	Pengolesan dan Penghapusan Cairan atau Massa
048	Activities Involving Cloth	Actividades que involucran telas	Activités impliquant des tissus	涉及布料的活动	Kegiatan yang Melibatkan Kain
049	Activities Involving Clothing and Adorning	Actividades que involucran telas y adornos	Activités impliquant les vêtements et la parure	涉及衣着及装饰的活动	Kegiatan yang Melibatkan Pakaian dan Perhiasan
050	Contests and Play	Certámenes y juegos	Concours et jeux	竞赛及游戏	Perlombaan dan Permainan
051	Festivals	Fiestas, Festivales	Fêtes	节日	Perayaan
052	Funerals and Burial	Funerales y Entierros	Funérailles et enterrement	丧礼及葬礼	Pemakaman dan Penguburan
053001	Religious Practice	Práctica Religiosa	Pratique religieuse	宗教行为	Praktik Keagamaan
053002	Offering, Sacrifice	Ofrenda, Sacrificio	Offrande, sacrifice	奉献，献祭	Persembahan, Kurban
053003	Purify, Cleanse	Purificar, Limpiar	Purifier, nettoyer	净化，洁净	Menyucikan, Membersihkan
053004	Defile, Unclean, Common	Profanar, Impuro, Común	Souiller, rendre impur, profaner	玷污，不洁，俗物	Mencemari, Najis, Umum
053005	Baptize	Bautizar	Baptiser	施洗	Membaptis
053006	Dedicate, Consecrate	Dedicar, Consagrar	Consacrer, dédier	献身，成为圣洁	Mendedikasikan, Menguduskan
053007	Worship, Reverence	Adorar, Reverencia	Adorer, vénérer	敬拜，尊崇	Menyembah, Memuja
053008	Fasting	Ayunar	Jeûner	禁食	Berpuasa
053009	Roles and Functions	Roles y Funciones	Rôles et fonctions	角色及作用	Peran dan Fungsi
053010	Magic	Magia	Magie	邪术	Sihir
053011	Exorcism	Exorcismo	Exorcisme	驱鬼	Pengusiran Setan
053012	Sacrilege	Sacrilegio	Sacrilège	亵渎神	Penistaan
054	Maritime Activities	Actividades Marítimas	Activités maritimes	海上活动	Kegiatan Kemaritiman
055001	To Arm	Armar	Armer	配备武器	Mempersenjatai
055002	To Fight	Combatir	Combattre	战斗	Bertempur
055003	Army	Ejército	Armée	军队	Tentara, Bala Tentara
055004	Soldiers, Officers	Soldados, Oficiales	Soldats, officiers	士兵及军官	Prajurit, Perwira
055005	Prisoners of War	Prisioneros de Guerra	Prisonniers de guerre	战俘	Tawanan Perang
056001	Court of Justice	Corte de Justicia	Cour de justice	法庭	Pengadilan
056002	Lawsuit, Case	Demanda, Caso	Procès, affaire	法律诉讼，案件	Gugatan, Perkara
056003	Accusation	Acusación	Accusation	起诉	Dakwaan
056004	Judicial Hearing, Inquiry	Audiencia judicial, investigación	Audience judiciaire, enquête	法庭聆讯，审讯	Sidang Peradilan, Pemeriksaan
056005	Judge, Condemn, Acquit	Juzgar, Condenar, Absolver	Juger, condamner, acquitter	审判，判刑，宣告无罪	Menghakimi, Menghukum, Membebaskan
056006	Obtain Justice	Obtener Justicia	Obtenir justice	伸张正义	Memperoleh Keadilan
056007	Attorney, Lawyer	Abogado, Procurador	Avocat, juriste	辩士，律师	Pengacara, Penasihat Hukum
056008	Lead Off to Punishment	Llevar al castigo	Condamner à une peine	领去受刑	Membawa untuk Dihukum
057	Possess, Transfer, Exchange	Poseer, Transferir, Intercambiar	Posséder, transférer, échanger	拥有，转移，交换	Memiliki, Mengalihkan, Menukar
057001	Have, Possess, Property, Owner	Tener, poseer, propiedad, dueño	Avoir, posséder, propriété, propriétaire	有，拥有，财产，所有者	Memiliki, Punya, Harta, Pemilik
057002	Have Sufficient	Tener Suficiente	Avoir suffisamment	有足够的	Memiliki dengan Cukup
057003	Be Rich, Be Wealthy	Ser rico, ser acaudalado	Être riche, être prospère	有钱，富裕的	Kaya, Berlimpah Harta
057004	Treasure	Tesoro	Trésor	财宝	Harta Karun
057005	Need, Lack	Necesidad, Carencia	Besoin, manque	需要，缺乏	Kebutuhan, Kekurangan
057006	Be Poor, Be Needy, Poverty	Ser pobre, estar necesitado, pobreza	Être pauvre, être dans le besoin, pauvreté	贫乏，贫困，贫穷	Miskin, Melarat, Kemiskinan
057007	Take, Obtain, Gain, Lose	Tomar, Obtener, Ganar, Perder	Prendre, obtenir, gagner, perdre	拿去，获得，赢得，失去	Mengambil, Memperoleh, Mendapat, Kehilangan
057008	Give	Dar	Donner	给予	Memberi
057009	Receive	Recibir	Recevoir	接受	Menerima
057010	Exchange	Intercambio	Échanger	交换	Menukar
057011	Spend, Waste	Gastar, Desperdiciar	Dépenser, gaspiller	花费，浪费	Menghabiskan, Memboroskan
057012	Pay, Price, Cost	Pagar, Precio, Costo	Payer, prix, coût	支付，价钱，费用	Membayar, Harga, Biaya
057013	Hire, Rent Out	Contratar, alquilar	Louer, mettre en location	雇用，出租	Menyewa, Menyewakan
057014	Tax, Tribute	Impuesto, tributo	Taxe, tribut	税款，贡品	Pajak, Upeti
057015	Sell, Buy, Price	Vender, Comprar, Precio	Vendre, acheter, prix	售卖，购买，价钱	Menjual, Membeli, Harga
057016	Earn, Gain, Do Business	Obtener, Ganar, Hacer negocios	Gagner, faire des affaires	赚取，赢利，做生意	Menghasilkan, Untung, Berdagang
057017	Lend, Loan, Interest, Borrow, Bank	Préstamo, Prestar, Intereses, Tomar Prestado, Banco	Prêter, prêt, intérêt, emprunter, banque	借出，贷款，利息，借入，银行	Meminjamkan, Pinjaman, Bunga, Meminjam, Bank
057018	Owe, Debt, Cancel	Deber, Deudas, Cancelar	Detter, dette, annuler	欠债，债项，销账	Berutang, Utang, Menghapus (Utang)
057019	Be a Financial Burden	Ser una carga financiera	Être un fardeau financier	成为财务负担	Menjadi Beban Keuangan
057020	Keep Records	Llevar registros	Tenir des registres	记账	Menyimpan Catatan
057021	Steal, Rob	Robar, Asaltar	Voler, dérober	偷窃，盗取	Mencuri, Merampok
058001	Nature, Character	Naturaleza, Carácter	Nature, caractère	性质，特征	Sifat, Watak
058002	Appearance as an Outward Manifestation of Form	Apariencia como manifestación externa de forma	Apparence en tant que manifestation extérieure de la forme	外貌，形式的外在显现	Penampilan sebagai Wujud Luar dari Bentuk
058003	Basic Principles or Features Defining the Nature of Something	Principios o rasgos básicos que definen la naturaleza de algo	Principes ou caractéristiques fondamentaux définissant la nature de quelque chose	界定事物性质的基本原则或特征	Prinsip atau Ciri Dasar yang Mendefinisikan Sifat Sesuatu
058004	Class, Kind	Clase, tipo	Classe, genre	类别，种类	Golongan, Jenis
058005	Same or Equivalent Kind or Class	Clase o tipo igual o equivalente	Type ou catégorie identique ou équivalent	同类或同等	Jenis atau Golongan yang Sama atau Setara
058006	Different Kind or Class	De Diferente Tipo o Clase	Genre ou classe différent	不同类或不同等	Jenis atau Golongan yang Berbeda
058007	Distinctive, Unique	Distintivo, único	Distinctif, unique	独特的，独一无二的	Khas, Unik
058008	Unusual, Different From the Ordinary	Inusual, diferente de lo ordinario	Insolite, différent de l'ordinaire	不寻常的，与众不同的	Tidak Biasa, Berbeda dari yang Umum
058009	Pattern, Model, Example, and Corresponding Representation	Patrón, Modelo, Ejemplo y Representación correspondiente	Motif, modèle, exemple et représentation correspondante	样式，模式，榜样及对应的表现	Pola, Model, Teladan, dan Representasi yang Bersesuaian
058010	Archetype, Corresponding Type [Antitype]	Arquetipo, Tipo correspondiente [Antitipo]	Archétype, type correspondant [antitype]	原型，对应的类型（对型）	Arketipe, Tipe yang Bersesuaian [Antitipe]
058011	New, Old [primarily non-temporal]	Nuevo, Viejo [primariamente no-temporal]	Nouveau, Ancien [essentiellement non temporel]	新的，旧的（主要指非时间性的事物）	Baru, Lama [terutama non-temporal]
059001	Many, Few [Countables]	Muchos, Pocos [Contables]	Beaucoup, Peu [Comptables]	多，少（可数的事物）	Banyak, Sedikit [yang Dapat Dihitung]
059002	Much, Little [Masses, Collectives, Extensions]	Mucho, Poco [Masas, Colectivos, Extensiones]	Beaucoup, Peu [Masses, Collectifs, Extensions]	多，少（大量，总体，延伸）	Banyak, Sedikit [Massa, Kolektif, Perluasan]
059003	All, Any, Each, Every [Totality]	Todo, Cualquiera, Cada, Todos [Totalidad]	Tous, N'importe lequel, Chacun, Chaque [Totalité]	所有，任何，各个，每个（整体）	Semua, Setiap, Masing-Masing [Keseluruhan]
059004	Full, Empty	Lleno, Vacío	Plein, Vide	满的，空的	Penuh, Kosong
059005	Enough, Sufficient	Bastante, Suficente	Assez, Suffisant	足够的，充足的	Cukup, Memadai
059006	Abundance, Excess, Sparing	Abundancia, Exceso, Ahorro	Abondance, Excès, Économie	充裕，过量，极少	Kelimpahan, Kelebihan, Hemat
059007	Increase, Decrease	Aumentar, Disminuir	Augmentation, Diminution	增加，减少	Bertambah, Berkurang
059008	Add, Subtract	Sumar, Restar	Ajouter, Soustraire	相加，相减	Menambah, Mengurangi
060001	Number, Countless	Número, Incontable	Nombre, Innombrable	数目，无数的	Bilangan, Tak Terhitung
060002	One, Two, Three, Etc. [Cardinals]	Uno, dos, tres, etc. [Números Cardinales]	Un, deux, trois, etc. [Cardinaux]	一，二，三，等等（基数）	Satu, Dua, Tiga, dll. [Kardinal]
060003	First, Second, Third, Etc. [Ordinals]	Primero, Segundo, Tercero, Etc. [Números Ordinales]	Premier, deuxième, troisième, etc. [Ordinaux]	第一，第二，第三，等等（序数）	Pertama, Kedua, Ketiga, dll. [Ordinal]
060004	Half, Third, Fourth [Fractional Part]	La mitad, la tercera, la cuarta [Fracción].	Moitié, tiers, quart [Part fractionnaire]	二分之一，三分之一，四分之一（分数）	Setengah, Sepertiga, Seperempat [Bagian Pecahan]
060005	Once, Twice, Three Times, Etc. [Cardinals of Time]	Una, dos, tres veces, etc. [Cardinales Temporales]	Une fois, deux fois, trois fois, etc. [Cardinaux du temps]	一次，两次，三次，等等（时间基数）	Sekali, Dua Kali, Tiga Kali, dll. [Kardinal Waktu]
060006	Double, Four Times As Much, Etc. [Multiples]	Doble, cuatro veces más, etc. [Múltiplos]	Double, quatre fois plus, etc. [Multiples]	两倍，四倍之多，等等（倍数）	Ganda, Empat Kali Lipat, dll. [Kelipatan]
060007	Pair, Group [Numbered Collectives]	Par, Grupo [Numerales colectivos]	Paire, groupe [Collectifs numérotés]	一对，一群（共计的集合体）	Pasang, Kelompok [Kolektif Berjumlah]
061	Sequence	Secuencia	Séquence	序列	Urutan
062001	Put Together, Arrange [of physical objects]	Juntar, Arreglo [de objetos físicos]	Assembler, Disposer [d'objets physiques]	（实物的）组合，排列	Menyusun, Mengatur [benda fisik]
062002	Organize [of events and states]	Organización [de eventos y estados]	Organiser [d'événements et d'états]	（事件及状态的）安排	Mengorganisasi [peristiwa dan keadaan]
063001	Whole	Entero	Entier	整体	Utuh, Keseluruhan
063002	Unite	Unir	Unir	联合	Menyatukan
063003	Mix	Mezclar	Mélanger	混合	Mencampur
063004	Part	Parte	Partie	部分	Bagian
063005	Remnant	Remanente	Reste	剩余部分	Sisa
063006	Divide	Dividir	Diviser	分开	Membagi
063007	Separate	Separar	Séparer	分隔	Memisahkan
064	Comparison	Comparación	Comparaison	比较	Perbandingan
065001	Valuable, Lacking in Value	Valioso, carente de valor	Précieux, sans valeur	有价值的，没有价值的	Berharga, Tidak Bernilai
065002	Worthy, Not Worthy	Digno, Indigno	Digne, indigne	值得的，不值得的	Layak, Tidak Layak
065003	Good, Bad	Bueno, malo	Bon, Mauvais	好的，坏的	Baik, Buruk
065004	Useful, Useless	Útil, Inútil	Utile, inutile	有用的，无用的	Berguna, Tidak Berguna
065005	Advantageous, Not Advantageous	Ventajoso, Desventajoso	Avantageuse, pas avantageux	有益的，无益的	Menguntungkan, Tidak Menguntungkan
065006	Important, Unimportant	Importante, No Importante	Important, sans importance	重要的，不重要的	Penting, Tidak Penting
066	Proper, Improper	Apropiado, Impropio	Approprié, inapproprié	适当的，不适当的	Pantas, Tidak Pantas
067001	A Point of Time without Reference to Other Points of Time: Time, Occasion, Ever, Often	Punto de tiempo sin referencia a otros puntos de tiempo: tiempo, ocasión, siempre, a menudo	Un point de temps sans référence à d'autres points de temps : le temps, l'occasion, Toujours, Souvent	与其他时间点无关的时间点：时间，时机，曾经，常常	Titik Waktu tanpa Rujukan pada Titik Waktu Lain: Waktu, Kesempatan, Pernah, Sering
067002	A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After	Punto de tiempo con referencia a otros puntos de tiempo: antes, hace tiempo, ahora, al mismo tiempo, cuando, sobre, después	Un point de temps avec référence à d'autres points de temps : Avant, Il y a longtemps, Maintenant, En même temps, Quand, Environ, Après	与其他时间点有关的时间点：之前，很久以前，现在，同时，在那时，大约，之后	Titik Waktu dengan Rujukan pada Titik Waktu Lain: Sebelum, Dahulu, Sekarang, Pada Saat Bersamaan, Ketika, Sekitar, Setelah
067003	A Point of Time with Reference to Duration of Time: Beginning, End	Punto de tiempo con referencia a duración del tiempo: Principio, Fin	Un point de temps avec référence à la durée : Début, Fin	与时间段有关的时间点：起初，最后	Titik Waktu dengan Rujukan pada Durasi Waktu: Permulaan, Akhir
067004	A Point of Time with Reference to Units of Time: Daybreak, Midday, Midnight, Late	Punto de tiempo con referencia a las unidades de tiempo: Amanecer, Mediodía, Medianoche, Tarde	Un moment dans le temps en référence à des unités de temps : l'aube, midi, minuit, tard	与时间单位有关的时间点：黎明，中午，午夜，傍晚	Titik Waktu dengan Rujukan pada Satuan Waktu: Fajar, Tengah Hari, Tengah Malam, Larut
067005	Duration of Time without Reference to Points or Units of Time: Time, Spend Time, Always, Eternal, Old, Immediately, Young	Duración de Tiempo sin Referencia a Puntos o Unidades de Tiempo: Tiempo, Pasar el Tiempo, Siempre, Eterno, Viejo, Inmediato, Joven	Durée du temps sans référence à des moments ou à des unités de temps : le temps, passer du temps, toujours, éternel, ancien, immédiatement, jeune	与时间点或时间单位无关的时间段：时间，花时间，总是，永恒，年老，立即，年轻	Durasi Waktu tanpa Rujukan pada Titik atau Satuan Waktu: Waktu, Menghabiskan Waktu, Selalu, Kekal, Lama, Segera, Muda
067006	Duration of Time with Reference to Some Point of Time: Until, Delay, Still, From	Duración del tiempo con referencia a algún punto de tiempo: Hasta, Retraso, Todavía, Desde	Durée du temps en référence à un moment donné : jusqu'à, retard, encore, depuis	与某个时间点有关的时间段：直至，延迟，仍然，从……起	Durasi Waktu dengan Rujukan pada Suatu Titik Waktu: Sampai, Menunda, Masih, Sejak
067007	Duration of Time with Reference to Some Unit of Time: During, In, While, Throughout	Duración de tiempo con referencia a alguna unidad de tiempo: Durante, En, Mientras, A lo largo de	Durée du temps en référence à une unité de temps : pendant, en, tandis que, tout au long	与某个时间单位有关的时间段：在……期间，在……的时候，当……的时候，自始至终	Durasi Waktu dengan Rujukan pada Suatu Satuan Waktu: Selama, Dalam, Sementara, Sepanjang
067008	Indefinite Units of Time: Age, Lifetime, Interval, Period	Unidades de Tiempo Indefinidas: Edad, Vida, Intervalo, Período	Unités de temps indéfinies : âge, durée de vie, intervalle, période	模糊的时间单位：时代，寿命，间隔，时期	Satuan Waktu Tak Tentu: Zaman, Masa Hidup, Selang, Periode
067009	Definite Units of Time: Year, Month, Week, Day, Hour	Unidades de Tiempo Definidas: Año, Mes, Semana, Día, Hora	Unités de temps définies : année, mois, semaine, jour, heure	明确的时间单位：年，月，星期，日，小时	Satuan Waktu Tertentu: Tahun, Bulan, Minggu, Hari, Jam
067010	Units of Time with Reference to Other Units or Points of Time: Yesterday, Today, Next Day	Unidades de Tiempo con Referencia a Otras Unidades o Puntos de Tiempo: Ayer, Hoy, Próximo Día	Unités de temps en référence à d’autres unités ou moments : hier, aujourd’hui, demain	与其他时间单位或时间点有关的时间单位：昨天，今天，次日	Satuan Waktu dengan Rujukan pada Satuan atau Titik Waktu Lain: Kemarin, Hari Ini, Keesokan Hari
068001	Begin, Start	Empezar, comenzar	Commencer, démarrer	开始	Memulai, Mengawali
068002	Continue	Continuar	Continuer	继续	Melanjutkan
068003	Complete, Finish, Succeed	Completar, terminar, tener éxito	Terminer, finir, réussir	完竣，完成，成就	Menyelesaikan, Merampungkan, Berhasil
068004	Cease, Stop	Cesar, Detenerse	Cesser, s’arrêter	停止	Berhenti, Menghentikan
