# semantic field per MACULA lexeme (high+prior tiers, homograph-precise); CC0
strong	lexeme	lexeme_gloss	neighbor_strong	neighbor_lexeme	neighbor_gloss	relation	confidence	score
H2342	hbo:2342#1	dancers	H8210	hbo:8210#_nosense		similar	prior	0.5
H2342	hbo:2342#1	dancers	H2426	hbo:2426#1	rampart	similar	prior	0.5
H2342	hbo:2342#1	dancers	H2344	hbo:2344#1	sand	similar	prior	0.5
H2342	hbo:2342#1	dancers	H2344	hbo:2344#2	than.[the].sand	similar	prior	0.5
H2342	hbo:2342#1	dancers	H2428	hbo:2428#1	of.strength	similar	prior	0.5
H2342	hbo:2342#1	dancers	H2427	hbo:2427#1	anguish	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6887	hbo:6887#1	it.is.distress	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6887	hbo:6887a#_nosense		similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6887	hbo:6887#3	locked.up	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6887	hbo:6887a#1	foes	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6887	hbo:6887#4	[who.is].in.labor	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6887	hbo:6887#2	I.will.cause.distress	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6887	hbo:6887a#2	the.harasser	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H6093	hbo:6093#1	pain	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H8210	hbo:8210#1	pour.out	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H8210	hbo:8210#2	it.will.be.shed	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H8210	hbo:8210#_nosense		similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H2426	hbo:2426#1	rampart	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H2344	hbo:2344#1	sand	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H2344	hbo:2344#2	than.[the].sand	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H2428	hbo:2428#1	of.strength	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H4246	hbo:4246#1	dancing(s)	similar	prior	0.5
H2342	hbo:2342#2	it.will.whirl.about	H2427	hbo:2427#1	anguish	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6887	hbo:6887#1	it.is.distress	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6887	hbo:6887a#_nosense		similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6887	hbo:6887#3	locked.up	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6887	hbo:6887a#1	foes	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6887	hbo:6887#4	[who.is].in.labor	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6887	hbo:6887#2	I.will.cause.distress	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6887	hbo:6887a#2	the.harasser	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H6093	hbo:6093#1	pain	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H8210	hbo:8210#1	pour.out	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H8210	hbo:8210#2	it.will.be.shed	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H8210	hbo:8210#_nosense		similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H2426	hbo:2426#1	rampart	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H2344	hbo:2344#1	sand	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H2344	hbo:2344#2	than.[the].sand	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H2428	hbo:2428#1	of.strength	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H4246	hbo:4246#1	dancing(s)	similar	prior	0.5
H2342	hbo:2342a#1	I.was.brought.forth	H2427	hbo:2427#1	anguish	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6887	hbo:6887#1	it.is.distress	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6887	hbo:6887a#_nosense		similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6887	hbo:6887#3	locked.up	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6887	hbo:6887a#1	foes	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6887	hbo:6887#4	[who.is].in.labor	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6887	hbo:6887#2	I.will.cause.distress	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6887	hbo:6887a#2	the.harasser	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H6093	hbo:6093#1	pain	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H8210	hbo:8210#1	pour.out	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H8210	hbo:8210#2	it.will.be.shed	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H8210	hbo:8210#_nosense		similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H2426	hbo:2426#1	rampart	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H2344	hbo:2344#1	sand	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H2344	hbo:2344#2	than.[the].sand	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H2428	hbo:2428#1	of.strength	similar	prior	0.5
H2342	hbo:2342a#2	he.was.in.severe.pain	H4246	hbo:4246#1	dancing(s)	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6887	hbo:6887#1	it.is.distress	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6887	hbo:6887a#_nosense		similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6887	hbo:6887#3	locked.up	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6887	hbo:6887a#1	foes	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6887	hbo:6887#4	[who.is].in.labor	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6887	hbo:6887#2	I.will.cause.distress	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6887	hbo:6887a#2	the.harasser	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H6093	hbo:6093#1	pain	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H8210	hbo:8210#1	pour.out	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H8210	hbo:8210#2	it.will.be.shed	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H8210	hbo:8210#_nosense		similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H2426	hbo:2426#1	rampart	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H2344	hbo:2344#1	sand	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H2344	hbo:2344#2	than.[the].sand	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H2428	hbo:2428#1	of.strength	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H4246	hbo:4246#1	dancing(s)	similar	prior	0.5
H2342	hbo:2342a#4	it.writhed	H2427	hbo:2427#1	anguish	similar	prior	0.5
H2342	hbo:2342a#_nosense		H6887	hbo:6887#1	it.is.distress	similar	prior	0.5
H2342	hbo:2342a#_nosense		H6887	hbo:6887a#_nosense		similar	prior	0.5
H2342	hbo:2342a#_nosense		H6887	hbo:6887#3	locked.up	similar	prior	0.5
H2342	hbo:2342a#_nosense		H6887	hbo:6887a#1	foes	similar	prior	0.5
H2342	hbo:2342a#_nosense		H6887	hbo:6887#4	[who.is].in.labor	similar	prior	0.5
H2342	hbo:2342a#_nosense		H6887	hbo:6887#2	I.will.cause.distress	similar	prior	0.5
H2342	hbo:2342a#_nosense		H6887	hbo:6887a#2	the.harasser	similar	prior	0.5
H2342	hbo:2342a#_nosense		H6093	hbo:6093#1	pain	similar	prior	0.5
H2342	hbo:2342a#_nosense		H8210	hbo:8210#1	pour.out	similar	prior	0.5
H2342	hbo:2342a#_nosense		H8210	hbo:8210#2	it.will.be.shed	similar	prior	0.5
H2342	hbo:2342a#_nosense		H8210	hbo:8210#_nosense		similar	prior	0.5
H2342	hbo:2342a#_nosense		H2344	hbo:2344#1	sand	similar	prior	0.5
H2342	hbo:2342a#_nosense		H2344	hbo:2344#2	than.[the].sand	similar	prior	0.5
H2342	hbo:2342a#_nosense		H2428	hbo:2428#1	of.strength	similar	prior	0.5
H2342	hbo:2342a#_nosense		H4246	hbo:4246#1	dancing(s)	similar	prior	0.5
H2344	hbo:2344#1	sand	H2427	hbo:2427#1	anguish	similar	prior	0.5
H2344	hbo:2344#2	than.[the].sand	H2427	hbo:2427#1	anguish	similar	prior	0.5
H2346	hbo:2346#1	wall	H4026	hbo:4026#1	towers	similar	high	0.89
H2346	hbo:2346#1	wall	H1447	hbo:1447#1	a.wall	similar	prior	0.5
H2346	hbo:2346#1	wall	H2426	hbo:2426#1	rampart	similar	prior	0.5
H2346	hbo:2346#1	wall	H4026	hbo:4026b#_nosense		similar	prior	0.5
H2346	hbo:2346#1	wall	H7023	hbo:7023#1	wall	similar	prior	0.5
H2346	hbo:2346#1	wall	H4013	hbo:4013	of.fortification	similar	prior	0.5
H2346	hbo:2346#1	wall	H2545	hbo:2545#1	mother-in-law	similar	prior	0.5
H2346	hbo:2346#1	wall	H2524	hbo:2524	father-in-law	similar	prior	0.5
H2347	hbo:2347#1	it.will.look.with.pity	H2550	hbo:2550#1	I.will.show.pity	similar	high	0.778
H2347	hbo:2347#2	I.will.have.mercy	H2550	hbo:2550#1	I.will.show.pity	similar	high	0.843
H2347	hbo:2347#2	I.will.have.mercy	H7355	hbo:7355#1	I.will.have.compassion.on	similar	high	0.727
H2348	hbo:2348#1	the.coast	H3220	hbo:3220#1	sea	similar	high	0.826
H2348	hbo:2348#1	the.coast	H1366	hbo:1366#1	border	similar	high	0.723
H2348	hbo:2348#1	the.coast	H8193	hbo:8193#1	lips	similar	prior	0.5
H2351	hbo:2351#1	outside	H2435	hbo:2435#1	outer	similar	high	0.788
H2351	hbo:2351#_nosense		H2435	hbo:2435#1	outer	similar	high	0.711
H2351	hbo:2351#_nosense		H1004	hbo:1004#_nosense		antonym	recall	0.49
H2355	hbo:2355a	white.cloth	H2353	hbo:2353	white.cloth	similar	prior	0.5
H2356	hbo:2356	holes	H4631	hbo:4631#1	cave	similar	prior	0.5
H2356	hbo:2356	holes	H2352	hbo:2352	[the].hole	similar	prior	0.5
H2357	hbo:2357	they.will.grow.pale	H2353	hbo:2353	white.cloth	similar	prior	0.5
H2357	hbo:2357	they.will.grow.pale	H2751	hbo:2751	of.white.bread	similar	prior	0.5
H2357	hbo:2357	they.will.grow.pale	H2355	hbo:2355a	white.cloth	similar	prior	0.5
H2363	hbo:2363#1	make	H2649	hbo:2649#1	haste	similar	prior	0.5
H2363	hbo:2363#1	make	H4116	hbo:4116#_nosense		similar	prior	0.5
H2363	hbo:2363#1	make	H1765	hbo:1765#1	hurried	similar	prior	0.5
H2368	hbo:2368#1	of.a.seal	H2885	hbo:2885#1	rings	similar	high	0.615
H2368	hbo:2368#1	of.a.seal	H2856	hbo:2856#1	sealed.up	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H2377	hbo:2377#1	vision	similar	high	0.829
H2372	hbo:2372#1	he.saw	H5027	hbo:5027#1	look	similar	high	0.787
H2372	hbo:2372#1	he.saw	H7200	hbo:7200#_nosense		similar	high	0.711
H2372	hbo:2372#1	he.saw	H4759	hbo:4759#1	vision	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H2384	hbo:2384#_nosense		similar	prior	0.5
H2372	hbo:2372#1	he.saw	H7688	hbo:7688	they.will.stare	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H2492	hbo:2492a#1	I.have.dreamed	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H2492	hbo:2492a#2	the.dreamer	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H2374	hbo:2374#1	seer	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H5030	hbo:5030#1	prophet	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H7200	hbo:7200#1	see	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H7200	hbo:7200#2	[am].about.to.show	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H5031	hbo:5031#1	prophetess	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H4237	hbo:4237#1	window	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H2380	hbo:2380	of.conspicuousness	similar	prior	0.5
H2372	hbo:2372#1	he.saw	H2378	hbo:2378	the.visions	similar	prior	0.5
H2373	hbo:2373#1	the.breast	H7785	hbo:7785#1	the.thigh	similar	high	1.0
H2373	hbo:2373#1	the.breast	H8573	hbo:8573#1	a.wave-offering	similar	high	0.99
H2374	hbo:2374#1	seer	H5030	hbo:5030#1	prophet	similar	high	1.0
H2374	hbo:2374#1	seer	H7203	hbo:7203#1	seer	similar	high	1.0
H2376	hbo:2376	the	H2380	hbo:2380	of.conspicuousness	similar	prior	0.5
H2376	hbo:2376	the	H2370	hbo:2370	you.have.seen	similar	prior	0.5
H2376	hbo:2376	the	H2379	hbo:2379	the.sight	similar	prior	0.5
H2377	hbo:2377#1	vision	H2372	hbo:2372#1	he.saw	similar	high	0.829
H2377	hbo:2377#1	vision	H2472	hbo:2472#1	a.dream	similar	high	0.656
H2377	hbo:2377#1	vision	H2492	hbo:2492a#1	I.have.dreamed	similar	prior	0.5
H2377	hbo:2377#1	vision	H2492	hbo:2492a#2	the.dreamer	similar	prior	0.5
H2377	hbo:2377#1	vision	H4236	hbo:4236#1	vision	similar	prior	0.5
H2377	hbo:2377#1	vision	H4759	hbo:4759#1	vision	similar	prior	0.5
H2377	hbo:2377#1	vision	H2374	hbo:2374#1	seer	similar	prior	0.5
H2377	hbo:2377#1	vision	H2380	hbo:2380	of.conspicuousness	similar	prior	0.5
H2377	hbo:2377#1	vision	H2378	hbo:2378	the.visions	similar	prior	0.5
H2377	hbo:2377#1	vision	H4237	hbo:4237#1	window	similar	prior	0.5
H2378	hbo:2378	the.visions	H4237	hbo:4237#1	window	similar	prior	0.5
H2378	hbo:2378	the.visions	H4236	hbo:4236#1	vision	similar	prior	0.5
H2378	hbo:2378	the.visions	H2374	hbo:2374#1	seer	similar	prior	0.5
H2378	hbo:2378	the.visions	H2380	hbo:2380	of.conspicuousness	similar	prior	0.5
H2378	hbo:2378	the.visions	H2384	hbo:2384#_nosense		similar	prior	0.5
H2379	hbo:2379	the.sight	H2370	hbo:2370	you.have.seen	similar	prior	0.5
H2380	hbo:2380	of.conspicuousness	H2374	hbo:2374#1	seer	similar	prior	0.5
H2384	hbo:2384#_nosense		H2472	hbo:2472#1	a.dream	similar	high	0.626
H2384	hbo:2384#_nosense		H2377	hbo:2377#1	vision	similar	high	0.609
H2384	hbo:2384#_nosense		H4759	hbo:4759#1	vision	similar	high	0.601
H2384	hbo:2384#_nosense		H2374	hbo:2374#1	seer	similar	prior	0.5
H2384	hbo:2384#_nosense		H2380	hbo:2380	of.conspicuousness	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H0553	hbo:0553#1	be.bold	similar	high	0.913
H2388	hbo:2388#1	be.strong	H0270	hbo:0270#1	drawn	similar	high	0.822
H2388	hbo:2388#1	be.strong	H0539	hbo:0539#1	they.believed	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H0539	hbo:0539#2	lasting	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H5582	hbo:5582#1	sustain	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H5582	hbo:5582#_nosense		similar	prior	0.5
H2388	hbo:2388#1	be.strong	H6484	hbo:6484#1	he.urged	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H8610	hbo:8610#_nosense		similar	prior	0.5
H2388	hbo:2388#1	be.strong	H8610	hbo:8610#2	you.will.be.captured	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H0270	hbo:0270#_nosense		similar	prior	0.5
H2388	hbo:2388#1	be.strong	H0270	hbo:0270#2	supports	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H1396	hbo:1396#2	they.increased	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H1396	hbo:1396#1	it.prevailed	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H0553	hbo:0553#_nosense		similar	prior	0.5
H2388	hbo:2388#1	be.strong	H1627	hbo:1627#1	throat	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H2390	hbo:2390	strong	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H2389	hbo:2389#1	strong	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H2394	hbo:2394#1	force	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H2391	hbo:2391	strength	similar	prior	0.5
H2388	hbo:2388#1	be.strong	H2392	hbo:2392#1	strength	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H2389	hbo:2389#1	strong	similar	high	0.809
H2388	hbo:2388#2	it.was.severe	H0539	hbo:0539#1	they.believed	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H0539	hbo:0539#2	lasting	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H5582	hbo:5582#1	sustain	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H5582	hbo:5582#_nosense		similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H6484	hbo:6484#1	he.urged	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H8610	hbo:8610#_nosense		similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H8610	hbo:8610#1	he.seized	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H8610	hbo:8610#2	you.will.be.captured	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H0270	hbo:0270#1	drawn	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H0270	hbo:0270#_nosense		similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H0270	hbo:0270#2	supports	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H1396	hbo:1396#2	they.increased	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H1396	hbo:1396#1	it.prevailed	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H0553	hbo:0553#2	they.were.[too].strong	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H0553	hbo:0553#1	be.bold	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H0553	hbo:0553#_nosense		similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H1627	hbo:1627#1	throat	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H2390	hbo:2390	strong	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H2394	hbo:2394#1	force	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H2391	hbo:2391	strength	similar	prior	0.5
H2388	hbo:2388#2	it.was.severe	H2393	hbo:2393#_nosense		similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H0553	hbo:0553#2	they.were.[too].strong	similar	high	0.871
H2388	hbo:2388#3	[am].about.to.make.strong	H2389	hbo:2389#1	strong	similar	high	0.714
H2388	hbo:2388#3	[am].about.to.make.strong	H0539	hbo:0539#1	they.believed	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H0539	hbo:0539#2	lasting	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H5582	hbo:5582#1	sustain	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H5582	hbo:5582#_nosense		similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H6484	hbo:6484#1	he.urged	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H8610	hbo:8610#_nosense		similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H8610	hbo:8610#1	he.seized	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H8610	hbo:8610#2	you.will.be.captured	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H0270	hbo:0270#1	drawn	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H0270	hbo:0270#_nosense		similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H0270	hbo:0270#2	supports	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H1396	hbo:1396#2	they.increased	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H1396	hbo:1396#1	it.prevailed	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H0553	hbo:0553#1	be.bold	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H0553	hbo:0553#_nosense		similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H1627	hbo:1627#1	throat	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H2390	hbo:2390	strong	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H2394	hbo:2394#1	force	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H2391	hbo:2391	strength	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H2392	hbo:2392#1	strength	similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H2393	hbo:2393#_nosense		similar	prior	0.5
H2388	hbo:2388#3	[am].about.to.make.strong	H7503	hbo:7503#1	refrain	antonym	recall	0.451
H2388	hbo:2388#4	it.was.secure	H2393	hbo:2393#_nosense		similar	high	0.593
H2388	hbo:2388#4	it.was.secure	H0539	hbo:0539#1	they.believed	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H0539	hbo:0539#2	lasting	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H5582	hbo:5582#1	sustain	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H5582	hbo:5582#_nosense		similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H6484	hbo:6484#1	he.urged	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H8610	hbo:8610#_nosense		similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H8610	hbo:8610#1	he.seized	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H8610	hbo:8610#2	you.will.be.captured	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H0270	hbo:0270#1	drawn	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H0270	hbo:0270#_nosense		similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H0270	hbo:0270#2	supports	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H1396	hbo:1396#2	they.increased	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H1396	hbo:1396#1	it.prevailed	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H0553	hbo:0553#2	they.were.[too].strong	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H0553	hbo:0553#1	be.bold	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H0553	hbo:0553#_nosense		similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H1627	hbo:1627#1	throat	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H2390	hbo:2390	strong	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H2389	hbo:2389#1	strong	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H2394	hbo:2394#1	force	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H2391	hbo:2391	strength	similar	prior	0.5
H2388	hbo:2388#4	it.was.secure	H2392	hbo:2392#1	strength	similar	prior	0.5
H2388	hbo:2388#_nosense		H0553	hbo:0553#1	be.bold	similar	high	0.883
H2388	hbo:2388#_nosense		H8610	hbo:8610#_nosense		similar	high	0.872
H2388	hbo:2388#_nosense		H0270	hbo:0270#1	drawn	similar	high	0.858
H2388	hbo:2388#_nosense		H0539	hbo:0539#1	they.believed	similar	prior	0.5
H2388	hbo:2388#_nosense		H0539	hbo:0539#2	lasting	similar	prior	0.5
H2388	hbo:2388#_nosense		H5582	hbo:5582#1	sustain	similar	prior	0.5
H2388	hbo:2388#_nosense		H5582	hbo:5582#_nosense		similar	prior	0.5
H2388	hbo:2388#_nosense		H6484	hbo:6484#1	he.urged	similar	prior	0.5
H2388	hbo:2388#_nosense		H8610	hbo:8610#1	he.seized	similar	prior	0.5
H2388	hbo:2388#_nosense		H8610	hbo:8610#2	you.will.be.captured	similar	prior	0.5
H2388	hbo:2388#_nosense		H0270	hbo:0270#_nosense		similar	prior	0.5
H2388	hbo:2388#_nosense		H0270	hbo:0270#2	supports	similar	prior	0.5
H2388	hbo:2388#_nosense		H1396	hbo:1396#2	they.increased	similar	prior	0.5
H2388	hbo:2388#_nosense		H1396	hbo:1396#1	it.prevailed	similar	prior	0.5
H2388	hbo:2388#_nosense		H0553	hbo:0553#2	they.were.[too].strong	similar	prior	0.5
H2388	hbo:2388#_nosense		H0553	hbo:0553#_nosense		similar	prior	0.5
H2388	hbo:2388#_nosense		H1627	hbo:1627#1	throat	similar	prior	0.5
H2388	hbo:2388#_nosense		H2390	hbo:2390	strong	similar	prior	0.5
H2388	hbo:2388#_nosense		H2389	hbo:2389#1	strong	similar	prior	0.5
H2388	hbo:2388#_nosense		H2394	hbo:2394#1	force	similar	prior	0.5
H2388	hbo:2388#_nosense		H2391	hbo:2391	strength	similar	prior	0.5
H2388	hbo:2388#_nosense		H2392	hbo:2392#1	strength	similar	prior	0.5
H2388	hbo:2388#_nosense		H2393	hbo:2393#_nosense		similar	prior	0.5
H2389	hbo:2389#1	strong	H2388	hbo:2388#2	it.was.severe	similar	high	0.809
H2389	hbo:2389#1	strong	H3524	hbo:3524#1	mighty	similar	prior	0.5
H2389	hbo:2389#1	strong	H0533	hbo:0533#1	a.strong.[one]	similar	prior	0.5
H2389	hbo:2389#1	strong	H2388	hbo:2388#1	be.strong	similar	prior	0.5
H2389	hbo:2389#1	strong	H2388	hbo:2388#4	it.was.secure	similar	prior	0.5
H2389	hbo:2389#1	strong	H2388	hbo:2388#_nosense		similar	prior	0.5
H2389	hbo:2389#1	strong	H6105	hbo:6105#1	they.are.numerous	similar	prior	0.5
H2389	hbo:2389#1	strong	H0046	hbo:0046#1	the.mighty.one	similar	prior	0.5
H2389	hbo:2389#1	strong	H2390	hbo:2390	strong	similar	prior	0.5
H2389	hbo:2389#1	strong	H2393	hbo:2393#_nosense		similar	prior	0.5
H2389	hbo:2389#1	strong	H2391	hbo:2391	strength	similar	prior	0.5
H2390	hbo:2390	strong	H2392	hbo:2392#1	strength	similar	prior	0.5
H2390	hbo:2390	strong	H2394	hbo:2394#1	force	similar	prior	0.5
H2391	hbo:2391	strength	H2394	hbo:2394#1	force	similar	prior	0.5
H2391	hbo:2391	strength	H2390	hbo:2390	strong	similar	prior	0.5
H2391	hbo:2391	strength	H2393	hbo:2393#_nosense		similar	prior	0.5
H2391	hbo:2391	strength	H2392	hbo:2392#1	strength	similar	prior	0.5
H2392	hbo:2392#1	strength	H3581	hbo:3581#1	strength	similar	prior	0.5
H2392	hbo:2392#1	strength	H2394	hbo:2394#1	force	similar	prior	0.5
H2393	hbo:2393#_nosense		H2388	hbo:2388#4	it.was.secure	similar	high	0.593
H2393	hbo:2393#_nosense		H2388	hbo:2388#1	be.strong	similar	high	0.565
