# semantic field per Strong's (high+prior tiers, rolled from lexeme neighbors); CC0
strong	neighbor	neighbor_gloss	relation	confidence	score
H1289	H1291	knee	similar	prior	0.5
H1290	H1293	blessing	similar	prior	0.5
H1293	H1288	bless	similar	high	1.0
H1293	H7045	curse	antonym	recall	0.503
H1293	H1295	Pool	similar	prior	0.5
H1295	H0098	pool	similar	prior	0.5
H1299	H1304	gem	similar	prior	0.5
H1299	H1300	use lightning	similar	prior	0.5
H1300	H5051	brightness	similar	high	0.711
H1300	H1304	gem	similar	prior	0.5
H1303	H1299	flash	similar	prior	0.5
H1303	H1300	use lightning	similar	prior	0.5
H1303	H1304	gem	similar	prior	0.5
H1304	H3471	jasper	similar	prior	0.5
H1305	H1257	fowl	similar	prior	0.5
H1305	H1252	cleanness	similar	prior	0.5
H1305	H1287	lye	similar	prior	0.5
H1305	H1250	grain	similar	prior	0.5
H1310	H0644	bake	similar	high	0.681
H1310	H6748	roasted	similar	prior	0.5
H1310	H7570	boil	similar	prior	0.5
H1310	H4018	hearth	similar	prior	0.5
H1310	H1311	cooked	similar	prior	0.5
H1311	H4018	hearth	similar	prior	0.5
H1314	H5561	spice	similar	high	0.888
H1319	H1309	good news	similar	prior	0.5
H1319	H1320	flesh	similar	prior	0.5
H1320	H7607	flesh	similar	high	0.794
H1320	H1818	blood	similar	high	0.754
H1320	H6106	bone	similar	high	0.747
H1320	H5785	skin	similar	high	0.736
H1320	H1610	single	similar	prior	0.5
H1320	H1517	sinew	similar	prior	0.5
H1320	H1309	good news	similar	prior	0.5
H1322	H3639	shame	similar	high	0.802
H1322	H7036	dishonor	similar	high	0.702
H1322	H2781	reproach	similar	high	0.656
H1322	H4016	genitalia	similar	prior	0.5
H1322	H0954	be ashamed	similar	prior	0.5
H1322	H1317	shame	similar	prior	0.5
H1323	H0802	woman	similar	high	0.935
H1323	H1121	son	antonym	recall	0.908
H1324	H5429	seah	similar	prior	0.5
H1324	H1969	hin	similar	prior	0.5
H1324	H0374	ephah	similar	prior	0.5
H1324	H3734	kor	similar	prior	0.5
H1324	H1326	waste	similar	prior	0.5
H1327	H1326	waste	similar	prior	0.5
H1327	H1324	bath	similar	prior	0.5
H1330	H5291	maiden	similar	high	0.795
H1330	H1331	virginity	similar	high	0.745
H1330	H0802	woman	similar	high	0.607
H1331	H1330	virgin	similar	high	0.745
H1334	H1335	part	similar	prior	0.5
H1342	H1341	proud	similar	prior	0.5
H1342	H1347	pride	similar	prior	0.5
H1343	H1346	pride	similar	high	0.782
H1343	H1341	proud	similar	prior	0.5
H1344	H1347	pride	similar	prior	0.5
H1344	H1346	pride	similar	prior	0.5
H1344	H1349	proud	similar	prior	0.5
H1344	H1343	proud	similar	prior	0.5
H1344	H1342	rise up	similar	prior	0.5
H1344	H1348	majesty	similar	prior	0.5
H1344	H1466	pride	similar	prior	0.5
H1344	H1341	proud	similar	prior	0.5
H1346	H1348	majesty	similar	high	0.993
H1346	H1347	pride	similar	high	0.848
H1346	H1343	proud	similar	high	0.782
H1346	H2087	arrogance	similar	prior	0.5
H1346	H1341	proud	similar	prior	0.5
H1346	H2102	boil	similar	prior	0.5
H1346	H1349	proud	similar	prior	0.5
H1346	H1342	rise up	similar	prior	0.5
H1347	H1346	pride	similar	high	0.848
H1347	H1343	proud	similar	prior	0.5
H1347	H1341	proud	similar	prior	0.5
H1348	H1346	pride	similar	high	0.993
H1348	H1347	pride	similar	prior	0.5
H1348	H1342	rise up	similar	prior	0.5
H1348	H1341	proud	similar	prior	0.5
H1348	H1343	proud	similar	prior	0.5
H1348	H1349	proud	similar	prior	0.5
H1349	H2086	arrogant	similar	prior	0.5
H1349	H1347	pride	similar	prior	0.5
H1349	H1341	proud	similar	prior	0.5
H1349	H1342	rise up	similar	prior	0.5
H1349	H1343	proud	similar	prior	0.5
H1350	H1353	redemption	similar	high	0.857
H1350	H6299	ransom	similar	high	0.826
H1350	H3467	save	similar	high	0.717
H1350	H5337	rescue	similar	high	0.714
H1350	H4733	refuge	similar	prior	0.5
H1350	H6304	redemption	similar	prior	0.5
H1350	H5358	avenge	similar	prior	0.5
H1351	H2930	defile	similar	prior	0.5
H1352	H1351	defile	similar	prior	0.5
H1353	H1350	redeem	similar	high	0.857
H1353	H6299	ransom	similar	high	0.661
H1357	H3218	locust	similar	prior	0.5
H1357	H1462	locust	similar	prior	0.5
H1361	H7311	exalt	similar	high	0.701
H1361	H8217	low	antonym	recall	0.54
H1361	H7817	bow	antonym	recall	0.5
H1361	H1362	high	similar	prior	0.5
H1361	H5549	build	similar	prior	0.5
H1361	H5375	lift	similar	prior	0.5
H1361	H1348	majesty	similar	prior	0.5
H1361	H1342	rise up	similar	prior	0.5
H1361	H7682	exalt	similar	prior	0.5
H1361	H1364	high	similar	prior	0.5
H1361	H1365	haughtiness	similar	prior	0.5
H1361	H8213	abase	antonym	recall	0.49
H1361	H1809	languish	antonym	recall	0.477
H1362	H1343	proud	similar	prior	0.5
H1362	H1363	height	similar	prior	0.5
H1362	H1365	haughtiness	similar	prior	0.5
H1362	H1364	high	similar	prior	0.5
H1363	H6967	height	similar	high	0.817
H1363	H1364	high	similar	high	0.756
H1363	H4791	height	similar	high	0.681
H1363	H1347	pride	similar	prior	0.5
H1363	H1365	haughtiness	similar	prior	0.5
H1363	H8213	abase	antonym	recall	0.434
H1364	H1363	height	similar	high	0.756
H1364	H1347	pride	similar	prior	0.5
H1364	H1365	haughtiness	similar	prior	0.5
H1366	H6285	side	similar	high	1.0
H1366	H7097	end	similar	high	0.885
H1367	H1366	border	similar	high	0.904
H1367	H7097	end	similar	prior	0.5
H1367	H1383	twists	similar	prior	0.5
H1367	H1379	border	similar	prior	0.5
H1368	H2428	strength	similar	high	1.0
H1368	H0047	mighty	similar	high	0.685
H1368	H0117	great	similar	high	0.63
H1368	H5303	Nephilim	similar	prior	0.5
H1368	H0386	strong	similar	prior	0.5
H1368	H1369	might	similar	prior	0.5
H1368	H3524	mighty	similar	prior	0.5
H1368	H6184	ruthless	similar	prior	0.5
H1368	H0533	strong	similar	prior	0.5
H1368	H6062	Anakite	similar	prior	0.5
H1368	H2389	strong	similar	prior	0.5
H1368	H5794	strong	similar	prior	0.5
H1368	H0046	mighty	similar	prior	0.5
H1368	H1396	prevail	similar	prior	0.5
H1368	H0582	human	similar	prior	0.5
H1368	H0376	man	similar	prior	0.5
H1368	H1376	lord	similar	prior	0.5
H1368	H1404	lady	similar	prior	0.5
H1369	H3581	reptile	similar	high	0.978
H1369	H5797	strength	similar	high	0.967
H1369	H8633	power	similar	prior	0.5
H1369	H2392	strength	similar	prior	0.5
H1369	H1376	lord	similar	prior	0.5
H1369	H1404	lady	similar	prior	0.5
H1370	H1400	man	similar	prior	0.5
H1370	H1401	mighty	similar	prior	0.5
H1370	H1369	might	similar	prior	0.5
H1371	H7144	bald spot	similar	prior	0.5
H1372	H7146	baldness	similar	high	1.0
H1372	H7139	make bald	similar	prior	0.5
H1372	H1371	bald	similar	prior	0.5
H1375	H8246	be almond shaped	similar	high	0.971
H1375	H7086	dish	similar	prior	0.5
H1375	H5592	basin	similar	prior	0.5
H1375	H3563	cup	similar	prior	0.5
H1375	H1392	bud	similar	prior	0.5
H1377	H8282	princess	similar	prior	0.5
H1377	H4436	Queen (of Sheba)	similar	prior	0.5
H1377	H1397	great man	similar	prior	0.5
H1377	H1376	lord	similar	prior	0.5
H1377	H1369	might	similar	prior	0.5
H1377	H1368	mighty man	similar	prior	0.5
H1377	H1404	lady	similar	prior	0.5
H1377	H1396	prevail	similar	prior	0.5
H1379	H1366	border	similar	high	0.678
H1383	H1366	border	similar	prior	0.5
H1383	H1379	border	similar	prior	0.5
H1384	H1385	cheese	similar	prior	0.5
H1386	H1384	humpbacked	similar	prior	0.5
H1386	H1385	cheese	similar	prior	0.5
H1389	H2022	mountain	similar	high	0.879
H1389	H7161	horn	similar	prior	0.5
H1389	H5299	sieve	similar	prior	0.5
H1389	H4674	entrenchment	similar	prior	0.5
H1389	H1392	bud	similar	prior	0.5
H1389	H1375	cup	similar	prior	0.5
H1389	H4021	headgear	similar	prior	0.5
H1396	H0553	strengthen	similar	prior	0.5
H1396	H1376	lord	similar	prior	0.5
H1396	H1369	might	similar	prior	0.5
H1396	H1404	lady	similar	prior	0.5
H1397	H0582	human	similar	high	0.846
H1397	H0120	man	similar	prior	0.5
H1397	H4962	man	similar	prior	0.5
H1397	H0376	man	similar	prior	0.5
H1397	H1368	mighty man	similar	prior	0.5
H1397	H1369	might	similar	prior	0.5
H1397	H1404	lady	similar	prior	0.5
H1397	H1396	prevail	similar	prior	0.5
H1397	H1376	lord	similar	prior	0.5
H1401	H1400	man	similar	prior	0.5
H1404	H1376	lord	similar	prior	0.5
H1404	H8198	maidservant	antonym	recall	0.493
H1409	H1413	cut	similar	prior	0.5
H1409	H1407	coriander	similar	prior	0.5
H1409	H1416	band	similar	prior	0.5
H1413	H1407	coriander	similar	prior	0.5
H1416	H2428	strength	similar	high	0.914
H1416	H4673	station	similar	prior	0.5
H1416	H0102	band	similar	prior	0.5
H1416	H6635	army	similar	prior	0.5
H1416	H1413	cut	similar	prior	0.5
H1416	H1407	coriander	similar	prior	0.5
H1417	H1407	coriander	similar	prior	0.5
H1417	H1413	cut	similar	prior	0.5
H1417	H1409	fortune	similar	prior	0.5
H1417	H1416	band	similar	prior	0.5
H1418	H1413	cut	similar	prior	0.5
H1418	H1416	band	similar	prior	0.5
H1418	H1409	fortune	similar	prior	0.5
H1418	H1407	coriander	similar	prior	0.5
H1418	H1417	furrow	similar	prior	0.5
H1419	H1431	magnify	similar	high	1.0
H1419	H1433	greatness	similar	high	0.835
H1419	H6996	small	antonym	recall	0.661
H1419	H6105	be vast	similar	prior	0.5
H1419	H7227	many	similar	prior	0.5
H1419	H6099	mighty	similar	prior	0.5
H1419	H4026	Tower	similar	prior	0.5
H1419	H1432	growing	similar	prior	0.5
H1419	H1434	tassel	similar	prior	0.5
H1420	H8597	beauty	similar	high	0.646
H1420	H3519	glory	similar	high	0.605
H1420	H7230	abundance	similar	prior	0.5
H1420	H1432	growing	similar	prior	0.5
H1421	H1442	blaspheme	similar	prior	0.5
H1421	H1422	taunt	similar	prior	0.5
H1421	H3994	curse	similar	prior	0.5
H1421	H7045	curse	similar	prior	0.5
H1422	H8148	taunt	similar	prior	0.5
H1422	H1442	blaspheme	similar	prior	0.5
H1423	H5795	goat	similar	high	0.95
H1423	H1415	bank	similar	prior	0.5
H1423	H1429	kid	similar	prior	0.5
H1425	H7206	Reubenite	similar	high	1.0
H1425	H2677	half	similar	high	0.96
H1425	H7626	tribe	similar	high	0.905
H1429	H1415	bank	similar	prior	0.5
H1431	H1419	great	similar	high	1.0
H1431	H7235	multiply	similar	high	0.703
H1431	H6382	wonder	similar	prior	0.5
H1431	H1420	greatness	similar	prior	0.5
H1431	H1432	growing	similar	prior	0.5
H1431	H3513	honor	similar	prior	0.5
H1431	H1342	rise up	similar	prior	0.5
H1431	H1433	greatness	similar	prior	0.5
H1431	H1434	tassel	similar	prior	0.5
H1431	H4026	Tower	similar	prior	0.5
H1432	H1433	greatness	similar	prior	0.5
H1433	H1419	great	similar	high	0.835
H1434	H1420	greatness	similar	prior	0.5
H1434	H1433	greatness	similar	prior	0.5
H1434	H1432	growing	similar	prior	0.5
H1438	H5423	tear	similar	prior	0.5
H1438	H3772	cut	similar	prior	0.5
H1442	H7043	lighten	similar	prior	0.5
H1442	H2778	taunt	similar	high	0.481
H1447	H1448	wall	similar	high	0.736
H1447	H4581	security	similar	prior	0.5
H1447	H1443	wall up	similar	prior	0.5
H1447	H7023	wall	similar	prior	0.5
H1448	H1447	wall	similar	high	0.736
H1448	H1443	wall up	similar	prior	0.5
H1448	H4356	fold	similar	prior	0.5
H1456	H1455	cure	similar	prior	0.5
H1457	H7812	bow	similar	prior	0.5
H1457	H5186	stretch	similar	prior	0.5
H1465	H1460	back	similar	prior	0.5
H1465	H1458	back	similar	prior	0.5
H1466	H1348	majesty	similar	prior	0.5
H1466	H1341	proud	similar	prior	0.5
H1466	H1346	pride	similar	prior	0.5
H1466	H1347	pride	similar	prior	0.5
H1466	H1343	proud	similar	prior	0.5
H1466	H1349	proud	similar	prior	0.5
H1466	H1342	rise up	similar	prior	0.5
H1471	H4940	family	similar	prior	0.5
H1471	H0523	people	similar	prior	0.5
H1471	H5236	foreign	similar	prior	0.5
H1471	H5971	people	similar	prior	0.5
H1471	H1755	generation	similar	prior	0.5
H1471	H3816	people	similar	prior	0.5
H1471	H1458	back	similar	prior	0.5
H1471	H1460	back	similar	prior	0.5
H1471	H1465	back	similar	prior	0.5
H1472	H1480	body	similar	prior	0.5
H1472	H1320	flesh	similar	prior	0.5
H1472	H5038	carcass	similar	prior	0.5
H1472	H1610	single	similar	prior	0.5
H1472	H6297	corpse	similar	prior	0.5
H1472	H1465	back	similar	prior	0.5
H1472	H1458	back	similar	prior	0.5
H1472	H1460	back	similar	prior	0.5
H1472	H1471	nation	similar	prior	0.5
H1473	H1546	captivity	similar	high	1.0
H1473	H1540	Heglam	similar	prior	0.5
H1473	H7617	take captive	similar	prior	0.5
H1473	H1549	tablet	similar	prior	0.5
H1473	H4054	pasture	similar	prior	0.5
H1478	H4191	die	similar	high	0.971
H1480	H6297	corpse	similar	prior	0.5
H1480	H1479	shut	similar	prior	0.5
H1481	H7931	dwell	similar	high	0.918
H1481	H3372	fear	similar	high	0.765
H1481	H1980	go	similar	high	0.655
H1481	H8453	sojourner	similar	prior	0.5
H1481	H3427	dwell	similar	prior	0.5
H1481	H4033	sojourning	similar	prior	0.5
H1481	H1484	whelp	similar	prior	0.5
H1481	H1482	whelp	similar	prior	0.5
H1481	H4460	granary	similar	prior	0.5
H1481	H1628	Geruth	similar	prior	0.5
H1484	H3715	lion	similar	prior	0.5
H1484	H1482	whelp	similar	prior	0.5
H1486	H5159	inheritance	similar	high	0.903
H1486	H2505	divide	similar	prior	0.5
H1488	H1494	shear	similar	prior	0.5
H1488	H1492	fleece	similar	prior	0.5
H1491	H1496	cutting	similar	prior	0.5
H1492	H1494	shear	similar	prior	0.5
H1496	H0068	stone	similar	high	0.783
H1496	H1497	plunder	similar	prior	0.5
H1497	H1500	violence	similar	high	0.976
H1497	H1498	robbery	similar	high	0.882
H1497	H0962	plunder	similar	prior	0.5
H1497	H8154	plunder	similar	prior	0.5
H1498	H1497	plunder	similar	high	0.882
H1498	H6233	oppression	similar	high	0.647
H1498	H2555	violence	similar	prior	0.5
H1498	H1499	violence	similar	prior	0.5
H1499	H1500	violence	similar	prior	0.5
H1499	H1497	plunder	similar	prior	0.5
H1500	H1497	plunder	similar	high	0.976
H1500	H1494	shear	similar	prior	0.5
H1501	H2625	locust	similar	high	0.962
H1501	H0697	locust	similar	high	0.93
H1501	H3218	locust	similar	high	0.844
H1503	H8328	root	similar	prior	0.5
H1503	H6288	bough	similar	prior	0.5
H1503	H2156	branch	similar	prior	0.5
H1503	H5342	branch	similar	prior	0.5
H1503	H1494	shear	similar	prior	0.5
H1504	H1506	piece	similar	prior	0.5
H1504	H1508	cutting	similar	prior	0.5
H1504	H4037	axe	similar	prior	0.5
H1505	H1494	shear	similar	prior	0.5
H1505	H2445	wise	similar	prior	0.5
H1505	H1510	decree	similar	prior	0.5
H1506	H4037	axe	similar	prior	0.5
H1506	H1508	cutting	similar	prior	0.5
H1508	H4037	axe	similar	prior	0.5
H1509	H4037	axe	similar	prior	0.5
H1509	H1504	cut	similar	prior	0.5
H1509	H1508	cutting	similar	prior	0.5
H1509	H1506	piece	similar	prior	0.5
H1513	H0784	fire	similar	high	0.83
H1513	H6352	coal	similar	prior	0.5
H1516	H1237	Valley (of Jericho)	similar	high	0.892
H1516	H5158	torrent	similar	high	0.821
H1516	H6010	Valley (of Achor)	similar	high	0.795
H1516	H2022	mountain	antonym	recall	0.726
H1517	H6106	bone	similar	high	0.495
H1518	H3318	come out	similar	prior	0.5
H1518	H5042	bubble	similar	prior	0.5
H1523	H7797	rejoice	similar	high	1.0
H1523	H7442	overcome	similar	high	1.0
H1523	H7832	laugh	similar	prior	0.5
H1523	H5937	exult	similar	prior	0.5
H1523	H7540	skip about	similar	prior	0.5
H1523	H7445	triumphing	similar	prior	0.5
H1523	H5965	rejoice	similar	prior	0.5
H1523	H6670	cry out	similar	prior	0.5
H1523	H5970	rejoice	similar	prior	0.5
H1523	H1525	rejoicing	similar	prior	0.5
H1523	H1524	rejoicing	similar	prior	0.5
H1525	H1524	rejoicing	similar	prior	0.5
H1530	H4867	wave	similar	high	0.658
H1530	H5067	heap	similar	prior	0.5
H1530	H2723	desolation	similar	prior	0.5
H1530	H8074	be desolate	similar	prior	0.5
H1530	H1536	wheel	similar	prior	0.5
H1530	H1552	border	similar	prior	0.5
H1530	H1544	idol	similar	prior	0.5
H1530	H1557	dung	similar	prior	0.5
H1530	H1538	head	similar	prior	0.5
H1530	H1543	bowl	similar	prior	0.5
H1530	H1550	turned	similar	prior	0.5
H1530	H4039	scroll	similar	prior	0.5
H1530	H1561	dung	similar	prior	0.5
H1534	H0212	wheel	similar	high	0.711
H1534	H5699	cart	similar	prior	0.5
H1534	H1535	wheel	similar	prior	0.5
H1534	H1543	bowl	similar	prior	0.5
H1534	H1536	wheel	similar	prior	0.5
H1534	H1561	dung	similar	prior	0.5
H1534	H1538	head	similar	prior	0.5
H1534	H4039	scroll	similar	prior	0.5
H1534	H1557	dung	similar	prior	0.5
H1534	H1556	roll	similar	prior	0.5
H1534	H1530	heap	similar	prior	0.5
H1534	H1550	turned	similar	prior	0.5
H1534	H1544	idol	similar	prior	0.5
H1534	H1552	border	similar	prior	0.5
H1535	H4040	scroll	similar	prior	0.5
H1538	H4039	scroll	similar	prior	0.5
H1538	H1536	wheel	similar	prior	0.5
H1538	H1544	idol	similar	prior	0.5
H1538	H1550	turned	similar	prior	0.5
H1538	H1561	dung	similar	prior	0.5
H1540	H1473	captivity	similar	high	0.832
H1540	H0874	make plain	similar	prior	0.5
H1540	H6801	wrap	similar	prior	0.5
H1540	H5079	impurity	similar	prior	0.5
H1541	H1547	captivity	similar	prior	0.5
H1543	H1550	turned	similar	prior	0.5
H1543	H1538	head	similar	prior	0.5
H1543	H1561	dung	similar	prior	0.5
H1543	H1536	wheel	similar	prior	0.5
H1543	H4039	scroll	similar	prior	0.5
H1543	H1544	idol	similar	prior	0.5
H1544	H0457	idol	similar	prior	0.5
H1544	H1536	wheel	similar	prior	0.5
H1545	H1563	fold	similar	prior	0.5
H1546	H1473	captivity	similar	high	1.0
H1546	H7628	captivity	similar	prior	0.5
H1546	H7622	captivity	similar	prior	0.5
H1546	H1549	tablet	similar	prior	0.5
H1546	H1540	Heglam	similar	prior	0.5
H1548	H1494	shear	similar	prior	0.5
H1549	H1540	Heglam	similar	prior	0.5
H1550	H1536	wheel	similar	prior	0.5
H1550	H1544	idol	similar	prior	0.5
H1552	H1366	border	similar	high	0.73
H1552	H1561	dung	similar	prior	0.5
H1552	H1544	idol	similar	prior	0.5
H1552	H1536	wheel	similar	prior	0.5
H1552	H1538	head	similar	prior	0.5
H1552	H1543	bowl	similar	prior	0.5
H1552	H4039	scroll	similar	prior	0.5
H1552	H1550	turned	similar	prior	0.5
H1556	H5437	turn	similar	prior	0.5
H1556	H2015	overturn	similar	prior	0.5
H1556	H6428	wallow	similar	prior	0.5
H1556	H4039	scroll	similar	prior	0.5
H1556	H1536	wheel	similar	prior	0.5
H1556	H1550	turned	similar	prior	0.5
H1556	H1544	idol	similar	prior	0.5
H1556	H1530	heap	similar	prior	0.5
H1556	H1557	dung	similar	prior	0.5
H1556	H1552	border	similar	prior	0.5
H1556	H1538	head	similar	prior	0.5
H1556	H1543	bowl	similar	prior	0.5
H1556	H1561	dung	similar	prior	0.5
H1557	H4039	scroll	similar	prior	0.5
H1557	H1544	idol	similar	prior	0.5
H1557	H1561	dung	similar	prior	0.5
H1557	H1550	turned	similar	prior	0.5
H1557	H1538	head	similar	prior	0.5
H1557	H1552	border	similar	prior	0.5
H1557	H1536	wheel	similar	prior	0.5
H1557	H1543	bowl	similar	prior	0.5
H1558	H5668	for the sake of	similar	high	0.762
H1560	H1535	wheel	similar	prior	0.5
H1560	H4040	scroll	similar	prior	0.5
H1561	H1536	wheel	similar	prior	0.5
H1561	H1550	turned	similar	prior	0.5
H1561	H1544	idol	similar	prior	0.5
H1564	H1563	fold	similar	prior	0.5
H1564	H1545	garment	similar	prior	0.5
H1565	H8076	devastated	similar	prior	0.5
H1565	H6135	barren	similar	prior	0.5
H1565	H1563	fold	similar	prior	0.5
H1565	H1564	embryo	similar	prior	0.5
H1565	H1545	garment	similar	prior	0.5
H1573	H8392	ark	similar	high	0.612
H1573	H5488	Red (Sea)	similar	prior	0.5
H1573	H1572	swallow	similar	prior	0.5
H1573	H0098	pool	similar	high	0.49
H1576	H1580	wean	similar	high	0.782
H1576	H6467	work	similar	high	0.772
H1578	H7939	wages	similar	prior	0.5
H1578	H1576	recompense	similar	prior	0.5
H1578	H6467	work	similar	prior	0.5
H1578	H1581	camel	similar	prior	0.5
H1578	H8408	benefit	similar	prior	0.5
H1578	H1580	wean	similar	prior	0.5
H1580	H1576	recompense	similar	high	0.782
H1580	H7999	complete	similar	high	0.729
H1580	H8408	benefit	similar	prior	0.5
H1581	H2543	donkey	similar	high	0.923
H1581	H1580	wean	similar	prior	0.5
H1581	H1576	recompense	similar	prior	0.5
H1581	H8408	benefit	similar	prior	0.5
H1584	H2857	seal	similar	prior	0.5
H1584	H1585	complete	similar	prior	0.5
H1588	H1593	garden	similar	high	0.836
H1588	H3657	shoot	similar	prior	0.5
H1588	H4044	covering	similar	prior	0.5
H1588	H4042	deliver	similar	prior	0.5
H1588	H1019	Beth-gilgal	similar	prior	0.5
H1589	H1590	thief	similar	high	1.0
H1589	H1497	plunder	similar	high	0.711
H1590	H1589	steal	similar	high	1.0
H1590	H1497	plunder	similar	high	0.606
H1591	H1589	steal	similar	prior	0.5
H1591	H1590	thief	similar	prior	0.5
H1593	H1588	Garden (of Uzza)	similar	high	0.836
H1593	H3759	plantation	similar	prior	0.5
H1593	H4302	plantation	similar	prior	0.5
H1593	H4042	deliver	similar	prior	0.5
H1593	H4044	covering	similar	prior	0.5
H1593	H1019	Beth-gilgal	similar	prior	0.5
H1598	H8104	keep	similar	prior	0.5
H1598	H5337	rescue	similar	prior	0.5
H1598	H4044	covering	similar	prior	0.5
H1598	H1588	Garden (of Uzza)	similar	prior	0.5
H1598	H4042	deliver	similar	prior	0.5
H1598	H1593	garden	similar	prior	0.5
H1602	H3988	reject	similar	high	0.575
H1604	H1602	abhor	similar	prior	0.5
H1605	H1606	rebuke	similar	prior	0.5
H1605	H3198	rebuke	similar	prior	0.5
H1605	H2778	taunt	similar	prior	0.5
H1605	H4045	rebuke	similar	prior	0.5
H1606	H2781	reproach	similar	prior	0.5
H1606	H8433	rebuke	similar	prior	0.5
H1606	H3198	rebuke	similar	prior	0.5
H1612	H8384	fig	similar	high	0.884
H1612	H3754	vineyard	similar	high	0.719
H1612	H2156	branch	similar	prior	0.5
H1614	H0784	fire	similar	high	0.64
H1615	H2416	alive	similar	prior	0.5
H1615	H7934	neighboring	similar	prior	0.5
H1615	H1616	sojourner	similar	prior	0.5
H1615	H2417	living	similar	prior	0.5
H1615	H2421	live	similar	prior	0.5
H1616	H8453	sojourner	similar	high	0.995
H1616	H0249	born	antonym	recall	0.82
H1616	H1481	sojourn	similar	prior	0.5
H1616	H4033	sojourning	similar	prior	0.5
H1616	H4460	granary	similar	prior	0.5
H1616	H1628	Geruth	similar	prior	0.5
H1616	H2421	live	similar	prior	0.5
H1616	H2417	living	similar	prior	0.5
H1616	H7934	neighboring	similar	prior	0.5
H1616	H2416	alive	similar	prior	0.5
H1621	H6677	neck	similar	prior	0.5
H1621	H1627	throat	similar	prior	0.5
H1621	H1625	cud	similar	prior	0.5
H1621	H1626	gerah	similar	prior	0.5
H1621	H1641	drag	similar	prior	0.5
H1621	H1620	berry	similar	prior	0.5
H1621	H4050	saw	similar	prior	0.5
H1622	H6522	Perizzite	similar	high	1.0
H1622	H2340	Hivite	similar	high	1.0
H1622	H2983	Jebusite	similar	high	1.0
H1622	H2850	Hittite	similar	high	1.0
H1622	H0567	Amorite	similar	high	0.99
H1622	H3669	Canaanite	similar	high	0.96
H1624	H4066	strife	similar	high	0.692
H1624	H1627	throat	similar	prior	0.5
H1624	H7379	strife	similar	high	0.499
H1624	H7378	contend	similar	high	0.492
H1625	H4050	saw	similar	prior	0.5
H1625	H1620	berry	similar	prior	0.5
H1626	H8255	shekel	similar	high	0.714
H1626	H4050	saw	similar	prior	0.5
H1626	H1620	berry	similar	prior	0.5
H1626	H1625	cud	similar	prior	0.5
H1631	H7134	axe	similar	prior	0.5
H1634	H6106	bone	similar	prior	0.5
H1634	H1633	reserve	similar	prior	0.5
H1634	H1635	bone	similar	prior	0.5
H1635	H1633	reserve	similar	prior	0.5
H1638	H1643	crushed grain	similar	prior	0.5
H1639	H4591	diminish	similar	high	0.542
H1639	H4052	recess	similar	prior	0.5
H1640	H0106	fist	similar	prior	0.5
H1641	H4050	saw	similar	prior	0.5
H1641	H1500	violence	similar	prior	0.5
H1641	H1625	cud	similar	prior	0.5
H1641	H1620	berry	similar	prior	0.5
H1641	H1626	gerah	similar	prior	0.5
H1644	H3423	possess	similar	high	0.657
H1644	H3318	come out	similar	high	0.557
H1644	H7971	send	similar	high	0.546
H1644	H1920	thrust	similar	prior	0.5
H1644	H3748	divorce	similar	prior	0.5
H1644	H1645	produce	similar	prior	0.5
H1646	H1645	produce	similar	prior	0.5
H1646	H4054	pasture	similar	prior	0.5
H1646	H1644	drive out	similar	prior	0.5
H1651	H4602	Maacathite	similar	high	1.0
H1653	H4306	rain	similar	high	1.0
H1653	H4456	spring rain	similar	high	0.919
H1653	H2919	dew	similar	high	0.769
H1653	H1259	hail	similar	high	0.668
H1653	H4305	rain	similar	high	0.617
H1653	H5645	cloud	similar	high	0.592
H1653	H1652	rain	similar	prior	0.5
H1656	H1653	rain	similar	prior	0.5
H1656	H1652	rain	similar	prior	0.5
H1668	H0738	lion	similar	prior	0.5
H1669	H5774	fly	similar	prior	0.5
H1669	H0535	weaken	similar	prior	0.5
H1669	H1671	sorrow	similar	prior	0.5
H1670	H1671	sorrow	similar	prior	0.5
H1670	H1669	languish	similar	prior	0.5
H1672	H1674	anxiety	similar	prior	0.5
H1674	H3372	fear	similar	prior	0.5
H1674	H6343	dread	similar	prior	0.5
H1674	H1091	terror	similar	prior	0.5
H1675	H5404	eagle	similar	high	0.763
H1675	H5774	fly	similar	high	0.66
H1675	H7363	be weak	similar	prior	0.5
H1675	H1772	hawk	similar	prior	0.5
H1676	H1675	fly	similar	prior	0.5
H1676	H7201	glede	similar	prior	0.5
H1676	H1772	hawk	similar	prior	0.5
H1677	H0738	lion	similar	high	0.581
H1677	H5246	leopard	similar	high	0.53
H1677	H2061	wolf	similar	prior	0.5
H1677	H2416	alive	similar	prior	0.5
H1677	H1681	slander	similar	prior	0.5
H1677	H1680	glide	similar	prior	0.5
H1681	H7400	slander	similar	prior	0.5
H1681	H1680	glide	similar	prior	0.5
H1682	H4057	mouth	similar	prior	0.5
H1684	H1685	sacrifice	similar	prior	0.5
H1684	H4056	altar	similar	prior	0.5
H1687	H1696	speak	similar	prior	0.5
H1687	H1682	bee	similar	prior	0.5
H1687	H1703	word	similar	prior	0.5
H1687	H1699	pasture	similar	prior	0.5
H1687	H1702	raft	similar	prior	0.5
H1687	H1697	word	similar	prior	0.5
H1687	H4057	mouth	similar	prior	0.5
H1690	H6025	grape	similar	prior	0.5
H1690	H3603	Plain (of Jericho)	similar	prior	0.5
H1692	H7291	pursue	similar	prior	0.5
