# LLM-proposed labels for domain_clusters.tsv's numbered clusters (claude-haiku-4-5-20251001). Labels are
# a convenience NAME for a cluster formed by clean signals — the LLM did not decide
# membership. See label_domain_clusters.py.
cluster_id	label	size	sample_glosses
430	Binding Together	3	bind, roughness, conspiracy
460	Good and Pleasant	3	fair, acceptable, dawn
463	Climbing Plants	3	tendril, sorrel, vine
26	Constraint and Position	2	shut, lefthanded
28	Physical Strength	2	strength, strength
34	Desire and Weight	2	crave, burden
38	Proximal Demonstratives	2	these, these
55	Binding and Conveyance	2	bandage, carriage
60	Rapid Movement	2	go, run
74	Conflict	2	sedition, strive
75	Compensation	2	wages, hire
76	Displeasure	2	bad, be displeased
80	Haste	2	hastely, dismay
83	Movement	2	come (in), go
84	Emptiness	2	emptiness, emptiness
99	Blessing	2	bless, knee
101	Division	2	cut up, part
116	Healing	2	cure, cure
124	Disclosure	2	reveal, captivity
127	Chopping Tools	2	axe, axe
128	Breaking	2	break, crushed grain
131	Ethnic Groups	2	Geshurite, Maacathite
145	Quietness	2	silence, silence
150	Crushing	2	crush, pounding
166	Dowry	2	endow, dowry
173	Appointment and Time	2	appoint, time
174	Musical Performance	2	music, singer
175	Tail	2	cut off the tail, tail
180	Affection and Intimacy	2	breast, love
192	Rejoicing and Joy	2	rejoice, joy
194	Obligation and Risk	2	endanger, debtor
196	Speech and Explanation	2	declaration, explain
206	Dullness	2	dull, dullness
211	Bending	2	curve, turn away
213	Fifth Part	2	take the fifth part, fifth
214	Strangulation	2	strangle, strangling
216	Muzzling	2	muzzle, muzzle
219	Bosom	2	bosom, bosom
222	Need	2	need, requirement
224	Collection	2	hub, collection
227	Goodness	2	be good, fine
232	Load or Weight	2	burden, burden
237	Doves	2	dove, turtledove
238	Perspiration	2	sweat, sweat
240	Registration or Genealogy	2	enroll, genealogy
241	Respiration	2	breathe, breathing
243	Knowledge or Certainty	2	know, certain
246	Fire or Combustion	2	burn, burning
262	Warrior Groups	2	Cherethite, Pelethite
268	Garment and Clothing	2	garment, clothe
274	Cheerfulness and Joy	2	be cheerful, cheer
276	Excrement and Waste	2	dung, dunghill
284	Eating and Food	2	feed, food
286	Sweeping and Cleaning	2	sweep, broom
288	Spinning and Textiles	2	spin, yarn
289	Speech and Communication	2	word, speak
291	Salt and Seasoning	2	eat salt, salt
299	Outcome	2	gain, cease
331	Lending	2	loan, debt
338	Transfer	2	gift, give
345	Breaking	2	break, fallow ground
351	Cutting	2	cut, piece
352	Treading	2	boot, tread
356	Completion	2	be fulfilled, end
357	Scraping	2	scrape, offscouring
362	Injustice	2	pervert, oppression
363	Advice	2	counsel, counsel
364	Adornment	2	tinkle, anklet
366	Movement	2	going down, come
372	Uprooting	2	be uprooted, root
374	Pleasantness	2	please, sweet
377	Place Names	2	Ashterathite, Ashteroth-karnaim
379	Abundance	2	be abundant, abundance
382	Small Containers	2	vial, trickle
384	Service and Labor	2	serve, service
386	Surface Marking	2	peel, stripe
388	Gourds and Vessels	2	gourd, gourd
391	Division and Fracture	2	divide, broken
392	Interpretation and Meaning	2	interpret, interpretation
396	Desire and Will	2	will, thing
397	Swelling and Distension	2	swell, swollen
398	Ambush	2	ambush, ambush
402	Color	2	Sahar, tawny
404	Vessel	2	pot, jar
405	Conduit	2	water, pipe
406	Shelter	2	kab, tent
408	Season	2	summer, summer
409	Kill	2	slay, slaughter
412	Anger	2	be angry, wrath
413	Confrontation	2	approach, war
415	Insect and Eye Movement	2	wink, stinging fly
416	Cucumber	2	cucumber field, cucumber
417	Cover or Spread	2	covering, spread
420	Anger	2	enrage, rage
421	Crowd or Multitude	2	throng, throng
425	Elevation	2	rise, height
428	Moisture and Freshness	2	be moist, fresh
429	Fluid Discharge	2	run, spittle
432	Liquid Movement	2	drop, moisten
433	Mental States	2	pleasure, thought
434	Filth	2	mud, foul
435	Piercing Tools	2	awl, bore
437	Binding Materials	2	bind, broom
441	Enclosure	2	hedge, hedge
442	Motion and Offering	2	travel, present
443	Cutting Tools	2	saw, row
444	Water Motion	2	swim, swimming
446	Bird Species	2	gull, illness
447	Deviation	2	swerve, rebellion
449	Whitening Substances	2	whitewash, lime
450	Pointed Objects	2	thorn, spear
452	Removal	2	extract, afterbirth
453	Safety and Comfort	2	be safe, ease
456	Wholeness	2	be complete, peace
458	Contemptuous Speech	2	whisper, derision
459	Disgust and Aversion	2	disgusting, horror
464	Twisting and Binding	2	thong, twist
465	Celebration and Feasting	2	feast, drink
467	Planting and Growth	2	transplant, shoot
468	Desire and Yearning	2	long for, longing
469	Duality and Doubling	2	twin, be double
15	Movement	1	go
