lex	stem	sense	gloss	count	share
CBJ/		2	the prisoner	1	0.021
CBJ/		3	the capture	1	0.021
CBJ<J/		1	seventh	92	1.0
CBJ=/		1	Shobi	1	1.0
CBJB/		1	spark	1	1.0
CBJH=/		1	captives (collective); captivity	7	0.778
CBJH=/		2	captivity	2	0.222
CBJL/		1	path	2	1.0
CBJS/		1	headband	1	1.0
CBJT/		1	captivity	4	1.0
CBL/		1	train	1	1.0
CBLT/		1	ear (of grain), bunch of twigs	14	0.875
CBLT/		2	Shibboleth	1	0.062
CBLT/		3	the clusters	1	0.062
CBLWL/		1	snail?	1	1.0
CBN>/		1	Shebna	7	1.0
CBNJH/		1	Shebaniah	6	1.0
CBQ[	htpe	1	be left to, pass on	1	1.0
CBQ[	peal	1	leave, let alone	4	1.0
CBR=/		1	grain	9	1.0
CBR=[	hif	1	sell grain	3	0.75
CBR=[	hif	2	sold grain	1	0.25
CBR=[	qal	1	buy grain	15	0.938
CBR=[	qal	2	he bought grain	1	0.062
CBRJM/		1	Shebarim	1	1.0
CBRWN/		1	breakdown	2	1.0
CBR[	hif	1	cause to break out	1	1.0
CBR[	hof	1	be shattered	1	1.0
CBR[	nif	1	be broken	50	0.943
CBR[	nif	2	they will be shattered	2	0.038
CBR[	nif	3	I was crushed	1	0.019
CBR[	piel	1	shatter	30	0.909
CBR[	piel	2	totally (shatter)	2	0.061
CBR[	piel	3	someone has broken	1	0.03
CBR[	qal	1	break	44	0.917
CBR[	qal	2	it had mauled	1	0.021
CBR[	qal	3	someone	1	0.021
CBR[	qal	4	someone breaks	1	0.021
CBR[	qal	5	people] broken	1	0.021
CBT/		1	sabbath, rest	111	1.0
CBT=/		1	indolence	1	0.333
CBT=/		2	a sitting still	1	0.333
CBT=/		3	cessation	1	0.333
CBTJ/		1	Shabbethai	3	1.0
CBTWN/		1	sabbath feast	11	1.0
CBT[	hif	1	cause to cease	37	0.974
CBT[	hif	2	about to cause to cease	1	0.026
CBT[	nif	1	be stopped; vanish	4	1.0
CBT[	qal	1	cease, rest; keep the Sabbath	27	1.0
CBV/		1	rod, staff; tribe	187	0.984
CBV/		2	club	2	0.011
CBV/		3	spears	1	0.005
CBV=/		1	Shebat (month)	1	1.0
CBW/		1	(precious stone)	2	1.0
CBW</		1	week	19	0.95
CBW</		2	two weeks	1	0.05
CBW<H/		1	oath	28	0.966
CBW<H/		2	a curse	1	0.034
CBW>L/		1	Shubael	3	1.0
CBWR/		1	fracture	1	1.0
CBWT/		1	captivity, imprisonment	28	1.0
CBY/		1	giddiness?; cramp?	1	1.0
CBY[	piel	1	weave in patterns	1	1.0
CBY[	pual	1	be set	1	1.0
CC/		1	six	215	1.0
CCBYR/		1	Sheshbazzar	2	1.0
CCH[	piel	1	give sixth part of	1	1.0
CCJ/		1	sixth; one-sixth	26	1.0
CCJ=/		1	Sheshai	3	1.0
CCJ==/		1	Shashai	1	1.0
CCK/		1	Sheshach	2	1.0
CCN/		1	Sheshan	5	1.0
CCQ/		1	Shashak	2	1.0
CCR/		1	red paint, minium	2	1.0
CD/		1	violence, destruction	25	1.0
CD=/		1	breast	20	0.952
CD=/		2	two breasts	1	0.048
CD==/		1	demon	2	1.0
CDH/		1	lady?	2	1.0
CDJ/		1	Almighty	48	1.0
CDJ>WR/		1	Shedeur	5	1.0
CDMH/		1	field	4	0.667
CDMH/		2	the terraced fields	2	0.333
CDPH/		1	scorching	1	1.0
CDPWN/		1	scorching	5	1.0
CDP[	qal	1	scorch	3	1.0
CDRK/		1	Shadrach	1	1.0
CDR[	htpa	1	strive	1	1.0
CG<WN/		1	madness	3	1.0
CG<[	hit	1	behave as a madman	2	1.0
CG<[	pual	1	be mad	3	0.75
CG<[	pual	2	driven mad	1	0.25
CGGH/		1	error, inadvertence	19	1.0
CGG[	qal	1	err	2	0.5
CGG[	qal	2	going astray	1	0.25
CGG[	qal	3	goes astray	1	0.25
CGH[	hif	1	lead astray; mislead	3	0.75
CGH[	hif	2	allow	1	0.25
CGH[	qal	1	err, stray; swerve	4	0.235
CGH[	qal	2	errs	4	0.235
CGH[	qal	3	they reeled	3	0.176
CGH[	qal	4	I have gone astray	1	0.059
CGH[	qal	5	they wander	1	0.059
CGH[	qal	6	astray	1	0.059
CGH[	qal	7	may you be intoxicated	1	0.059
CGH[	qal	8	stray	1	0.059
CGH[	qal	9	staggers	1	0.059
CGJ>H/		1	error	1	1.0
CGJWN/		1	dirge?	1	0.5
CGJWN/		2	a shiggaion	1	0.5
CGR/		1	litter	5	1.0
CGX[	hif	1	look	2	0.667
CGX[	hif	2	they will stare	1	0.333
CHM/		1	onyx, carnelian, lapis lazuli	11	1.0
CJ/		1	gift	3	1.0
CJ>N/		1	Shion	1	1.0
CJBH/		1	captivity?; stay?	1	1.0
CJC/		1	alabaster	1	1.0
CJC>/		1	Shisha	1	1.0
CJCQ/		1	Shishak	7	1.0
CJH[	qal	1	forget?	1	1.0
CJMWN/		1	Shimon	1	1.0
CJR/		1	song	76	1.0
CJRH/		1	song	13	1.0
CJR[	hof	1	be sung	1	1.0
CJR[	piel	1	sing	33	0.892
CJR[	piel	2	singing	2	0.054
CJR[	piel	3	they have sung	1	0.027
CJR[	piel	4	sang	1	0.027
CJR[	qal	1	sing	46	0.939
CJR[	qal	2	female singers	3	0.061
CJT/		1	weeds	7	1.0
CJT[	hof	1	be imposed	2	1.0
CJT[	qal	1	put, place	61	0.91
CJT[	qal	2	powerfully (take a stand)	2	0.03
CJT[	qal	3	he will impose	1	0.015
CJT[	qal	4	they placed	1	0.015
CJT[	qal	5	they have taken a stand	1	0.015
CJT[	qal	6	someone will fix	1	0.015
CJXH/		1	pit	2	1.0
CJXWR/		1	Shihor	4	1.0
CJXWR_LBNT/		1	Shihor Libnath	1	1.0
CJZ>/		1	Shiza	1	1.0
CKBH/		1	lying; layer	7	0.778
CKBH/		2	the layer	2	0.222
CKBT/		1	copulation	4	1.0
CKB[	hif	1	lay down	2	0.667
CKB[	hif	2	will he make to lie down	1	0.333
CKB[	hof	1	be laid down	2	1.0
CKB[	nif	1	be slept with	2	1.0
CKB[	pual	1	be slept with	1	1.0
CKB[	qal	1	lie down; have sexual intercourse	181	0.973
CKB[	qal	2	rest	3	0.016
CKB[	qal	3	about to lie down	1	0.005
CKB[	qal	4	people had lain	1	0.005
CKK[	hif	1	cause to decrease	1	1.0
CKK[	qal	1	decrease	3	0.75
CKK[	qal	2	bend	1	0.25
CKLJM/		1	childlessness	1	1.0
CKL[	hif	1	miscarry	2	1.0
CKL[	piel	1	make childless; miscarry	4	0.267
CKL[	piel	2	miscarrying	3	0.2
CKL[	piel	3	it will make childless	3	0.2
CKL[	piel	4	it has made childless	2	0.133
CKL[	piel	5	causing abortions	1	0.067
CKL[	piel	6	abortion	1	0.067
CKL[	piel	7	it will prove barren	1	0.067
CKL[	qal	1	become childless	3	0.75
CKL[	qal	2	she will become childless	1	0.25
CKM/		1	shoulder(s); neck; back	22	1.0
CKM===/		1	Shechem	3	1.0
CKMJ/		1	Shechemite	1	1.0
CKM[	hif	1	rise early; do early	65	1.0
CKN/		1	inhabitant; neighbour, neighbor	19	1.0
CKNJH/		1	Shecaniah	8	1.0
CKN[	hif	1	cause to dwell	4	0.667
CKN[	hif	2	I will cause to settle	1	0.167
CKN[	hif	3	may he lay	1	0.167
CKN[	piel	1	cause to dwell	11	0.917
CKN[	piel	2	he had pitched	1	0.083
CKN[	qal	1	tent, dwell, settle	107	0.973
CKN[	qal	2	I want to settle down	1	0.009
CKN[	qal	3	[those	1	0.009
CKN[	qal	4	they stay	1	0.009
CKR=/		1	beer, strong drink, intoxicating drink	23	1.0
CKR[	hif	1	make drunk	2	0.667
CKR[	hif	2	make	1	0.333
CKR[	piel	1	make drunk	2	1.0
CKR[	qal	1	be, become drunk	6	0.75
CKR[	qal	2	he became drunk	2	0.25
CKWL=/		1	bereft of children	3	0.5
CKWL=/		2	deprived of offspring	2	0.333
CKWL=/		3	childless	1	0.167
CKWR/		1	drunk(en)	10	0.769
CKWR/		2	drunk	2	0.154
CKWR/		3	O drunkards	1	0.077
CKX[	hif	1	cause to forget	1	1.0
CKX[	hit	1	be forgotten	1	1.0
CKX[	nif	1	be forgotten	13	1.0
CKX[	piel	1	cause to be forgotten	1	1.0
CKX[	qal	1	forget	70	0.972
CKX[	qal	2	ever (forget)	1	0.014
CKX[	qal	3	O forget	1	0.014
CL/		1	irreverence?	1	1.0
CL>NN/		1	at ease?	1	1.0
CLB/		1	connecting piece, ledge	3	1.0
CLB[	pual	1	be joined	2	1.0
CLCH/		1	Shilshah	1	1.0
CLCH=/		1	Shalisha	1	1.0
CLCJM/		1	grandsons; great-grandsons	5	1.0
CLCWM/		1	three days ago, day before yesterday	24	1.0
CLC[	piel	1	divide into three; do on the third day; do for the third time	2	0.5
CLC[	piel	2	you will divide into three	1	0.25
CLC[	piel	3	you will do on the third day	1	0.25
CLC[	pual	1	three years old; threefold	3	0.6
CLC[	pual	2	divided into three parts	1	0.2
CLC[	pual	3	threefold	1	0.2
CLG/		1	snow	19	1.0
CLG=/		1	soap, soapwort	1	1.0
CLH/		1	Shiloh	21	1.0
CLH=/		1	Shelah	8	1.0
CLHBT/		1	flame	2	1.0
CLJ/		1	quietness	1	1.0
CLJC/		1	third part (measure)	1	0.5
CLJC/		2	a third of a measure	1	0.5
CLJC=/		1	third man in chariot; adjutant	15	1.0
CLJC==/		1	(musical instrument)	1	1.0
CLJCJ/		1	third; one-third	77	0.987
CLJCJ/		2	thirty	1	0.013
CLJCJT/		1	third part	10	1.0
CLJH/		1	after-birth	1	1.0
CLJV/		1	ruler	3	0.75
CLJV/		2	having mastery	1	0.25
CLK/		1	cormorant? (unclean bird)	2	1.0
CLKT=/		1	Shalleketh	1	1.0
CLK[	hif	1	throw	85	0.934
CLK[	hif	2	you threw away	2	0.022
CLK[	hif	3	people have cast down	1	0.011
CLK[	hif	4	people will throw out	1	0.011
CLK[	hif	5	someone will throw	1	0.011
CLK[	hif	6	he will shed	1	0.011
CLK[	hof	1	be thrown	11	0.846
CLK[	hof	2	about to be thrown	1	0.077
CLK[	hof	3	I was cast	1	0.077
CLL/		1	plunder, booty	69	0.945
CLL/		2	spoil	2	0.027
CLL/		3	prey	1	0.014
CLL/		4	gain	1	0.014
CLM/		1	final offering, peace offering	84	0.966
CLM/		2	your peace	2	0.023
CLM/		3	the peace offering	1	0.011
CLM===/		1	Salem	2	1.0
CLM====/		1	Shillem	2	1.0
CLMH/		1	retribution	1	1.0
CLMH=/		1	Solomon	291	0.993
CLMH=/		2	O Solomon	2	0.007
CLMJ/		1	Shillemite	1	1.0
CLMJ=/		1	Shelomi	1	1.0
CLMJ>L/		1	Shelumiel	5	1.0
CLMJH/		1	Shelemiah	5	1.0
CLMJT/		1	Shelomith	8	1.0
CLMN/		1	Shalman	1	1.0
CLMN>SR/		1	Shalmaneser	2	1.0
CLMWT/		1	Shelomoth	3	1.0
CLM[	hif	1	make peace with	6	0.545
CLM[	hif	2	he performs	3	0.273
CLM[	hif	3	it will make peace	1	0.091
CLM[	hif	4	he causes to be at peace	1	0.091
CLM[	hof	1	be at peace with	1	1.0
CLM[	piel	1	repay	74	0.892
CLM[	piel	2	have you repaid	2	0.024
CLM[	piel	3	he completed	1	0.012
CLM[	piel	4	paying back	1	0.012
CLM[	piel	5	about to repay	1	0.012
CLM[	piel	6	fully (repay)	1	0.012
CLM[	piel	7	I will fulfill	1	0.012
CLM[	piel	8	the one] who he will repay	1	0.012
CLM[	piel	9	I have paid	1	0.012
CLM[	pual	1	be requited	2	0.4
CLM[	pual	2	in a covenant	1	0.2
CLM[	pual	3	it be repaid?	1	0.2
CLM[	pual	4	it will be paid	1	0.2
CLM[	qal	1	be whole, be complete	4	0.5
CLM[	qal	2	the peaceful	1	0.125
CLM[	qal	3	[one	1	0.125
CLM[	qal	4	he has remained unharmed	1	0.125
CLM[	qal	5	be at peace	1	0.125
CLNJ/		1	Shelanite	1	1.0
CLP/		1	Sheleph	2	1.0
CLP[	qal	1	draw (sword); take off	14	0.583
CLP[	qal	2	drawn	4	0.167
CLP[	qal	3	draw	4	0.167
CLP[	qal	4	drawers	1	0.042
CLP[	qal	5	it has shot up	1	0.042
CLV/		1	shield	7	1.0
CLVN/		1	dominion	12	1.0
CLVT/		1	domineering	1	1.0
CLW/		1	ease	4	1.0
CLW=/		1	Shiloh	11	1.0
CLWH/		1	ease	8	1.0
CLWM/		1	peace, welfare, health	236	0.996
CLWM/		2	completeness(es)	1	0.004
CLWM=/		1	reward, retribution	2	0.667
CLWM=/		2	bribe	1	0.333
CLWM==/		1	Shallum	27	1.0
CLWN/		1	Shallun	1	1.0
CLX==/		1	Shelah	9	1.0
CLX===/		1	Shiloah	1	1.0
CLXJ/		1	Shilhi	2	1.0
CLXJM=/		1	Shilhim	1	1.0
CLXN/		1	table; table for sacred use	71	1.0
CLX[	hif	1	let loose upon	4	0.8
CLX[	hif	2	about to send	1	0.2
CLX[	nif	1	be sent	1	1.0
CLX[	piel	1	let go; stretch out; send	186	0.969
CLX[	piel	2	you sent forth	1	0.005
CLX[	piel	3	who] lets go	1	0.005
CLX[	piel	4	really (let go)	1	0.005
CLX[	piel	5	O let loose	1	0.005
CLX[	piel	6	about	1	0.005
CLX[	piel	7	spreads	1	0.005
CLX[	pual	1	be let loose, sent, forsaken	7	0.7
CLX[	pual	2	deserted	1	0.1
CLX[	pual	3	he is caught	1	0.1
CLX[	pual	4	let loose	1	0.1
CLX[	qal	1	send	474	0.977
CLX[	qal	2	[those	3	0.006
CLX[	qal	3	the [one	2	0.004
CLX[	qal	4	people sent	2	0.004
CLX[	qal	5	urgently (send)	1	0.002
CLX[	qal	6	he sent away	1	0.002
CLX[	qal	7	send away	1	0.002
CLX[	qal	8	anyone stretches out	1	0.002
CM/		1	name	863	0.999
CM/		2	than	1	0.001
CM</		1	hearsay, report	17	1.0
CM<==/		1	rumour	1	1.0
CM<===/		1	Shema	5	1.0
CM<====/		1	Shama	1	1.0
CM<>/		1	Shimea	5	1.0
CM<H/		1	Shemaah	1	1.0
CM<H=/		1	Shimeah	3	1.0
CM<J=/		1	Shimei	43	1.0
CM<JH/		1	Shemaiah	34	1.0
CM<NJ/		1	Simeonite	4	1.0
CM<T/		1	Shimeath	2	1.0
CM<TJ/		1	Shimeathite	1	1.0
CM<WN/		1	Simeon	44	1.0
CM<[	hif	1	make heard; summon	44	0.88
CM<[	hif	2	summon	2	0.04
CM<[	hif	3	cause	2	0.04
CM<[	hif	4	he made proclamation to	1	0.02
CM<[	hif	5	make	1	0.02
CM<[	nif	1	be heard	41	0.953
CM<[	nif	2	they became obedient	2	0.047
CM<[	piel	1	summon	2	1.0
CM<[	qal	1	hear; give ear to, obey	1004	0.992
CM<[	qal	2	people hear	2	0.002
CM<[	qal	3	really (obey)	1	0.001
CM<[	qal	4	people	1	0.001
CM<[	qal	5	people have heard	1	0.001
CM<[	qal	6	about to listen	1	0.001
CM<[	qal	7	people listened	1	0.001
CM<[	qal	8	heeds	1	0.001
CM>/		1	Shamma	2	1.0
CM>BR/		1	Shemeber	1	1.0
CM>H/		1	Shimeah	1	1.0
CM>M/		1	Shimeam	1	1.0
CMC/		1	sun	131	0.978
CMC/		2	O sun	2	0.015
CMC/		3	battlements	1	0.007
CMCJ/		1	from Beth Shemesh	4	1.0
CMCRJ/		1	Shamsherai	1	1.0
CMCWN/		1	Samson	34	0.895
CMCWN/		2	O Samson	4	0.105
CMD[	hif	1	exterminate	44	0.936
CMD[	hif	2	you will demolish	1	0.021
CMD[	hif	3	of destruction	1	0.021
CMD[	hif	4	totally	1	0.021
CMD[	nif	1	be destroyed, be exterminated	11	0.917
CMD[	nif	2	utterly (destroyed)	1	0.083
CMGR/		1	Shamgar	2	1.0
CMH=/		1	Shammah	7	1.0
CMHWT/		1	Shamhuth	1	1.0
CMJ/		1	Shammai	6	1.0
CMJD</		1	Shemida	3	1.0
CMJD<J/		1	Shemidaite	1	1.0
CMJM/		1	heaven, heavens; sky	404	0.985
CMJM/		2	O heaven	6	0.015
CMJNJ/		1	eighth	28	0.933
CMJNJ/		2	sheminith	2	0.067
CMJR==/		1	Shamir	3	1.0
CMJR===/		1	Shamir	1	1.0
CMJRMWT/		1	Shemiramoth	4	1.0
CMM/		1	desolate	1	1.0
CMMH/		1	horror, desolation	55	0.982
CMMH/		2	become] (into) a desolation	1	0.018
CMMH=/		1	desolation?	1	1.0
CMMWN/		1	horror	2	1.0
CMM[	hif	1	make desolated	14	0.933
CMM[	hif	2	I will make desolate	1	0.067
CMM[	hit	1	be astonished	4	0.8
CMM[	hit	2	will you destroy yourself	1	0.2
CMM[	nif	1	be made desolate; be appalled	23	1.0
CMM[	piel	1	be desolate; be appalled	2	0.5
CMM[	piel	2	appalled	2	0.5
CMM[	qal	1	be astonished; be desolate	33	1.0
CMN/		1	oil	186	0.984
CMN/		2	fat things	2	0.011
CMN/		3	than ointment	1	0.005
CMN=/		1	fat	5	0.556
CMN=/		2	rich	2	0.222
CMN=/		3	stout	1	0.111
CMN=/		4	fat	1	0.111
CMN==/		1	fat	2	1.0
CMNH/		1	eight	109	1.0
CMN[	hif	1	make fat; become fat	1	0.5
CMN[	hif	2	they grew fat	1	0.5
CMN[	qal	1	be fat	2	0.667
CMN[	qal	2	he became fat	1	0.333
CMR=/		1	Shemer	4	1.0
CMRH/		1	eyelid	1	1.0
CMRJ/		1	Shimri	4	1.0
CMRJH/		1	Shemariah	3	1.0
CMRJM/		1	vigil	2	1.0
CMRJN/		1	Samaria	2	1.0
CMRJT/		1	Shimrith	1	1.0
CMRNJ/		1	Shimronite	1	1.0
CMRT/		1	Shimrath	1	1.0
CMRWN=/		1	Shimron	2	1.0
CMRWN==/		1	Shimron	3	1.0
CMR[	hit	1	beware	2	1.0
CMR[	nif	1	be guarded; beware	31	0.838
CMR[	nif	2	he was kept	2	0.054
CMR[	nif	3	you will keep yourself	1	0.027
CMR[	nif	4	he took heed	1	0.027
CMR[	nif	5	he took care	1	0.027
CMR[	nif	6	they are preserved	1	0.027
CMR[	piel	1	worship	1	1.0
CMR[	qal	1	keep watch, guard	393	0.975
CMR[	qal	2	O watchman	2	0.005
CMR[	qal	3	watching over	2	0.005
CMR[	qal	4	carefully (keep)	1	0.002
CMR[	qal	5	really (keep)	1	0.002
CMR[	qal	6	he took care	1	0.002
CMR[	qal	7	people watched	1	0.002
CMR[	qal	8	people keep	1	0.002
CMR[	qal	9	than watchmen	1	0.002
CMTJ/		1	Shumathite	1	1.0
CMVH/		1	remission of debt	5	1.0
CMV[	hif	1	cause to release	1	1.0
CMV[	nif	1	be cast down?	1	1.0
CMV[	qal	1	release; neglect	2	0.5
CMV[	qal	2	he will let drop	1	0.25
CMV[	qal	3	you will let fall	1	0.25
CMW</		1	Shammua	5	1.0
CMW<H/		1	news, report	26	0.963
CMW<H/		2	mention	1	0.037
CMW>L/		1	Samuel	139	0.993
CMW>L/		2	Shemuel	1	0.007
CMWT/		1	Shammoth	1	1.0
CMY/		1	whisper?	2	1.0
CMYH/		1	mocking?	1	1.0
CN/		1	tooth	54	0.982
CN/		2	prongs	1	0.018
CN<R/		1	Shinar	8	1.0
CN>B/		1	Shinab	1	1.0
CN>N/		1	repetition?; highness?	1	1.0
CN>YR/		1	Shenazzar	1	1.0
CNH/		1	year	876	1.0
CNH=/		1	sleep	23	1.0
CNHBJM/		1	ivory	2	1.0
CNH[	hit	1	disguise oneself	1	1.0
CNH[	nif	1	be repeated	1	1.0
CNH[	piel	1	alter	6	1.0
CNH[	qal	1	change; repeat; differ	4	0.308
CNH[	qal	2	repeats	3	0.231
CNH[	qal	3	I change	3	0.231
CNH[	qal	4	differing	2	0.154
CNH[	qal	5	he repeated	1	0.077
CNJ/		1	second	153	1.0
CNJ=/		1	scarlet, crimson	40	0.952
CNJ=/		2	a scarlet thread	1	0.024
CNJ=/		3	thread	1	0.024
CNJM/		1	two	758	0.996
CNJM/		2	plus	2	0.003
CNJM/		3	than two plus	1	0.001
CNJNH/		1	sharp word	4	1.0
CNN[	hit	1	feel pierced	1	1.0
CNN[	qal	1	sharpen	7	1.0
CNS[	piel	1	gird up	1	1.0
CP</		1	abundance	1	1.0
CP<H/		1	mass	4	0.667
CP<H/		2	the crowd	2	0.333
CP<J/		1	Shiphi	1	1.0
CPJ/		1	bare height	9	1.0
CPJM/		1	Shuppim	3	1.0
CPJPN/		1	horned snake?	1	1.0
CPJR/		1	Shaphir	1	1.0
CPK/		1	place for pouring out ashes	2	1.0
CPKH/		1	penis	1	1.0
CPK[	hit	1	be poured out	2	0.667
CPK[	hit	2	they lie scattered	1	0.333
CPK[	nif	1	be poured out	6	0.75
CPK[	nif	2	it will be shed	2	0.25
CPK[	pual	1	be poured out; to slip	2	0.667
CPK[	pual	2	it was shed	1	0.333
CPK[	qal	1	pour out	90	0.989
CPK[	qal	2	people will pour out	1	0.011
CPL/		1	deep, low; humble	11	0.647
CPL/		2	deep	4	0.235
CPL/		3	low	2	0.118
CPL==/		1	low	1	1.0
CPLH/		1	low state	1	1.0
CPLH=/		1	the lowland(s)	20	1.0
CPLWT/		1	sinking of hands	1	1.0
CPM/		1	Shepham	1	1.0
CPM=/		1	Shapham	1	1.0
CPMJ/		1	Shiphmite	1	1.0
CPN/		1	rock badger	3	0.75
CPN/		2	rock badgers	1	0.25
CPN=/		1	Shaphan	30	1.0
CPR/		1	antlers?; beauty?	1	1.0
CPRH=/		1	Shiphrah	1	1.0
CPV/		1	judgement; punishment	16	1.0
CPV=/		1	Shaphat	8	1.0
CPVJH/		1	Shephatiah	10	1.0
CPVN/		1	Shiphtan	1	1.0
CPV[	nif	1	plead	14	0.933
CPV[	nif	2	let them be judged	1	0.067
CPV[	poel	1	opponent?	1	1.0
CPV[	qal	1	judge, enter into controversy	160	0.958
CPV[	qal	2	about to judge	2	0.012
CPV[	qal	3	he gave judgment	1	0.006
CPV[	qal	4	rule	1	0.006
CPV[	qal	5	O rulers	1	0.006
CPV[	qal	6	O judge	1	0.006
CPV[	qal	7	will you enter into judgment	1	0.006
CPW/		1	Shepho	1	1.0
CPWPM/		1	Shupham	1	1.0
CPWV/		1	judgment	2	1.0
CPXH/		1	female slave	60	0.952
CPXH/		2	servants	2	0.032
CPXH/		3	become] (into) a maid	1	0.016
CQ/		1	lower leg	1	1.0
CQ<RWRH/		1	hollow spot	1	1.0
CQ<[	hif	1	hold down; let settle	1	0.5
CQ<[	hif	2	will you make sink?	1	0.5
CQ<[	nif	1	sink	1	1.0
CQ<[	qal	1	subside	2	0.667
CQ<[	qal	2	it died out	1	0.333
CQD/		1	almond; almond tree	2	0.5
CQD/		2	of an almond tree	1	0.25
CQD/		3	tree	1	0.25
CQH[	hif	1	give to drink	40	0.93
CQH[	hif	2	people watered	1	0.023
CQH[	hif	3	people will give to drink	1	0.023
CQH[	hif	4	you have given to drink	1	0.023
CQH[	pual	1	be watered	1	1.0
CQL/		1	shekel (unit of weight)	88	1.0
CQMH/		1	sycamore tree	7	1.0
CQP[	hif	1	look down	12	1.0
CQP[	nif	1	look down	8	1.0
CQQ[	qal	1	rush	3	1.0
CQR/		1	lie, falsehood, deception	112	0.991
CQR/		2	a vain hope	1	0.009
CQR[	piel	1	deceive	4	0.8
CQR[	piel	2	we had dealt falsely	1	0.2
CQR[	qal	1	deceive	1	1.0
CQT/		1	watering trough	1	0.5
CQT/		2	the watering channels	1	0.5
CQV/		1	quietness	1	1.0
CQV[	hif	1	be at rest; give rest	4	0.4
CQV[	hif	2	of quietness	2	0.2
CQV[	hif	3	give quiet	1	0.1
CQV[	hif	4	he will keep quiet	1	0.1
CQV[	hif	5	is still	1	0.1
CQV[	hif	6	he makes quiet	1	0.1
CQV[	qal	1	have peace, be at peace	26	0.839
CQV[	qal	2	be inactive	3	0.097
CQV[	qal	3	I will remain quiet	2	0.065
CQWJ/		1	drink	2	0.667
CQWJ/		2	refreshment	1	0.333
CQWY/		1	abominable idol; abomination	28	1.0
CQY/		1	abomination	10	0.909
CQY/		2	thing	1	0.091
CQY[	piel	1	detest; make unclean	3	0.5
CQY[	piel	2	make detestable	2	0.333
CQY[	piel	3	utterly (detest)	1	0.167
CR/		1	navel; navel-string	2	0.667
CR/		2	cord	1	0.333
CRB/		1	burning sun	1	0.5
CRB/		2	burning heat	1	0.5
CRBJH/		1	Sherebiah	8	1.0
CRBJV/		1	scepter	4	1.0
CRCRH/		1	chain	8	1.0
CRH/		1	(uncertain)	1	1.0
CRJ/		1	Sharai	1	1.0
CRJR/		1	sinew; muscle	1	1.0
CRQH=/		1	piping	7	1.0
CRT/		1	cultic service	2	1.0
CRT[	piel	1	minister to, serve	83	0.954
CRT[	piel	2	people served	2	0.023
CRT[	piel	3	O serve	2	0.023
CRWN/		1	Sharon	7	1.0
CRWNJ/		1	Sharonite	1	1.0
CRWXN/		1	Sharuhen	1	1.0
CRY/		1	swarm, swarming things	15	1.0
CS</		1	cleft	4	1.0
CSH[	qal	1	plunder	4	0.571
CSH[	qal	2	of plunderers	2	0.286
CSH[	qal	3	O plunder	1	0.143
CSP[	piel	1	cut to pieces?	1	1.0
CSS[	nif	1	be plundered	2	1.0
CSS[	qal	1	plunder	2	1.0
CT==/		1	Seth	8	1.0
CTH[	nif	1	be drunk	1	1.0
CTH[	qal	1	drink	209	0.977
CTH[	qal	2	drinkers	3	0.014
CTH[	qal	3	people will drink	1	0.005
CTH[	qal	4	[those	1	0.005
CTJ/		1	texture	9	1.0
CTJH/		1	drinking	1	1.0
CTJN/		1	sixty	4	1.0
CTLXJ/		1	Shuthelahite	1	1.0
CTM/		1	opening?	2	1.0
CTN[	hif	1	urinate	6	1.0
CTQ[	qal	1	become quiet	3	0.75
CTQ[	qal	2	it becomes quiet	1	0.25
CTR/		1	Shethar	1	1.0
CTR_BWZNJ/		1	Shethar-Bozenai	4	1.0
CVH/		1	acacia	27	0.964
CVH/		2	acacia tree	1	0.036
CVJM/		1	Shittim	5	1.0
CVP/		1	flood	6	1.0
CVP[	nif	1	be washed away	1	0.5
CVP[	nif	2	they will be swept away	1	0.5
CVP[	pual	1	be rinsed	1	1.0
CVP[	qal	1	wash away, wash off	16	0.696
CVP[	qal	2	I washed off	2	0.087
CVP[	qal	3	he has rinsed	1	0.043
CVP[	qal	4	someone washed off	1	0.043
CVP[	qal	5	about to overflow	1	0.043
CVP[	qal	6	rushes	1	0.043
CVP[	qal	7	flowed	1	0.043
CVR[	qal	1	officer, record-keeper	25	1.0
CVV/		1	scourge	1	1.0
CVX[	piel	1	stretch out	1	1.0
CVX[	qal	1	spread out	4	1.0
CW<==/		1	cry for help	1	1.0
CW<===/		1	Shua	2	1.0
CW<>/		1	Shua	1	1.0
CW<H/		1	cry for help	9	0.818
CW<H/		2	the cry for help	2	0.182
CW<L/		1	fox, jackal	7	1.0
CW<R/		1	gatekeeper	36	0.973
CW<R/		2	become] (into) the gatekeepers	1	0.027
CW>/		1	nothingness, worthless(ness) (n); in vain (adv)	50	0.943
CW>/		2	of nothingness	1	0.019
CW>/		3	futility	1	0.019
CW>/		4	deceitfulness	1	0.019
CWB=[	qal	1	turn, return	12	0.8
CWB=[	qal	2	about to turn back	1	0.067
CWB=[	qal	3	restored	1	0.067
CWB=[	qal	4	turn	1	0.067
CWBH/		1	return?	1	1.0
CWBL/		1	Shobal	9	1.0
CWBQ/		1	Shobek	1	1.0
CWB[	hif	1	bring back, return	292	0.957
CWB[	hif	2	respond	3	0.01
CWB[	hif	3	they brought	2	0.007
CWB[	hif	4	as withdrawing	1	0.003
CWB[	hif	5	he will make return	1	0.003
CWB[	hif	6	he drew back	1	0.003
CWB[	hif	7	about to turn back	1	0.003
CWB[	hif	8	make	1	0.003
