strong	lemma	en	es	fr	pt	zh	zh-Hant
G0765	ἀσεβής	ungodly	impío	impie		不敬虔的	不敬虔的
G0766	ἀσέλγεια	debauchery	comportamiento licencioso	conduite dissolue		放荡的行为;极其没有道德	放蕩的行為;極其沒有道德
G0767	ἄσημος	insignificant	bajo	bas		卑贱的;无足轻重的;低等的	卑賤的;無足輕重的;低等的
G0768	Ἀσήρ	Asher	Aser	Aser		亚设;《思》阿协尔	亞設;《思》阿協爾
G0769	ἀσθένεια	weakness	incapacidad	incapacité		无能力;软弱;受限制	無能力;軟弱;受限制
G0770	ἀσθενέω	be weak	ser débil	être faible		软弱;没有能力;被限制于	軟弱;沒有能力;被限制於
G0771	ἀσθένημα	weakness	debilidad	faiblesse		软弱;软弱的情况	軟弱;軟弱的情況
G0772	ἀσθενής	weak	débil	faible		软弱的;无能的	軟弱的;無能的
G0773	Ἀσία	Asia	Asia	Asie		亚细亚;《和》亚西亚	亞細亞;《和》亞西亞
G0774	Ἀσιανός	Asian	de Asia	d'Asie		亚细亚人;《和》亚西亚人	亞細亞人;《和》亞西亞人
G0775	Ἀσιάρχης	Asiarch	autoridad provincial	autorité de province		亚细亚省的官员;当地的领袖	亞細亞省的官員;當地的領袖
G0776	ἀσιτία	fasting	sin alimento	sans manger		没有吃东西;不吃东西;不想进食	沒有吃東西;不吃東西;不想進食
G0777	ἄσιτος	fasting	sin alimento	sans manger		没有吃东西;不吃东西;不想进食	沒有吃東西;不吃東西;不想進食
G0778	ἀσκέω	strive	hacer lo mejor posible	faire de son mieux		竭力;尽力	竭力;盡力
G0779	ἀσκός	wineskin	odres	outre à vin		皮袋;酒囊	皮袋;酒囊
G0780	ἀσμένως	gladly	felizmente	avec joie		欢欢喜喜地;高兴地	歡歡喜喜地;高興地
G0781	ἄσοφος	unwise	necio	insensé		愚昧;无知	愚昧;無知
G0782	ἀσπάζομαι	pay respects to	saludar	saluer		打招呼;致以问候	打招呼;致以問候
G0783	ἀσπασμός	salutation	saludar	saluer		问安	問安
G0784	ἄσπιλος	spotless	inmaculado	sans tache		无瑕疵的;无玷污的;没有污点的	無瑕疵的;無玷污的;沒有污點的
G0785	ἀσπίς	asp	áspid	aspic		小毒蛇;眼镜蛇;毒蛇	小毒蛇;眼鏡蛇;毒蛇
G0786	ἄσπονδος	irreconcilable	irreconciliable	inconciliable		不肯和解的;不愿意与人和睦相处的	不肯和解的;不願意與人和睦相處的
G0787	ἀσσάριον	assarion	asarion	as		一分银子;一个铜钱	一分銀子;一個銅錢
G0788	ἆσσον	nearer	muy cerca	très proche de		非常靠近;尽可能靠近	非常靠近;盡可能靠近
G0789	Ἆσσος	Assos	Asón	Assos		亚朔;《思》阿索	亞朔;《思》阿索
G0790	ἀστατέω	be unsettled	vagabundo	être un sans-abri		没有一定的住处;到处流浪;居无定所	沒有一定的住處;到處流浪;居無定所
G0791	ἀστεῖος	beautiful	hermosa	beau		讨人喜欢的;俊美的;可爱的	討人喜歡的;俊美的;可愛的
G0792	ἀστήρ	star	estrella	étoile		恒星,行星	恆星,行星
G0793	ἀστήρικτος	unstable	inestable	instable		不稳定的;意志薄弱的	不穩定的;意志薄弱的
G0794	ἄστοργος	unfeeling	sin afecto humano	sans affection humaine		没有正常的人类情感;对别人没有爱;没有亲情;没有爱心	沒有正常的人類情感;對別人沒有愛;沒有親情;沒有愛心
G0795	ἀστοχέω	deviate	abandonar la verdad	abandonner la vérité		放弃真道;迷路	放棄真道;迷路
G0796	ἀστραπή	lightning	relámpago	éclair		闪电	閃電
G0797	ἀστράπτω	flash	brillar	luire		闪闪发光;闪耀;闪烁	閃閃發光;閃耀;閃爍
G0798	ἄστρον	star	estrella	étoile		恒星,行星	恆星,行星
G0799	Ἀσύγκριτος	Asyncritus	Asíncrito	Asyncrite		亚逊其土;《思》阿松黎托	亞遜其土;《思》阿松黎托
G0800	ἀσύμφωνος	discordant	estar en desacuerdo	être en désaccord		意见分歧;不同意;无法同意	意見分歧;不同意;無法同意
G0801	ἀσύνετος	senseless	sin entendimiento	sans intelligence		没有理解力;无知;愚昧	沒有理解力;無知;愚昧
G0802	ἀσύνθετος	untrustworthy	no cumplir una promesa	ne pas tenir parole		背弃承诺;言而无信;背约的	背棄承諾;言而無信;背約的
G0803	ἀσφάλεια	security	seguridad	sûreté		安全;安稳;稳妥;牢固;平安无事	安全;安穩;穩妥;牢固;平安無事
G0804	ἀσφαλής	secure	seguro	sûr		安全;安全地;妥当;妥当地;坚固;牢固	安全;安全地;妥當;妥當地;堅固;牢固
G0805	ἀσφαλίζω	secure	asegurar	sécuriser		使安全;把守妥当;严密守护	使安全;把守妥當;嚴密守護
G0806	ἀσφαλῶς	securely	seguro	sûr		安全;安全地;妥当;妥当地;牢固;严密	安全;安全地;妥當;妥當地;牢固;嚴密
G0807	ἀσχημονέω	act improperly	actuar vergonzosamente	agir de façon honteuse		行为可耻;不正派的行为;可耻的行为	行為可恥;不正派的行為;可恥的行為
G0808	ἀσχημοσύνη	indecency	actuar vergonzosamente	agir de façon honteuse		行为可耻;不正派的行为;可耻的行为	行為可恥;不正派的行為;可恥的行為
G0809	ἀσχήμων	indecent	poco atractivo	peu attrayant		不俊美的;不太好看的;不雅观的	不俊美的;不太好看的;不雅觀的
G0810	ἀσωτία	debauchery	hechos sin sentido	actes absurdes		放荡的事;肆无忌惮	放蕩的事;肆無忌憚
G0811	ἀσώτως	wildly	sin sentido	insensé		放荡地;荒淫地	放蕩地;荒淫地
G0812	ἀτακτέω	be idle	hacer nada	ne rien faire		什么事也不做;偷懒;闲懒	什麼事也不做;偷懶;閒懶
G0813	ἄτακτος	disorderly	ocioso	paresseux		懒惰的;闲懒的	懶惰的;閒懶的
G0814	ἀτάκτως	idly	ocioso	paresseux		懒惰的;闲懒的	懶惰的;閒懶的
G0815	ἄτεκνος	childless	sin hijos	sans enfant		无子;没有儿女	無子;沒有兒女
G0816	ἀτενίζω	gaze	mirar directamente	regarder attentivement		直视;定睛看;瞪着眼看	直視;定睛看;瞪著眼看
G0817	ἄτερ	without	sin	sans		没有;不在;没有关系;除了;与......无关	沒有;不在;沒有關係;除了;與......無關
G0818	ἀτιμάζω	dishonor	tratar vergonzosamente	traîter de façon honteuse		羞辱;侮辱;凌辱	羞辱;侮辱;凌辱
G0819	ἀτιμία	dishonour	deshonra	déshonneur		羞耻;卑贱	羞恥;卑賤
G0820	ἄτιμος	dishonored	carente de honor	manquer d'honneur		不受尊敬的;不名誉的;被轻视的	不受尊敬的;不名譽的;被輕視的
G0821		disgrace	deshonrar *				
G0822	ἀτμίς	vapor	vapor	vapeur		蒸气	蒸氣
G0823	ἄτομος	instant	momento	seconde		一刹那;一瞬间;霎时间	一剎那;一瞬間;霎時間
G0824	ἄτοπος	wrong	no apropiado	ne pas convenir		不合适的;不应该做的;坏的	不合適的;不應該做的;壞的
G0825	Ἀττάλια	Attalia	Atalia	Attalie		亚大利;《思》阿塔肋雅	亞大利;《思》阿塔肋雅
G0826	αὐγάζω	see	hacer que se vea	rendre visible		使被看见;使......变得清楚	使被看見;使......變得清楚
G0827	αὐγή	daybreak	amanecer	aube		破晓;天亮;黎明	破曉;天亮;黎明
G0828	Αὔγουστος	Augustus	Augusto	Auguste		奥古斯都;《和》亚古士督	奥古斯都;《和》亞古士督
G0829	αὐθάδης	self-willed	arrogante	arrogant		高傲的;任性妄为的	高傲的;任性妄為的
G0830	αὐθαίρετος	self-chosen	decidido	bien disposé		甘心乐意的;自愿的	甘心樂意的;自願的
G0831	αὐθεντέω	domineer	controlar	contrôler		控制;压制;管辖	控制;壓制;管轄
G0832	αὐλέω	play the flute	tocar una flauta	jouer de la flûte		吹笛	吹笛
G0833	αὐλή	palace	patio	cour		庭院;羊圈	庭院;羊圈
G0834	αὐλητής	flute player	flautista	joueur de flûte		吹手;吹笛的	吹手;吹笛的
G0835	αὐλίζομαι	spend the night	pasar la noche	passer la nuit		过夜;住宿	過夜;住宿
G0836	αὐλός	flute	flauta	flûte		箫;笛子	簫;笛子
G0837	αὐξάνω	grow	aumentar	augmenter		增加;增长;扩展;延伸	增加;增長;擴展;延伸
G0838	αὔξησις	growth	crecer	grandir		生长;长大;成长	生長;長大;成長
G0839	αὔριον	tomorrow	mañana	demain		明天;第二天	明天;第二天
G0840	αὐστηρός	severe	exigente	exigeant		严厉的;严格的	嚴厲的;嚴格的
G0841	αὐτάρκεια	self-sufficiency	contenido propio	contentement		知足;满足	知足;滿足
G0842	αὐτάρκης	self-sufficient	contentarse con lo que uno tiene	content de ce qu'on a		满足于自己所拥有的;满足于自己所处的环境;满足现状	滿足於自己所擁有的;滿足於自己所處的環境;滿足現狀
G0843	αὐτοκατάκριτος	self-condemned	condenado por sus propias acciones	être condamné par ses actes		被自己的行为所谴责;自己的行为给自己定了罪	被自己的行為所譴責;自己的行為給自己定了罪
G0844	αὐτόματος	by itself	sin ninguna causa	sans aucune cause		没有任何原因的;凭着自己的	沒有任何原因的;憑著自己的
G0845	αὐτόπτης	eyewitness	testigo ocular	témoin oculaire		目击证人;目睹事情经过的人	目擊證人;目睹事情經過的人
G0846	αὐτός	it	mismo	même		相同;一样	相同;一樣
G0847	αὐτοῦ	there	aquí	ici		这里;那里	這裏;那裏
G0849	αὐτόχειρ	with one’s own hand	sus propias manos	la propre main		亲手	親手
G0850	αὐχμηρός	dingy	oscuro y miserable	obscur et misérable		黑暗和悲惨的	黑暗和悲慘的
G0851	ἀφαιρέω	remove	quitar	rejeter		收起来;移开;除去	收起來;移開;除去
G0852	ἀφανής	hidden	oculto	caché		隐藏的;隐瞒;不为人知的	隱藏的;隱瞞;不為人知的
G0853	ἀφανίζω	destroy	destruir	détruire		破坏;彻底毁坏	破壞;徹底毀壞
G0854		disappearance	dejar de existir	cesser d'exister		不再存在;消失;死去	不再存在;消失;死去
G0855	ἄφαντος	disappearing	invisible	invisible		看不见的	看不見的
G0856	ἀφεδρών	latrine	letrina	latrines			茅廁;廁所
G0857	ἀφειδία	unsparing	autocontrol severo	maîtrise de soi rigoureuse		严苛的自控;苛刻地控制	嚴苛的自控;苛刻地控制
G0858	ἀφελότης	sincerity	humildad	modestie		谦逊;谦卑;纯朴	謙遜;謙卑;純樸
G0859	ἄφεσις	forgiveness	perdonar	pardonner		饶恕;宽恕	饒恕;寬恕
G0860	ἁφή	joint	ligamento	ligament		韧带;筋	韌帶;筋
G0861	ἀφθαρσία	incorruptibility	inmortal	immortel		不死的;不朽的;不朽坏的	不死的;不朽的;不朽壞的
G0862	ἄφθαρτος	incorruptible	imperecedero	impérissable		不能朽坏的;不灭的;不死的	不能朽壞的;不滅的;不死的
G0863	ἀφίημι	release	dejar ir	laisser partir		解散	解散
G0864	ἀφικνέομαι	reach	ser conocido	être connu		众所周知;传于众人	眾所周知;傳於眾人
G0865	ἀφιλάγαθος	hating good	no amar lo que es bueno	ne pas aimer le bien		不爱良善;与良善为敌;恨恶良善	不愛良善;與良善為敵;恨惡良善
G0866	ἀφιλάργυρος	not greedy	no amar la riqueza	ne pas aimer les richesses		不贪财;不贪爱钱财;不贪钱的人	不貪財;不貪愛錢財;不貪錢的人
G0867	ἄφιξις	departure	irse	s'en aller		离开	離開
G0868	ἀφίστημι	leave	incitar	inciter à la révolte		煽动叛乱;导致造反;扰乱	煽動叛亂;導致造反;擾亂
G0869	ἄφνω	suddenly	repentinamente	soudainement		忽然;立即;立刻	忽然;立即;立刻
G0870	ἀφόβως	fearlessly	sin miedo	courageusement		无所惧怕;没有恐惧;毫无畏惧;不害怕	無所懼怕;沒有恐懼;毫無畏懼;不害怕
G0871	ἀφωμοιόω	make like	ser como	être pareil		像;与......相似	像;與......相似
G0872	ἀφοράω	consider	pensar sobre	penser à		注目;注视;仰望	注目;注視;仰望
G0873	ἀφορίζω	separate	excluir	exclure		排斥;分开;摆脱;除名	排斥;分開;擺脫;除名
G0874	ἀφορμή	opportunity	circunstancias favorables	conditions favorables		有利情况;可乘之机;机会;时机;趁机	有利情況;可乘之機;機會;時機;趁機
G0875	ἀφρίζω	foam	hacer espuma	écumer		口吐白沫	口吐白沫
G0876	ἀφρός	foam	espuma	écume		泡沫	泡沫
G0877	ἀφροσύνη	foolishness	ser un tonto	être insensé		愚妄;愚蠢	愚妄;愚蠢
G0878	ἄφρων	foolish	necio	folie		愚蠢;无知;不明智	愚蠢;無知;不明智
G0879	ἀφυπνόω	fall sleep	quedarse dormido	s'endormir		睡着;入睡	睡著;入睡
G0880	ἄφωνος	mute	mudo	muet		哑的;无声的;不能言语;不会说话	啞的;無聲的;不能言語;不會說話
G0881	Ἀχάζ	Ahaz	Acaz	Achaz		亚哈斯;《思》阿哈次	亞哈斯;《思》阿哈次
G0882	Ἀχαΐα	Achaia	Acaya	Achaïe		亚该亚;《思》阿哈雅	亞該亞;《思》阿哈雅
G0883	Ἀχαϊκός	Achaicus	Acaico	Achaïcus		亚该古;《思》阿哈依科	亞該古;《思》阿哈依科
G0884	ἀχάριστος	ungrateful	desagradecido	ingrat: non reconnaissant		不知感谢的;忘恩负义的	不知感謝的;忘恩負義的
G0885	Ἀχείμ	Achim	Aquim	Akhim		亚金;《思》阿歆	亞金;《思》阿歆
G0886	ἀχειροποίητος	not man-made	no hecho por manos humanas	non fait par des mains humaines		不是人手造的;不是人为的;不是人手所行的	不是人手造的;不是人為的;不是人手所行的
G0887	ἀχλύς	mist	niebla oscura o tiniebla le ocurre (a alguien)	l'obscure brume survient (sur quelqu'un)		黑暗的迷雾笼罩(某人);变成瞎子	黑暗的迷霧籠罩(某人);變成瞎子
G0888	ἀχρεῖος	worthless	inútil	inutile		无用的;没有用处的;无价值的;没有益处的	無用的;沒有用處的;無價值的;沒有益處的
G0889	ἀχρεόω	make worthless	equivocarse	mal tourner		走错路;变得乖僻	走錯路;變得乖僻
G0890	ἄχρηστος	useless	inútil	inutile		无用的;没有用处的;无价值的;没有益处的	無用的;沒有用處的;無價值的;沒有益處的
G0891	ἄχρι	until	hasta	jusqu'à		直到;最后;终于	直到;最後;終於
G0892	ἄχυρον	chaff	paja	bale		糠,糠秕,谷壳	糠,糠秕,穀殼
G0893	ἀψευδής	not a liar	veraz	véridique		可信赖的;无谎言的	可信賴的;無謊言的
G0894	ἄψινθος	wormwood	amargo	amer		苦的;苦涩;像苦艾一样苦的	苦的;苦澀;像苦艾一樣苦的
G0895	ἄψυχος	lifeless	sin vida	inerte		没有生命的;无生气的	沒有生命的;無生氣的
G0896	Βάαλ	Baal	Baal	Baal		巴力;《思》巴耳	巴力;《思》巴耳
G0897	Βαβυλών	Babylon	Babilonia	Babylone		巴比伦	巴比倫
G0898	βαθμός	standing	rango	position		地位;等级;身分	地位;等級;身分
G0899	βάθος	depth	profundidad	profondeur		深度;深	深度;深
G0900	βαθύνω	dig deep	hacer profundo	rendre profond		挖深	挖深
G0901	βαθύς	deep	profundo	profond		深	深
G0902	βάϊον	palm branch	rama de palmera	branche de palmier		棕树枝;棕榈枝	棕樹枝;棕櫚枝
G0903	Βαλαάμ	Balaam	Balaam	Balaam		巴兰;《思》巴郎	巴蘭;《思》巴郎
G0904	Βαλάκ	Balak	Balac	Balaq		巴勒;《思》巴拉克	巴勒;《思》巴拉克
G0905	βαλλάντιον	purse	monedero	bourse		钱包;钱袋	錢包;錢袋
G0906	βάλλω	throw	arrojar	jeter		落下;掉落	丟;扔;投擲
G0907	βαπτίζω	baptize	lavar	laver		洗濯;洁净;洗浴;行洗净礼	洗濯;潔淨;洗浴;行洗淨禮
G0908	βάπτισμα	baptism	bautizar	baptiser		施洗;洗礼	施洗;洗禮
G0909	βαπτισμός	baptism	lavar	laver		洗濯;洁净;洗浴;行洗净礼	洗濯;潔淨;洗浴;行洗淨禮
G0910	βαπτιστής	one who baptizes	bautista	baptiseur		施洗者;施洗的	施洗者;施洗的
G0911	βάπτω	dip	sumergir en	tremper		蘸;浸	蘸;浸
G0912	Βαραββᾶς	Barabbas	Barrabás	Barabbas		巴拉巴;《思》巴辣巴	巴拉巴;《思》巴辣巴
G0913	Βαράκ	Barak	Barac	Barak		巴拉;《思》巴辣克	巴拉;《思》巴辣克
G0914	Βαραχίας	Barachiah	Berequías	Barachie		《和2010》《和》巴拉加;《现》比利加;《思》贝勒基雅	《和2010》《和》巴拉加;《現》比利加;《思》貝勒基雅
G0915	βάρβαρος	barbarian	no griego	non-Grec		非希腊人	非希臘人
G0916	βαρέω	burden	estar agobiado	être accablé		使背负重担;加重负担;累住;压住	使背負重擔;加重負擔;累住;壓住
G0917	βαρέως	difficultly	ser lento para entender	être lent à comprendre		理解缓慢;智力迟钝	理解緩慢;智力遲鈍
G0918	Βαρθολομαῖος	Bartholomew	Bartolomé	Barthélemy		巴多罗买;《思》巴尔多禄茂	巴多羅買;《思》巴爾多祿茂
G0919	Βαριησοῦς	Bar-Jesus	Barjesús	Bar-Jésus		巴耶稣;《思》巴尔耶稣	巴耶穌;《思》巴爾耶稣
G0920	Βαριωνᾶ	Bar-Jonah	hijo de Jonás o Bar Jonás	Bar Jona ou Bar Jonas		约翰的儿子;《和》巴约拿;《思》约纳的儿子	約翰的兒子;《和》巴約拿;《思》約納的兒子
G0921	Βαρναβᾶς	Barnabas	Bernabé	Barnabas		巴拿巴;《思》巴尔纳伯	巴拿巴;《思》巴爾納伯
G0922	βάρος	burden	sufrimientos	charge		劳苦;重担;担子	勞苦;重擔;擔子
G0923	Βαρσαββᾶς	Barsabbas	Barsabás	Barsabbas		巴撒巴;《思》巴尔撒巴	巴撒巴;《思》巴爾撒巴
G0924	Βαρτιμαῖος	Bartimaeus	Bartimeo	Bartimée		巴底买;《思》巴尔提买	巴底買;《思》巴爾提買
G0925		weigh down	agobiar *				
G0926	βαρύς	weighty	pesado	lourd		沉重的;累赘的	沉重的;累贅的
G0927	βαρύτιμος	expensive	valioso	précieux		珍贵的;贵重的;昂贵的	珍貴的;貴重的;昂貴的
G0928	βασανίζω	torture	torturar	torturer		折磨;受痛苦;受酷刑	折磨;受痛苦;受酷刑
G0929	βασανισμός	torment	tormento	tourment		折磨;剧烈的疼痛;极大的痛苦	折磨;劇烈的疼痛;極大的痛苦
G0930	βασανιστής	torturer	carcelero	garde de prison		监狱守卫;施刑的人;拷问者	監獄守衛;施刑的人;拷問者
G0931	βάσανος	torment	tormento	tourment		折磨;剧烈的疼痛;极大的痛苦	折磨;劇烈的疼痛;極大的痛苦
G0932	βασιλεία	kingdom	gobernar	gouverner		统治;作王;执掌王权	統治;作王;執掌王權
G0933		palace	real	royal		王家的;君王的;君尊的	王家的;君王的;君尊的
G0934	βασίλειος	kingly	regio *				
G0935	βασιλεύς	king	rey	roi		王;君王;国王	王;君王;國王
G0936	βασιλεύω	reign	gobernar	gouverner		统治;作王;执掌王权;掌权	統治;作王;執掌王權;掌權
G0937	βασιλικός	royal	real	royal		王家的;国度的;至尊的	王家的;國度的;至尊的
G0938	βασίλισσα	queen	reina	reine		女王	女王
G0939	βάσις	foot	pie	pied		脚	腳
G0940	βασκαίνω	bewitch	embrujar	ensorceler		迷惑;施魔法	迷惑;施魔法
G0941	βαστάζω	carry	llevar	porter		拿着;承担	拿著;承擔
G0942	βάτος	thorn bush	planta de espina	buisson d'épines		带刺的植物,蓟,荆棘	帶刺的植物,薊,荆棘
G0943	βάτος	bath	bato *				
G0944	βάτραχος	frog	rana	grenouille		青蛙	青蛙
G0945	βατταλογέω	babble	usar muchas palabras	utiliser beaucoup de mots		说很多话;说了很长时间	說很多話;說了很長時間
G0946	βδέλυγμα	abomination	lo detestable	ce qui est détestable		可憎恶的;令人厌恶的	可憎惡的;令人厭惡的
G0947	βδελυκτός	abominable	detestado	détesté		可恶的;可憎恶的;令人嫌恶的;厌恶的	可惡的;可憎惡的;令人嫌惡的;厭惡的
G0948	βδελύσσομαι	abhor	aborrecer	exécrer		憎恶;厌恶	憎惡;厭惡
G0949	βέβαιος	firm	cierto	certain		保证;确保;确实;坚定不移	保證;確保;確實;堅定不移
G0950	βεβαιόω	confirm	hacer creer	permettre de croire		使相信;信仰坚定	使相信;信仰堅定
G0951	βεβαίωσις	confirmation	confirmar	confirmer		证实;证明;证明是真实和确定的;确认;验证	證實;證明;證明是真實和確定的;確認;驗證
G0952	βέβηλος	profane	mundano	profane		不敬虔的;贪恋世俗的	不敬虔的;貪戀世俗的
G0953	βεβηλόω	profane	hacer impuro	rendre impur		玷污;亵渎;冒犯	玷污;褻瀆;冒犯
G0954	Βεελζεβούλ	Beelzebul	Beelzebú	Béelzéboul		别西卜;《思》贝耳则步	别西卜;《思》貝耳則步
G0955	Βελιάρ	Belial	Belial	Bélial		《和》彼列;《现》魔鬼;《思》贝里雅耳	《和》彼列;《現》魔鬼;《思》貝里雅耳
G0956	βέλος	arrow	flecha	flèche		箭;标枪	箭;標槍
G0957	βέλτιον	better	bueno	bien		好;很好;极好;做得好;清楚(知道)	好;很好;極好;做得好;清楚(知道)
G0958	Βενιαμείν	Benjamin	Benjamín	Benjamin		便雅悯;《思》本雅明	便雅憫;《思》本雅明
G0959	Βερνίκη	Bernice	Berenice	Bérénice		《和2010》百妮基;《和》百尼基;《现》贝妮丝;《思》贝勒尼切	《和2010》百妮基;《和》百尼基;《現》貝妮絲;《思》貝勒尼切
G0960	Βέροια	Berea	Berea	Bérée		庇哩亚;《思》贝洛雅	庇哩亞;《思》貝洛雅
G0961	Βεροιαῖος	Berean	de Berea	de Bérée		庇哩亚人,《思》贝洛雅人	庇哩亞人,《思》貝洛雅人
G0962		Bethany	Betabara *				
G0963	Βηθανία	Bethany	Betania	Béthanie		伯大尼;《思》伯达尼	伯大尼;《思》伯達尼
G0964	Βηθζαθά	Bethesda	Betesda	Bethzatha		毕士大;《思》贝特匝达	畢士大;《思》貝特匝達
G0965	Βηθλέεμ	Bethlehem	Belén	Bethléem		伯利恒;《思》白冷	伯利恆;《思》白冷
G0966	Βηθσαϊδά	Bethsaida	Betsaida	Bethsaïda		伯赛大;《思》贝特赛达	伯賽大;《思》貝特賽達
G0967	Βηθφαγή	Bethphage	Betfagé	Bethphagé		伯法其;《思》贝特法革	伯法其;《思》貝特法革
G0968	βῆμα	judgement seat	asiento de juicio	siège du jugement		审判台	審判台
G0969	βήρυλλος	beryl	berilo	béryl		水苍玉;绿宝石;绿柱石	水蒼玉;綠寶石;綠柱石
G0970	βία	force	fuerza	force		力量;暴力	力量;暴力
G0971	βιάζω	force	ser atacado con violencia	être violemment agressé		遭受猛烈攻击;遭受暴力袭击	遭受猛烈攻擊;遭受暴力襲擊
G0972	βίαιος	strong	violento	violent		猛烈的;强力的	猛烈的;強力的
G0973	βιαστής	forceful person	persona violenta	personne violente		强暴的人;强取的人	強暴的人;強取的人
G0974	βιβλαρίδιον	little scroll	pequeño rollo	petit rouleau		小书卷	小書卷
G0975	βιβλίον	scroll	rollo	rouleau		书册;卷轴;文书	書冊;卷軸;文書
G0976	βίβλος	book	rollo	rouleau		书册;卷轴;文书	書冊;卷軸;文書
G0977		eat	comer	manger		吃东西;吃	吃東西;吃
G0978	Βιθυνία	Bithynia	Bitinia	Bithynie		庇推尼;《思》彼提尼雅	庇推尼;《思》彼提尼雅
G0979	βίος	life	vivir	vivre		生活;度日;日常生活;生存	生活;度日;日常生活;生存
G0980	βιόω	live	vivir	vivre		生活;度日;日常生活;生存	生活;度日;日常生活;生存
G0981	βίωσις	lifestyle	vivir	vivre		生活;度日;日常生活;生存	生活;度日;日常生活;生存
G0982	βιωτικός	of this life	de esta vida	de cette vie		今生的;世上的;生活上的;今世的特征;关于人类生存的	今生的;世上的;生活上的;今世的特徵;關於人類生存的
G0983	βλαβερός	harmful	dañino	dangeureux		有害的	有害的
G0984	βλάπτω	hurt	herir	faire du mal		伤害;损害	傷害;損害
G0985	βλαστάω	sprout	brotar	germer		发芽;长叶子;长苗	發芽;長葉子;長苗
G0986	Βλάστος	Blastus	Blasto	Blastus		伯拉斯都;《思》布拉斯托	伯拉斯都;《思》布拉斯托
G0987	βλασφημέω	blaspheme	insultar	insulter		亵渎;毁谤;侮辱	褻瀆;毀謗;侮辱
G0988	βλασφημία	blasphemy	insultar	insulter		亵渎;毁谤;侮辱	褻瀆;毀謗;侮辱
G0989	βλάσφημος	blasphemous	insultante	insultant		侮辱的;诽谤的;亵渎的	侮辱的;誹謗的;褻瀆的
G0990	βλέμμα	look	lo que se ve	ce qu'on voit		看见的事;所看见的	看見的事;所看見的
G0991	βλέπω	see	ver	voir		看见;看到;意识到;注意到	看見;看到;意識到;注意到
G0992	βλητέος	must be put	debe ser puesto	doit être mis		必须装在;需要放在	必須裝在;需要放在
G0993	Βοανηργές	Boanerges	Boanerges que significa Hijos del Trueno	Boanergès signifie Fils du tonnerre		半尼其;《思》波纳尔革	半尼其;《思》波納爾革
G0994	βοάω	cry out	clamar	crier		大声喊叫;尖叫	大聲喊叫;尖叫
G0995	βοή	outcry	llorar	cri		呼喊	呼喊
G0996	βοήθεια	help	socorrer	aider		支持;支撑物	幫助;扶助
G0997	βοηθέω	help	socorrer	aider		帮助;扶助	幫助;扶助
G0998	βοηθός	helper	ayudante	aide		帮助者;资助人(指支持一个人或一个计划的人)	幫助者;資助人(指支持一個人或一個計劃的人)
G0999	βόθυνος	pit	hoyo	fosse		井;坑;沟;洞	井;坑;溝;洞
G1000	βολή	throwing	tiro de piedra	à un jet de pierre		扔(一块石子)的距离;一个人可能投掷的距离	扔(一塊石子)的距離;一個人可能投擲的距離
G1001	βολίζω	sound	tomar sondeos	faire des sondages		探测水深;探测水的深浅;投掷铅坠;垂下铅坠	探測水深;探測水的深淺;投擲鉛墜;垂下鉛墜
G1002		arrow	saeta *				
G1003	Βόες	Boaz	Booz *				
G1004	βόρβορος	mire	barro	boue		污泥;泥沼	污泥;泥沼
G1005	βορρᾶς	north	norte	nord			北;北方
G1006	βόσκω	feed	alimentar	nourrir		喂养;使吃食	餵養;使吃食
G1007	Βοσόρ	Beor	Bosor	Bosor		(音译)伯索耳	(音譯)伯索耳
G1008	βοτάνη	crop	planta	plante		植物,草	植物,草
G1009	βότρυς	bunch of grapes	uva	raisin		葡萄,葡萄串	葡萄,葡萄串
G1010	βουλευτής	member of a council	un miembro del Sanedrín	membre du Sanhédrin		犹太公会的成员;议会的议员	猶太公會的成員;議會的議員
G1011	βουλεύω	plan	proponer	avoir l'intention de		计划;打算;有意;决定要;想要	計劃;打算;有意;決定要;想要
G1012	βουλή	plan	proponer	plan		计划;意图;目的;动机	計劃;意圖;目的;動機
G1013	βούλημα	plan	deseo	volonté		欲望;心意;旨意;意图	慾望;心意;旨意;意圖
G1014	βούλομαι	plan	desear	désirer		渴望;愿意;想;要;想要;希望	渴望;願意;想;要;想要;希望
G1015	βουνός	hill	colina	colline		小山	小山
G1016	βοῦς	ox	toro	taureau		公牛,母牛,牛	公牛,母牛,牛
G1017	βραβεῖον	prize	premio	prix		奖赏;奖品	獎賞;獎品
G1018	βραβεύω	rule	controlar	diriger		控制;支配;掌管;作主	控制;支配;掌管;作主
G1019	βραδύνω	delay	ser lento	être lent		延迟;迟;耽搁;耽延;拖延	延遲;遲;耽擱;耽延;拖延
G1020	βραδυπλοέω	sail slowly	navegar lentamente	naviguer lentement		慢慢航行;缓缓开行	慢慢航行;緩緩開行
G1021	βραδύς	slow	lento	lent		慢慢地;缓慢;拖拉;迟钝	慢慢地;緩慢;拖拉;遲鈍
G1022	βραδύτης	slowness	lentitud	lenteur		延迟;迟;耽搁;耽延;拖延	延遲;遲;耽擱;耽延;拖延
G1023	βραχίων	arm	fuerza	puissance		能力;力量	能力;力量
G1024	βραχύς	little	pocos	peu		很少;不多;有限数量	很少;不多;有限數量
G1025	βρέφος	infant	bebé	bébé		婴孩;幼儿;胎儿	嬰孩;幼兒;胎兒
