# non-dominant (polysemous) senses needing translation per language; the dominant sense of each (lex,stem) localizes for free via the per-stem gloss
lex	stem	sense	en_gloss	share
BRK[	piel	6	really (bless)	0.006
BRR[	hif	2	polish	0.5
BRR[	hit	2	they will purge themselves	0.5
BRR[	qal	2	polished	0.143
BRR[	qal	3	I will purge	0.143
BRR[	qal	4	test	0.143
BRWC/		2	cypress	0.15
BRWC/		3	its pines	0.1
BRWC/		4	a cypress tree	0.05
BRWC/		5	O cypress	0.05
BRWC/		6	fir(s)	0.05
BRWK/		2	O Baruch	0.038
BRX[	hif	2	passing through	0.25
BRX[	hif	3	he drives away	0.25
BRX[	qal	2	about to flee	0.017
BRX[	qal	3	pass through	0.017
BRX[	qal	4	headlong (flee)	0.017
BRX[	qal	5	hasten	0.017
BSR/		2	grape	0.4
BSR/		3	unripe grape	0.2
BT/		2	O daughter	0.053
BT/		3	than daughters	0.002
BTWLH/		2	women	0.04
BTWLH/		3	its young	0.02
BV>[	piel	2	he spoke rashly	0.333
BVN/		2	bulge	0.014
BVXWN/		2	hope	0.333
BVX[	hif	2	you have made rely	0.5
BVX[	qal	2	O confident	0.018
BVX[	qal	3	than to trust	0.018
BVX[	qal	4	falling to the ground	0.009
BW>[	hif	10	cause to come	0.002
BW>[	hif	11	he gathered	0.002
BW>[	hif	12	she let come	0.002
BW>[	hif	13	let people bring	0.002
BW>[	hif	14	[those	0.002
BW>[	hif	15	someone brought	0.002
BW>[	hif	2	people brought	0.002
BW>[	hif	3	someone will bring	0.002
BW>[	hif	4	about	0.002
BW>[	hif	5	people	0.002
BW>[	hif	6	they will bring back	0.002
BW>[	hif	7	he made go	0.002
BW>[	hif	8	you took	0.002
BW>[	hif	9	I will cause to go	0.002
BW>[	hof	2	it will be put	0.083
BW>[	hof	3	they will be taken	0.042
BW>[	qal	2	actually (come)	0.001
BW>[	qal	3	it set	0.001
BW>[	qal	4	Lebo	0.001
BW>[	qal	5	someone will come	0.001
BW>[	qal	6	[those	0.001
BW>[	qal	7	certainly (go)	0.001
BWC[	hif	2	you will put to shame	0.273
BWC[	hif	3	put	0.182
BWC[	hif	4	brings shame	0.091
BWC[	hif	5	putting to shame	0.091
BWC[	qal	2	at all (ashamed)	0.021
BWC[	qal	3	they are disappointed	0.011
BWK[	nif	2	it was in confusion	0.333
BWR/		2	wells	0.048
BWR/		3	his own cistern	0.032
BWR/		4	your own	0.016
BWS[	qal	2	I trod down	0.167
BWY/		2	linen	0.125
BXJR/		2	the chosen one	0.154
BXJR/		3	my chosen	0.154
BXWR/		2	O young men	0.023
BXWR/		3	O young man	0.023
BY</		2	his own	0.045
BYJR/		2	than the grape harvest	0.143
BYJR/		3	harvest	0.143
BYR[	qal	2	grape gatherers	0.429
BZH[	qal	2	[those	0.034
BZZ[	qal	2	despoiled	0.054
BZZ[	qal	3	take as plunder	0.054
BZZ[	qal	4	they had taken plunder	0.027
BZZ[	qal	5	as spoil?	0.027
C<<[	piel	2	he will play	0.333
C<H[	qal	2	look away	0.25
C<H[	qal	3	let them pay attention	0.083
C<H[	qal	4	so that I may have regard	0.083
C<L/		2	the hollow	0.333
C<R/		2	O gates	0.008
C>B[	qal	2	drawers	0.222
C>B[	qal	3	they drew	0.167
C>GH/		2	my cry of distress	0.143
C>GH/		3	my cry	0.143
C>GH/		4	of distress	0.143
C>NN/		2	undisturbed	0.25
C>NN/		3	carefree	0.125
C>NN/		4	O carefree	0.125
C>NN/		5	self-confident	0.125
C>R/		2	body	0.125
C>R/		3	food	0.062
C>RJT/		2	O remnant	0.046
C>R[	hif	2	it left over	0.026
C>R[	hif	3	they will leave over	0.026
C>R[	hif	4	I will leave as a remnant	0.026
C>R[	nif	2	anyone was left	0.021
C>R[	nif	3	I was left behind	0.011
C>WN/		2	a noise	0.059
CB</		2	sevenfold	0.01
CB<[	hif	2	I adjure	0.2
CB<[	hif	3	solemnly (make swear)	0.15
CB<[	hif	4	he will make swear	0.1
CB<[	hif	5	make	0.1
CB<[	hif	6	he administered an oath	0.05
CB<[	hif	7	you must cause to swear	0.05
CB<[	hif	8	indeed (swear an oath)	0.05
CB<[	hif	9	make swear an oath	0.05
CB>/		2	Sabean	0.043
CBH[	nif	2	it was captured	0.125
CBJ/		2	the prisoner	0.021
CBJ/		3	the capture	0.021
CBJH=/		2	captivity	0.222
CBLT/		2	Shibboleth	0.062
CBLT/		3	the clusters	0.062
CBR=[	hif	2	sold grain	0.25
CBR=[	qal	2	he bought grain	0.062
CBR[	nif	2	they will be shattered	0.038
CBR[	nif	3	I was crushed	0.019
CBR[	piel	2	totally (shatter)	0.061
CBR[	piel	3	someone has broken	0.03
CBR[	qal	2	it had mauled	0.021
CBR[	qal	3	someone	0.021
CBR[	qal	4	someone breaks	0.021
CBR[	qal	5	people] broken	0.021
CBT=/		2	a sitting still	0.333
CBT=/		3	cessation	0.333
CBT[	hif	2	about to cause to cease	0.026
CBV/		2	club	0.011
CBV/		3	spears	0.005
CBW</		2	two weeks	0.05
CBW<H/		2	a curse	0.034
CD=/		2	two breasts	0.048
CDMH/		2	the terraced fields	0.333
CG<[	pual	2	driven mad	0.25
CGG[	qal	2	going astray	0.25
CGG[	qal	3	goes astray	0.25
CGH[	hif	2	allow	0.25
CGH[	qal	2	errs	0.235
CGH[	qal	3	they reeled	0.176
CGH[	qal	4	I have gone astray	0.059
CGH[	qal	5	they wander	0.059
CGH[	qal	6	astray	0.059
CGH[	qal	7	may you be intoxicated	0.059
CGH[	qal	8	stray	0.059
CGH[	qal	9	staggers	0.059
CGJWN/		2	a shiggaion	0.5
CGX[	hif	2	they will stare	0.333
CJR[	piel	2	singing	0.054
CJR[	piel	3	they have sung	0.027
CJR[	piel	4	sang	0.027
CJR[	qal	2	female singers	0.061
CJT[	qal	2	powerfully (take a stand)	0.03
CJT[	qal	3	he will impose	0.015
CJT[	qal	4	they placed	0.015
CJT[	qal	5	they have taken a stand	0.015
CJT[	qal	6	someone will fix	0.015
CKBH/		2	the layer	0.222
CKB[	hif	2	will he make to lie down	0.333
CKB[	qal	2	rest	0.016
CKB[	qal	3	about to lie down	0.005
CKB[	qal	4	people had lain	0.005
CKK[	qal	2	bend	0.25
CKL[	piel	2	miscarrying	0.2
CKL[	piel	3	it will make childless	0.2
CKL[	piel	4	it has made childless	0.133
CKL[	piel	5	causing abortions	0.067
CKL[	piel	6	abortion	0.067
CKL[	piel	7	it will prove barren	0.067
CKL[	qal	2	she will become childless	0.25
CKN[	hif	2	I will cause to settle	0.167
CKN[	hif	3	may he lay	0.167
CKN[	piel	2	he had pitched	0.083
CKN[	qal	2	I want to settle down	0.009
CKN[	qal	3	[those	0.009
CKN[	qal	4	they stay	0.009
CKR[	hif	2	make	0.333
CKR[	qal	2	he became drunk	0.25
CKWL=/		2	deprived of offspring	0.333
CKWL=/		3	childless	0.167
CKWR/		2	drunk	0.154
CKWR/		3	O drunkards	0.077
CKX[	qal	2	ever (forget)	0.014
CKX[	qal	3	O forget	0.014
CLC[	piel	2	you will divide into three	0.25
CLC[	piel	3	you will do on the third day	0.25
CLC[	pual	2	divided into three parts	0.2
CLC[	pual	3	threefold	0.2
CLJC/		2	a third of a measure	0.5
CLJCJ/		2	thirty	0.013
CLJV/		2	having mastery	0.25
CLK[	hif	2	you threw away	0.022
CLK[	hif	3	people have cast down	0.011
CLK[	hif	4	people will throw out	0.011
CLK[	hif	5	someone will throw	0.011
CLK[	hif	6	he will shed	0.011
CLK[	hof	2	about to be thrown	0.077
CLK[	hof	3	I was cast	0.077
CLL/		2	spoil	0.027
CLL/		3	prey	0.014
CLL/		4	gain	0.014
CLM/		2	your peace	0.023
CLM/		3	the peace offering	0.011
CLMH=/		2	O Solomon	0.007
CLM[	hif	2	he performs	0.273
CLM[	hif	3	it will make peace	0.091
CLM[	hif	4	he causes to be at peace	0.091
CLM[	piel	2	have you repaid	0.024
CLM[	piel	3	he completed	0.012
CLM[	piel	4	paying back	0.012
CLM[	piel	5	about to repay	0.012
CLM[	piel	6	fully (repay)	0.012
CLM[	piel	7	I will fulfill	0.012
CLM[	piel	8	the one] who he will repay	0.012
CLM[	piel	9	I have paid	0.012
CLM[	pual	2	in a covenant	0.2
CLM[	pual	3	it be repaid?	0.2
CLM[	pual	4	it will be paid	0.2
CLM[	qal	2	the peaceful	0.125
CLM[	qal	3	[one	0.125
CLM[	qal	4	he has remained unharmed	0.125
CLM[	qal	5	be at peace	0.125
CLP[	qal	2	drawn	0.167
CLP[	qal	3	draw	0.167
CLP[	qal	4	drawers	0.042
CLP[	qal	5	it has shot up	0.042
CLWM/		2	completeness(es)	0.004
CLWM=/		2	bribe	0.333
CLX[	hif	2	about to send	0.2
CLX[	piel	2	you sent forth	0.005
CLX[	piel	3	who] lets go	0.005
CLX[	piel	4	really (let go)	0.005
CLX[	piel	5	O let loose	0.005
CLX[	piel	6	about	0.005
CLX[	piel	7	spreads	0.005
CLX[	pual	2	deserted	0.1
CLX[	pual	3	he is caught	0.1
CLX[	pual	4	let loose	0.1
CLX[	qal	2	[those	0.006
CLX[	qal	3	the [one	0.004
CLX[	qal	4	people sent	0.004
CLX[	qal	5	urgently (send)	0.002
CLX[	qal	6	he sent away	0.002
CLX[	qal	7	send away	0.002
CLX[	qal	8	anyone stretches out	0.002
CM/		2	than	0.001
CM<[	hif	2	summon	0.04
CM<[	hif	3	cause	0.04
CM<[	hif	4	he made proclamation to	0.02
CM<[	hif	5	make	0.02
CM<[	nif	2	they became obedient	0.047
CM<[	qal	2	people hear	0.002
CM<[	qal	3	really (obey)	0.001
CM<[	qal	4	people	0.001
CM<[	qal	5	people have heard	0.001
CM<[	qal	6	about to listen	0.001
CM<[	qal	7	people listened	0.001
CM<[	qal	8	heeds	0.001
CMC/		2	O sun	0.015
CMC/		3	battlements	0.007
CMCWN/		2	O Samson	0.105
CMD[	hif	2	you will demolish	0.021
CMD[	hif	3	of destruction	0.021
CMD[	hif	4	totally	0.021
CMD[	nif	2	utterly (destroyed)	0.083
CMJM/		2	O heaven	0.015
CMJNJ/		2	sheminith	0.067
CMMH/		2	become] (into) a desolation	0.018
CMM[	hif	2	I will make desolate	0.067
CMM[	hit	2	will you destroy yourself	0.2
CMM[	piel	2	appalled	0.5
CMN/		2	fat things	0.011
CMN/		3	than ointment	0.005
CMN=/		2	rich	0.222
CMN=/		3	stout	0.111
CMN=/		4	fat	0.111
CMN[	hif	2	they grew fat	0.5
CMN[	qal	2	he became fat	0.333
CMR[	nif	2	he was kept	0.054
CMR[	nif	3	you will keep yourself	0.027
CMR[	nif	4	he took heed	0.027
CMR[	nif	5	he took care	0.027
CMR[	nif	6	they are preserved	0.027
CMR[	qal	2	O watchman	0.005
CMR[	qal	3	watching over	0.005
CMR[	qal	4	carefully (keep)	0.002
CMR[	qal	5	really (keep)	0.002
CMR[	qal	6	he took care	0.002
CMR[	qal	7	people watched	0.002
CMR[	qal	8	people keep	0.002
CMR[	qal	9	than watchmen	0.002
CMV[	qal	2	he will let drop	0.25
CMV[	qal	3	you will let fall	0.25
CMW<H/		2	mention	0.037
CMW>L/		2	Shemuel	0.007
CN/		2	prongs	0.018
CNH[	qal	2	repeats	0.231
CNH[	qal	3	I change	0.231
CNH[	qal	4	differing	0.154
CNH[	qal	5	he repeated	0.077
CNJ=/		2	a scarlet thread	0.024
CNJ=/		3	thread	0.024
CNJM/		2	plus	0.003
CNJM/		3	than two plus	0.001
CP<H/		2	the crowd	0.333
CPK[	hit	2	they lie scattered	0.333
CPK[	nif	2	it will be shed	0.25
CPK[	pual	2	it was shed	0.333
CPK[	qal	2	people will pour out	0.011
CPL/		2	deep	0.235
CPL/		3	low	0.118
CPN/		2	rock badgers	0.25
CPV[	nif	2	let them be judged	0.067
CPV[	qal	2	about to judge	0.012
CPV[	qal	3	he gave judgment	0.006
CPV[	qal	4	rule	0.006
CPV[	qal	5	O rulers	0.006
CPV[	qal	6	O judge	0.006
CPV[	qal	7	will you enter into judgment	0.006
CPXH/		2	servants	0.032
CPXH/		3	become] (into) a maid	0.016
CQ<[	hif	2	will you make sink?	0.5
CQ<[	qal	2	it died out	0.333
CQD/		2	of an almond tree	0.25
CQD/		3	tree	0.25
CQH[	hif	2	people watered	0.023
CQH[	hif	3	people will give to drink	0.023
CQH[	hif	4	you have given to drink	0.023
CQR/		2	a vain hope	0.009
CQR[	piel	2	we had dealt falsely	0.2
CQT/		2	the watering channels	0.5
CQV[	hif	2	of quietness	0.2
CQV[	hif	3	give quiet	0.1
CQV[	hif	4	he will keep quiet	0.1
CQV[	hif	5	is still	0.1
CQV[	hif	6	he makes quiet	0.1
CQV[	qal	2	be inactive	0.097
CQV[	qal	3	I will remain quiet	0.065
CQWJ/		2	refreshment	0.333
CQY/		2	thing	0.091
CQY[	piel	2	make detestable	0.333
CQY[	piel	3	utterly (detest)	0.167
CR/		2	cord	0.333
CRB/		2	burning heat	0.5
CRT[	piel	2	people served	0.023
CRT[	piel	3	O serve	0.023
CSH[	qal	2	of plunderers	0.286
CSH[	qal	3	O plunder	0.143
CTH[	qal	2	drinkers	0.014
CTH[	qal	3	people will drink	0.005
CTH[	qal	4	[those	0.005
CTQ[	qal	2	it becomes quiet	0.25
CVH/		2	acacia tree	0.036
CVP[	nif	2	they will be swept away	0.5
CVP[	qal	2	I washed off	0.087
CVP[	qal	3	he has rinsed	0.043
CVP[	qal	4	someone washed off	0.043
CVP[	qal	5	about to overflow	0.043
CVP[	qal	6	rushes	0.043
CVP[	qal	7	flowed	0.043
CW<H/		2	the cry for help	0.182
CW<R/		2	become] (into) the gatekeepers	0.027
CW>/		2	of nothingness	0.019
CW>/		3	futility	0.019
CW>/		4	deceitfulness	0.019
CWB=[	qal	2	about to turn back	0.067
CWB=[	qal	3	restored	0.067
CWB=[	qal	4	turn	0.067
CWB[	hif	10	do you draw back	0.003
CWB[	hif	11	back	0.003
CWB[	hif	2	respond	0.01
CWB[	hif	3	they brought	0.007
CWB[	hif	4	as withdrawing	0.003
CWB[	hif	5	he will make return	0.003
CWB[	hif	6	he drew back	0.003
CWB[	hif	7	about to turn back	0.003
CWB[	hif	8	make	0.003
CWB[	hif	9	they will pay	0.003
CWB[	hof	2	he was brought back	0.2
CWB[	hof	3	is] repaid	0.2
CWB[	hof	4	about to be brought back	0.2
CWB[	piel	2	bring back	0.167
CWB[	qal	10	about to return	0.002
CWB[	qal	11	I will repeat	0.002
CWB[	qal	2	ever (return)	0.006
CWB[	qal	3	anyone will repent	0.003
CWB[	qal	4	restore	0.003
CWB[	qal	5	certainly (return)	0.002
CWB[	qal	6	back	0.002
CWB[	qal	7	anyone will return	0.002
CWB[	qal	8	it came back	0.002
CWB[	qal	9	its repentant	0.002
CWCN/		2	Shoshannim	0.176
CWCN/		3	shushan-	0.059
CWL/		2	of your robe	0.273
CWR/		2	of a cow	0.013
CWV[	qal	2	who] row	0.286
CWV[	qal	3	going about	0.286
CWV[	qal	4	go about	0.143
CXD/		2	a gift	0.087
CXL/		2	like (the) lion	0.143
CXQ/		2	dust	0.048
CXQ[	qal	2	they rub away	0.5
CXT[	hif	2	tashcheth	0.047
CXT[	hif	3	they corrupted	0.023
CXT[	hif	4	about	0.012
CXT[	hif	5	you will trim	0.012
CXT[	hif	6	certainly (act corruptly)	0.012
CXT[	hif	7	a destroyer	0.012
CXT[	hif	8	corruptly	0.012
CXT[	hof	2	ruined	0.5
CXT[	nif	2	it was ruined	0.333
CXT[	nif	3	it was spoiled	0.167
CXT[	piel	2	destroyed	0.111
CXT[	piel	3	you perverted	0.028
CXT[	piel	4	they have dealt corruptly	0.028
CXT[	piel	5	you have corrupted	0.028
CXV[	nif	2	will it be slaughtered	0.333
CXV[	qal	2	the throat cut	0.029
CXV[	qal	3	someone will slaughter	0.015
CXV[	qal	4	beaten	0.015
CXX[	nif	2	they will be reduced	0.25
CXX[	qal	2	I am bent over	0.083
CXX[	qal	3	they lay prostrate	0.083
CXX[	qal	4	they will crouch	0.083
DBH/		2	whispering	0.333
DBH/		3	report	0.111
DBH/		4	your bad	0.111
DBQ/		2	soldering	0.333
DBQ=/		2	touching	0.333
DBQ[	hif	2	he overtook	0.2
DBQ[	hif	3	he will make cling	0.2
DBQ[	hif	4	I have made cling	0.1
DBQ[	hif	5	I will make stick	0.1
DBQ[	qal	2	they will hold	0.057
DBQ[	qal	3	it will pursue closely	0.029
DBQ[	qal	4	she stayed	0.029
DBR/		2	business	0.001
DBR/		3	reason	0.001
DBR/		4	than the word	0.001
DBR/		5	parts	0.001
DBR/		6	a promise	0.001
DBR/		7	affairs	0.001
DBR/		8	the edict	0.001
DBR==/		2	pasture	0.5
DBRH/		2	the manner	0.2
DBRH/		3	plea	0.2
DBR[	hit	2	spoke	0.5
DBR[	nif	2	have we spoken together	0.25
DBR[	nif	3	they spoke together	0.25
DBR[	piel	2	someone speaks	0.001
DBR[	piel	3	than speaking	0.001
DBR[	piel	4	people speak	0.001
DBR[	qal	2	spoke	0.049
DBR[	qal	3	about to speak	0.049
DBR[	qal	4	saying	0.024
DBR[	qal	5	spoken	0.024
DBWRH=/		2	O Deborah	0.1
DC>/		2	vegetation	0.143
DC>/		3	grass	0.071
DCN[	piel	2	they will take away the fatty ashes from	0.25
DCN[	piel	3	you have refreshed	0.25
DCN[	piel	4	it makes fat	0.25
DCN[	pual	2	it will be fattened	0.25
DD/		2	breasts	0.25
DJ		2	where	0.009
DJ/		2	than sufficiency	0.026
DJ/		3	to abundance	0.026
DJ/		4	be] as enough	0.026
DJBN/		2	Dibon-	0.182
DJH/		2	red kites	0.5
DJN/		2	he defended	0.333
DK/		2	its crushed	0.25
DK>/		2	crushed matter	0.333
DLG[	piel	2	he will leap	0.5
DLH/		2	the hair	0.5
DLH[	qal	2	they hang down	0.25
DLL[	qal	2	they are low	0.375
DLL[	qal	3	it became low	0.125
DLQ[	qal	2	burning	0.5
DLT/		2	lid	0.011
DLT/		3	a pair of gates	0.011
DM/		2	their own	0.003
DMH[	piel	2	imagine	0.2
DMH[	piel	3	he planned	0.1
DMH[	piel	4	I gave parables	0.1
DMH[	piel	5	we have reflected on	0.1
DMH[	piel	6	will I liken	0.1
DMH[	qal	2	that we may be alike	0.077
DMM[	nif	2	they will be devastated	0.2
DMM[	qal	2	they have become still	0.043
DMM[	qal	3	that we may perish	0.043
DMWT/		2	his own	0.042
DN/		2	O Dan	0.014
DNJ>L/		2	O Daniel	0.019
DPQ[	qal	2	knocking	0.5
DQ/		2	fine	0.154
DQ/		3	soft	0.077
DQQ[	hif	2	finely (pulverize)	0.143
DQQ[	qal	2	you will crush	0.333
DQR[	qal	2	pierce	0.5
DRC[	nif	2	required	0.111
DRC[	nif	3	I will let myself be sought	0.111
DRC[	nif	4	they were investigated	0.111
DRC[	qal	2	[those	0.015
DRC[	qal	3	diligently (seek)	0.007
DRC[	qal	4	you will resort	0.007
DRC[	qal	5	certainly (require)	0.007
DRC[	qal	6	O seek	0.007
DRC[	qal	7	seeks carefully	0.007
DRK/		2	of two ways	0.003
DRK/		3	than	0.001
DRK/		4	those who] my ways	0.001
DRK[	hif	2	he will make walk	0.143
DRK[	hif	3	they have bent	0.143
DRK[	hif	4	someone	0.143
DRK[	qal	2	it will march forth	0.021
DRK[	qal	3	you will march	0.021
DRK[	qal	4	anyone will tread	0.021
DT/		2	decree	0.125
DWC[	qal	2	anyone	0.091
DWD/		2	than a lover	0.033
DWD/		3	my beloved	0.016
DWD/		4	one	0.016
DWD/		5	O lovers	0.016
DWD=/		2	pot	0.25
DWD=/		3	a cooking pot	0.125
DWD==/		2	O David	0.003
DWDH/		2	sister	0.333
DWH/		2	menstruating	0.25
DWH/		3	a menstrual	0.25
DWR/		2	belong]	0.006
DWX[	hif	2	he will cleanse	0.333
DXH[	qal	2	violently (push)	0.333
DXL[	peal	2	fearing	0.4
F<JR=/		2	goats	0.5
F<RH=/		2	than the hairs	0.333
F>T/		2	dignity	0.154
F>T/		3	majesty	0.154
F>T/		4	loftiness	0.077
F>T/		5	uprising	0.077
FB</		2	satiety	0.25
FB<=/		2	surfeited	0.2
FB<[	qal	2	let him be sated	0.013
FBKH/		2	window-lattice	0.062
FDH/		2	his own	0.003
FDRH/		2	planks	0.25
FGB[	nif	2	set on high	0.3
FGB[	nif	3	high	0.2
FGJ>/		2	many	0.154
FGJ>/		3	plentiful	0.154
FGJ>/		4	much	0.077
FH/		2	an animal	0.043
FH/		3	livestock	0.021
FJBH/		2	age	0.053
FJM[	hif	2	sets	0.5
FJM[	qal	10	I have ordained	0.002
FJM[	qal	11	really (set)	0.002
FJM[	qal	12	about to set	0.002
FJM[	qal	13	about to put	0.002
FJM[	qal	14	someone has set	0.002
FJM[	qal	15	about to make	0.002
FJM[	qal	16	setting	0.002
FJM[	qal	17	they formed	0.002
FJM[	qal	18	he charges	0.002
FJM[	qal	19	someone puts	0.002
FJM[	qal	2	when	0.004
FJM[	qal	20	I set in place	0.002
FJM[	qal	21	they gave	0.002
FJM[	qal	3	I will designate	0.002
FJM[	qal	4	determined	0.002
FJM[	qal	5	putting	0.002
FJM[	qal	6	he had stationed	0.002
FJM[	qal	7	he imposed	0.002
FJM[	qal	8	people will set	0.002
FJM[	qal	9	let them give	0.002
FJX[	piel	2	I meditate	0.5
FJX[	qal	2	complain	0.235
FJX[	qal	3	tell	0.176
FJX[	qal	4	they speak	0.059
FKJR/		2	hired	0.111
FKJR/		3	a hired animal	0.056
FKJR/		4	soldiers	0.056
FKL/		2	the prudence	0.125
FKL/		3	sense	0.062
FKR/		2	fare	0.036
FKR[	qal	2	actually (hire)	0.071
FM>L[	hif	2	using left hand	0.2
FMLH/		2	our own	0.034
FMXH/		2	of gladness(es)	0.011
FN>H/		2	hatred(s)	0.059
FN>[	piel	2	[one	0.071
FN>[	piel	3	hate	0.071
FN>[	qal	2	utterly (hate)	0.009
FN>[	qal	3	O hate	0.009
FPH/		2	the border	0.006
FPH/		3	your own	0.006
FR/		2	the governor	0.002
FR/		3	rulers	0.002
FR/		4	O officials	0.002
FRJD/		2	among the survivors	0.036
FRP/		2	seraphim	0.286
FRP/		3	serpent	0.286
FRP/		4	fiery	0.143
FRP[	qal	2	completely (burn)	0.012
FRP[	qal	3	someone	0.012
FRV[	qal	2	severely (injure)	0.5
FWF[	qal	2	greatly (rejoice)	0.038
FXQ[	piel	2	that he may make sport	0.059
FXQ[	piel	3	jesting	0.059
FXQ[	piel	4	making merry	0.059
FXQ[	qal	2	sported	0.056
FXWQ/		2	than laughter	0.067
G<L[	qal	2	it abhorred	0.429
G<R[	qal	2	about to rebuke	0.071
G>H[	qal	2	they had risen	0.143
G>H[	qal	3	it grow tall?	0.143
G>H[	qal	4	it rises up	0.143
G>L[	qal	2	his kinsman	0.013
G>L[	qal	3	vindicator	0.013
G>WH/		2	your eminence	0.053
G>WH/		3	boastfulness	0.053
G>WH/		4	swelling	0.053
G>WN/		2	arrogance	0.02
G>WT/		2	pride	0.375
G>WT/		3	a rising up	0.25
GB<H/		2	Gibeah	0.029
GB<H/		3	than hills	0.029
GB<H/		4	O hills	0.014
GB=/		2	beams	0.25
GB=/		3	cisterns	0.25
GB>/		2	marshes	0.5
GBH/		2	haughty	0.057
GBH/		3	proud	0.057
GBH/		4	exalted	0.057
GBH/		5	the height	0.029
GBH=/		2	dignity	0.059
GBH[	hif	2	I raise up	0.111
GBH[	hif	3	exalt	0.111
GBH[	hif	4	high	0.111
GBH[	qal	2	he was exalted	0.083
GBH[	qal	3	it was lofty	0.042
GBH[	qal	4	they may be lifted up	0.042
GBH[	qal	5	they have become exalted	0.042
GBJ</		2	bowls	0.071
GBJRH/		2	queen	0.167
GBL[	qal	2	they set bounds	0.333
GBR/		2	O man	0.015
GBRJ>L/		2	Gabriel	0.5
GBR[	hit	2	he will prevail	0.333
GBR[	qal	2	they increased	0.235
GBR[	qal	3	do they become strong?	0.059
GBWL/		2	its own territory	0.004
GBWL/		3	their own	0.004
GBWL/		4	than	0.004
GBWLH/		2	territories	0.1
GBWR/		2	be] like a warrior	0.007
GBWR/		3	than a warrior	0.007
GBWRH/		2	deeds	0.026
GBWRH/		3	than strength	0.026
GBXT/		2	forehead	0.25
GCM/		2	shower	0.057
GD<[	piel	2	I will cut through	0.143
GDJC/		2	a tomb	0.25
GDL=/		2	growing up	0.5
GDL==/		2	wreaths	0.5
GDL[	hif	2	make big	0.03
GDL[	hit	2	I will show myself great	0.25
GDL[	piel	2	make great	0.235
GDL[	piel	3	he made great	0.176
GDL[	piel	4	he will make grow	0.118
GDL[	piel	5	magnify	0.059
GDL[	qal	2	they had grown up	0.096
GDL[	qal	3	he will grow up	0.038
GDP[	piel	2	reviles	0.143
GDRH/		2	walls	0.375
GDWD/		2	raid	0.032
GDWL/		2	the greatness	0.002
GDWLH/		2	greatness(es)	0.167
GG/		2	top	0.071
GJ>/		2	Ge	0.02
GJXZJ/		2	O Gehazi	0.083
GL/		2	of stones	0.029
GL/		3	a spring	0.029
GL<D/		2	O Gilead	0.01
GL<[	hit	2	it has broken out	0.333
GLGL/		2	whirlwind	0.111
GLGL==/		2	dust	0.5
GLGLT/		2	skull	0.25
GLH/		2	springs	0.4
GLH[	hif	2	people had taken into exile	0.033
GLH[	hif	3	take into exile	0.033
GLH[	hif	4	I will send into exile	0.033
GLH[	hif	5	take	0.033
GLH[	hif	6	people	0.033
GLH[	hit	2	revealing itself	0.5
GLH[	nif	2	shamelessly (uncover)	0.032
GLH[	nif	3	it has been removed	0.032
GLH[	piel	2	I have made known	0.054
GLH[	piel	3	expose	0.018
GLH[	piel	4	someone has uncovered	0.018
GLH[	piel	5	he will make known	0.018
GLH[	qal	2	opening	0.04
GLH[	qal	3	exile	0.04
GLH[	qal	4	it has departed	0.04
GLH[	qal	5	displayed	0.04
GLH[	qal	6	he has revealed	0.02
GLH[	qal	7	it disappears	0.02
GLJLH/		2	Geliloth	0.4
GLJWN/		2	a tablet	0.5
GLL[	qal	2	people will roll	0.1
GLL[	qal	3	I have rolled away	0.1
GLX[	pual	2	shaven	0.333
GML[	qal	2	you dealt	0.105
GML[	qal	3	ripening	0.105
GML[	qal	4	repaying	0.105
GML[	qal	5	making recompense	0.053
GMWL/		2	benefits	0.105
GMWLH/		2	deeds	0.333
GMWLH/		3	of recompense(s)	0.333
GNB/		2	thieves	0.235
GNBH/		2	stolen	0.5
GNB[	piel	2	steal	0.5
GNB[	pual	2	it was brought secretly	0.25
GNB[	qal	2	she stole	0.148
GNB[	qal	3	actually (steal)	0.037
GNZ/		2	blankets	0.333
GPN/		2	be] like a vine	0.018
GR<[	nif	2	diminished	0.143
GR<[	nif	3	it will be deducted	0.143
GR<[	nif	4	are we restrained	0.143
GR<[	qal	2	he will reduce	0.071
GR<[	qal	3	hold back	0.071
GR<[	qal	4	clipped	0.071
GR<[	qal	5	I will shave	0.071
GR<[	qal	6	do you restrain?	0.071
GR<[	qal	7	he withdraws	0.071
GR<[	qal	8	take away	0.071
GRB/		2	rash	0.333
GRC[	nif	2	I have been driven away	0.333
GRC[	piel	2	you have driven away	0.045
GRC[	piel	3	someone drove out	0.045
GRC[	piel	4	completely (drive out)	0.045
GRC[	piel	5	he has driven out	0.045
GRC[	piel	6	people	0.045
GRC[	pual	2	they are driven away	0.5
GRC[	qal	2	about to drive out	0.143
GRC[	qal	3	they have tossed up	0.143
GRH[	hit	2	they will get ready for war	0.182
GRH[	hit	3	he will get ready	0.091
GRM/		2	limbs	0.2
GRN/		2	your threshing	0.094
GRN/		3	be] like a threshing floor	0.031
GRR/		2	towards	0.111
GRWN/		2	neck	0.25
GW<[	qal	2	about to die	0.043
GWG/		2	O Gog	0.3
GWJ/		2	O nations	0.005
GWJH/		2	bodies	0.385
GWJH/		3	the carcass	0.154
GWRL/		2	your allotted	0.013
